Time,Distance for p=1/5,Distance for p=1/4,Distance for p=1/3,Distance for p=1/2
3,2.20390685817943,1.86184472810659,1.4062395575543,0.694339961796531
4,2.65836447674038,2.26331668553754,1.7386819481692,0.929264413350463
5,3.06230068525675,2.62033143332123,2.03394934133622,1.13533755724841
6,3.43433255897496,2.94648822228056,2.29733943004874,1.32129395148101
7,3.76963760388737,3.24857285134172,2.5473364675614,1.49352002226159
8,4.09187661516117,3.52939665070617,2.78534764430845,1.65383653313492
9,4.38725512901747,3.79685724738136,3.00623741635859,1.80452785710269
10,4.67340480517611,4.0486527345638,3.21803472315078,1.94573376810207
11,4.94342302380845,4.28498915230596,3.41442631236156,2.08239689856648
12,5.20268159473013,4.5170610075855,3.6036574643471,2.2122029492149
13,5.45763467324796,4.74023859372547,3.78835396803746,2.33504312566703
14,5.70206133400777,4.95582974537557,3.96216963058667,2.45479251597452
15,5.93931262039552,5.16181139594489,4.13326231483212,2.56903110150368
16,6.17139615608872,5.36602322525954,4.29740939344421,2.68490291795958
17,6.3950846281385,5.56298591086072,4.46054868275856,2.79361492078853
18,6.6087682645797,5.75441496200866,4.61398249894056,2.89899549393626
19,6.81973278905252,5.93407659464775,4.76860842930897,3.00182275398773
20,7.02636287722095,6.11516721560373,4.91225245035137,3.10050805924155
21,7.23242432259673,6.29344729974593,5.0534466980465,3.19867361682337
22,7.42769709031436,6.46726929391134,5.19542931699548,3.29249342473829
23,7.62312228262743,6.63393247411735,5.33584772040357,3.38517946279568
24,7.81333298682508,6.79930244412904,5.47011179836626,3.47543307384225
25,8.00075593972841,6.96220146234916,5.60128583784344,3.56381149325776
26,8.18030989787345,7.12675831317987,5.73188138288428,3.65092024522026
27,8.36081271278308,7.28855097208513,5.86191722709495,3.73542184576297
28,8.53654270178619,7.44137026307577,5.98490455118383,3.81852300697758
29,8.7180180901157,7.59482361610875,6.10872806335597,3.90028827449531
30,8.89211204035398,7.74530883861539,6.23353629669239,3.97939285426001
31,9.05936190454104,7.89112698200244,6.35378166838727,4.05748315008713
32,9.22876220941479,8.03356079295908,6.46965085740425,4.13657263423399
33,9.39637983127106,8.17964002073194,6.58929082303221,4.215781536638
34,9.55993758993725,8.32355578084026,6.7037088022461,4.29165097785193
35,9.72390086953826,8.46561813205241,6.82055919614506,4.36493857179666
36,9.88291625341879,8.60843883675489,6.93453919037446,4.44132456294798
37,10.039732468867,8.74748120946581,7.04540643434339,4.51432297393512
38,10.192930282007,8.88686856969154,7.15450946270189,4.5846843003464
39,10.3508472309367,9.02265669866678,7.26553002640702,4.65332632492369
40,10.5055428856049,9.1535572165092,7.37269312392077,4.72184168666153
41,10.6552826090571,9.28217043383,7.47537519502653,4.79069164468586
42,10.8118623774783,9.41414516761536,7.57989905172289,4.8543807923924
43,10.9617706925019,9.54442987366186,7.68111520078321,4.91823988575994
44,11.1115318722294,9.6745431078426,7.78302438145392,4.98487545371278
45,11.2586028238955,9.8023572940785,7.88636771902836,5.04870523335181
46,11.39930192309,9.93108013159638,7.98844122142138,5.11218929650585
47,11.54938249885,10.0510952176608,8.08561002353031,5.17784036781129
48,11.6863524391096,10.1707079674891,8.18542827426303,5.24076114499932
49,11.8238239919329,10.2886875103281,8.282579027812,5.30559763268582
50,11.9629554325808,10.4113861070146,8.37800833907232,5.37064502103969
51,12.0996570446061,10.5297788062826,8.47473555268778,5.43297223980223
52,12.2382516189823,10.6484503665826,8.57009729454152,5.49296107295833
53,12.3675986626206,10.7698765386712,8.66554460181806,5.55242404805706
54,12.5015062567925,10.8869519032463,8.75812689908684,5.61287471076547
55,12.6390830332619,10.9999032653733,8.85388143616009,5.67416366865105
56,12.7729336700411,11.114273902987,8.94788394198448,5.7333094740287
57,12.905640478369,11.2274350676996,9.03915378688735,5.79443666494764
58,13.0394379752516,11.3409101029844,9.12900902593611,5.85459123414502
59,13.1671241388709,11.4539004367081,9.2183674401593,5.91185321419463
60,13.2956588234944,11.5671421157854,9.31065688254398,5.96703096131844
61,13.4270639369063,11.6831719070084,9.39880459291107,6.02194790321876
62,13.5548353484384,11.7951021154447,9.49279544530896,6.07619349423694
63,13.6878662020857,11.9043736854634,9.57881625987641,6.13496200964353
