# DATE: 2017-05-23T07:53:27
#Pause,Count,Name
PERLANCAR,1268,perlancar
PSIXDISTS,549,Perl 6 Modules
SHARYANTO,510,Steven Haryanto
TOBYINK,314,Toby Inkster
RJBS,312,Ricardo SIGNES
ZOFFIX,293,Zoffix Znet
ADAMK,287,Adam Kennedy
TOKUHIROM,251,???
ETHER,243,Karen Etheridge
MIYAGAWA,241,Tatsuhiko Miyagawa
JGNI,236,John Imrie
INGY,220,Ingy dot Net
BINGOS,218,Chris Williams
FLORA,210,Florian Ragwitz
DAGOLDEN,202,David Golden
SMUELLER,192,Steffen Mueller
KENTNL,188,Kent Fredric
MARCEL,182,???
BOBTFISH,172,Tomas Doran
DROLSKY,168,Dave Rolsky
PEVANS,162,Paul Evans
NUFFIN,161,Yuval Kogman
PLICEASE,151,Graham Ollis
NEILB,144,Neil Bowers
SKIM,142,Michal Josef Spacek
GUGOD,141,Liu Kang Min
RSAVAGE,141,Ron Savage
DMAKI,137,Daisuke Maki
BARBIE,134,Barbie
BDFOY,134,brian d foy
FAYLAND,130,Fayland Lin
SHLOMIF,129,Shlomi Fish
MANWAR,128,Mohammad S Anwar
AUTRIJUS,125,Audrey Tang
SZABGAB,122,Gabor Szabo
SIMON,121,Simon Cozens
MRAMBERG,113,Marcus Ramberg
MLEHMANN,111,???
LBROCARD,111,Leon Brocard
SALVA,111,Salvador Fandino Garcia
DMUEY,110,Daniel Muey
GETTY,107,Torsten Raudssus
LEOCHARRE,101,Leo Charre
