# DATE: 2019-04-15T04:53:46
#Pause,Count,Name
PERLANCAR,1706,perlancar
PSIXDISTS,550,Perl 6 Modules
RJBS,296,Ricardo SIGNES
TOBYINK,282,Toby Inkster
ETHER,261,Karen Etheridge
ADAMK,247,Adam Kennedy
JGNI,245,John Imrie
MIYAGAWA,239,Tatsuhiko Miyagawa
INGY,219,Ingy dot Net
BINGOS,215,Chris Williams
FLORA,209,Florian Ragwitz
SMUELLER,185,Steffen Mueller
KENTNL,185,Kent Fredric
TOKUHIROM,182,???
DAGOLDEN,180,David Golden
PLICEASE,167,Graham Ollis
PEVANS,166,Paul Evans
NUFFIN,158,Yuval Kogman
DROLSKY,156,Dave Rolsky
BOBTFISH,152,Tomas Doran
SHLOMIF,149,Shlomi Fish
MARCEL,147,???
ELIZABETH,143,Elizabeth Mattijsen
SKIM,140,Michal Josef Spacek
NEILB,133,Neil Bowers
GUGOD,130,Liu Kang Min
DMAKI,122,Daisuke Maki
SIMON,118,Simon Cozens
RSAVAGE,117,Ron Savage
BARBIE,117,Barbie
MANWAR,117,Mohammad S Anwar
AUTRIJUS,112,Audrey Tang
SALVA,112,Salvador Fandino Garcia
MRAMBERG,111,Marcus Ramberg
YANICK,109,Yanick Champoux
FAYLAND,108,Fayland Lin
MLEHMANN,107,???
RENEEB,103,Renee Baecker
BDFOY,103,brian d foy
LBROCARD,101,Leon Brocard
TEAM,100,Tom Molesworth
