# lou-ja2kana.csv
# Copyright 2007 Naoki Tomita <tomita@cpan.org>
# License: GPL
#
# This dictionary is based on the following resource.
# - lou-en2kana.csv (Acme::Lou)
# - edict
#   Copyright (C) 2006 The Electronic Dictionary Research 
#   and Development Group, Monash University.

〆切,エンド
〆切り,エンド
〆切日,タイム リミット
〆粕,オイル ケーキ
１０代,ティーンエイジ
１等,モースト
１等賞,ファースト プレイス プライズ
１等兵,プライベート
２等,セカンド クラス
２等賞,セカンド プライズ
２等兵,プライベート
３等,サード クラス
３等賞,サード プライズ
４月馬鹿,エイプリル フール
ｂ系,ブラック カルチャー
ｗ杯,ワールド カップ
あーた,ユー
ああ,ライク ザット
ああいう,ザット ソート オブ
ああした,ザット ソート オブ
ああだこうだ,ディス アンド ザット
あいつら,ゼイ
あい路,ナロー パス
あお向け,フェイス アップ
あかん,ノー グッド
あきまへん,ノー グッド
あくる日,ネクスト デイ
あく促,ウォーリィ アバウト
あけおめ,ハッピー ニュー イヤー
あざーす,サンク ユー
あざーっす,サンク ユー
あざとい,クレバー
あしらう,アレンジ
あし毛,グレイ
あずま屋,サマー ハウス
あたり前,ユージュアル
あっさり,イーズリー
あっさりした,シンプル
あっち,オーバー ゼア
あっという間に,ジャスト ライク ザット
あっとゆう間に,ジャスト ライク ザット
あっと言う間に,ジャスト ライク ザット
あっと言う間に,ジャスト ライク ザット
あっ勝,コンプリート ヴィクトリー
あて先,アドレス
あて名,アドレス
あと一歩,ワン モア
あと口,レイター
あどけない,イノセント
あのう,ウェル
あのように,イン ザット ウェイ
あの人,ヒー
あの世,アザー ワールド
あの方,ヒー
あぶら身,ファット ミート
あべこべ,オポジット
あほんだら,フール
あやかり者,ラッキー パースン
あら,オゥ
あらまし,アバウト
あられ,カインド オブ クッキー
あら塩,シー ソルト
あら塩,シー ソルト
ありあり,クリアー
ありありと,クリアリー
ありがた味,バリュー
ありがた迷惑,ホワイト エレファント
あり得る,ポッシブル
あるがまま,トゥルース
ある意味で,イン サム ウェイ
ある意味では,イン サム ウェイ
ある時,ワンス
ある種,サム カインド オブ
ある日,ワン デイ
あれ,ザット
あれだけ,ザット ディグリー
あれっきり,シンス ゼン
あれやこれや,ディス アンド ザット
あれ以来,シンス ゼン
あれ肌,ラフ スキン
あわや,イン ノー タイム
あわよくば,イフ ポッシブル
あんさん,ユー
あんた,ユー
あんだ,オイル
あんだけ,ザット ディグリー
あんちょこ,キー
あんな,サッチ
あんなに,ザット ディグリー
あんな風に,イン ザット ウェイ
あんよ,フット
あん馬,サイド ホース
いい加減,リーズナブル
いい頃,ハイ タイム
いい子,グッド チャイルド
いかす,クール
いかなる場合でも,イン エニー ケース
いかれる,ブレイク ダウン
いきいき鳥,フレッシュ チキン
いきり立つ,ゲット アングリー
いけず,ミーン
いざ,ウェル
いざこざ,トラブル
いじらしい,イノセント
いたし方,ウェイ
いちゃいちゃ,メイク アウト
いちゃもんを付ける,ファインド フォールト
いって来ます,シー ユー レイター
いつかそのうち,ビフォー ベリィ ロング
いつも通り,アズ オールウェイズ
いと,リアリー
いとも簡単に,ベリィ イーズリー
いなくなった,ゴーン
いの一番,ファースト オブ オール
いびる,ピック オン
いま一つ,ワン モア
いま一歩,ワン モア
いやだ,ノー ウェイ
いよいよという時,ラスト モーメント
いよいよと言う時,ラスト モーメント
いらしてください,プリーズ カム
いらっしゃい,ウェルカム
いらっしゃいませ,ウェルカム
いらっしゃってください,プリーズ カム
いらっしゃる,ゴー
いられないくらい,オールモスト ノット エイブル
ううん,ノー
うす口,ライト
うだうだ,アイドル
うちの奴,マイ ワイフ
うっかりミス,オーネスト ミステイク
うまく行く,ターン アウト ウェル
うら若い,ヤング
うら寂しい,ロンリィ
うら悲しい,サッド
うわさを聞く,ゲット ウィンド オブ
うん,イェー
うんざり,ボーリング
うんと,ベリィ マッチ
うんともすんとも言わない,キープ サイレント
えいや,ゴー フォー イット
えいやっ,ゴー フォー イット
ええ,Yes
