"","class_name","gdp","return_on_invest"
"1",recession,42.857,48.896
"2",goodtimes,53.189,54.29
"3",goodtimes,48.05,54.742
"4",recession,49.482,46.322
"5",recession,45.444,42.208
"6",recession,45.864,41.165
"7",goodtimes,57.9,61.822
"8",goodtimes,63.594,59.324
"9",goodtimes,56.676,57.664
"10",goodtimes,50.659,46.012
"11",goodtimes,58.431,58.37
"12",recession,49.848,47.282
"13",goodtimes,53.957,55.85
"14",goodtimes,55.022,58.204
"15",goodtimes,54.266,57.04
"16",goodtimes,44.415,57.709
"17",goodtimes,51.213,56.703
"18",goodtimes,55.125,56.144
"19",recession,46.294,46.325
"20",goodtimes,56.838,55.995
"21",recession,47.114,45.982
"22",recession,45.9,38.223
"23",goodtimes,57.69,56.258
"24",goodtimes,49.443,50.963
"25",recession,43.029,42.222
"26",recession,44.304,40.692
"27",goodtimes,51.03,57.382
"28",recession,47.295,43.772
"29",recession,40.099,49.68
"30",recession,41.538,48.608
"31",recession,50.166,44.666
"32",recession,49.033,53.884
"33",recession,46.676,46.587
"34",goodtimes,49.05,53.83
"35",goodtimes,56.797,53.341
"36",goodtimes,46.573,52.385
"37",goodtimes,54.791,55.987
"38",recession,47.718,50.779
"39",goodtimes,56.849,48.233
"40",recession,45.802,52.929
"41",recession,39.477,39.057
"42",goodtimes,47.095,54.616
"43",recession,35.671,48.973
"44",recession,43.234,51.122
"45",goodtimes,57.444,52.831
"46",recession,46.615,41.564
"47",goodtimes,56.39,55.88
"48",goodtimes,56.282,55.598
"49",recession,50.186,44.415
"50",goodtimes,50.638,51.693
"51",recession,51.67,51.361
"52",goodtimes,57.078,54.671
"53",recession,45.593,40.894
"54",recession,46.13,51.277
"55",recession,52.232,43.141
"56",recession,47.626,38.54
"57",recession,40.048,43.496
"58",goodtimes,50.069,49.828
"59",recession,43.858,48.664
"60",goodtimes,52.17,57.058
"61",recession,43.026,49.403
"62",goodtimes,59.959,65.168
"63",recession,43.455,46.622
"64",recession,39.643,42.55
"65",goodtimes,53.822,54.589
"66",recession,43.382,39.34
"67",goodtimes,58.742,49.787
"68",recession,48.906,46.963
"69",goodtimes,49.105,60.348
"70",goodtimes,55.878,57.679
"71",recession,50.94,48.514
"72",recession,44.141,45.614
"73",goodtimes,49.522,59.488
"74",goodtimes,49.873,54.638
"75",recession,47.26,40.292
"76",recession,43.578,53.14
"77",recession,46.475,33.231
"78",goodtimes,59.047,48.442
"79",goodtimes,55.263,50.54
"80",recession,43.279,43.162
"81",recession,47.974,47.059
"82",goodtimes,58.498,56.257
"83",goodtimes,52.381,62.885
"84",goodtimes,56.028,54.038
"85",recession,49.799,52.82
"86",recession,47.425,40.604
"87",recession,49.307,47.354
"88",goodtimes,51.607,54.686
"89",recession,52.609,43.078
"90",goodtimes,50.303,58.946
"91",goodtimes,51.795,53.217
"92",recession,48.552,42.859
"93",goodtimes,61.197,56.004
"94",goodtimes,50.257,45.856
"95",goodtimes,52.722,48.306
"96",recession,48.311,43.175
"97",recession,44.876,37.132
"98",recession,53.718,47.906
"99",goodtimes,51.11,53.791
"100",goodtimes,48.164,50.723
