0,xcoord,ycoord
1,0,4
2,1,-15
3,2,-12
4,3,-3
5,4,-6
6,5,14
7,6,-17
8,7,21
9,8,31
10,9,4
11,10,15
12,11,-12
13,12,27
14,13,4
15,14,36
16,15,8
17,16,30
18,17,22
19,18,-2
20,19,4
21,20,9
22,21,16
23,22,7
24,23,10
25,24,15
26,25,20
27,26,50
28,27,42
29,28,19
30,29,15
31,30,15
32,31,15
33,32,14
34,33,39
35,34,31
36,35,36
37,36,56
38,37,15
39,38,62
40,39,58
41,40,44
42,41,27
43,42,49
44,43,50
45,44,42
46,45,64
47,46,65
48,47,24
49,48,66
50,49,65
51,50,52
52,51,70
53,52,72
54,53,37
55,54,43
56,55,42
57,56,61
58,57,67
59,58,81
60,59,42
61,60,83
62,61,46
63,62,84
64,63,40
65,64,58
66,65,70
67,66,65
68,67,54
69,68,74
70,69,55
71,70,81
72,71,50
73,72,80
74,73,90
75,74,62
76,75,72
77,76,79
78,77,99
79,78,81
80,79,82
81,80,99
82,81,74
83,82,75
84,83,73
85,84,77
86,85,83
87,86,82
88,87,77
89,88,94
90,89,105
91,90,67
92,91,92
93,92,83
94,93,70
95,94,70
96,95,100
97,96,106
98,97,103
99,98,123
100,99,77
101,100,88
102,101,98
103,102,107
104,103,83
105,104,96
106,105,82
107,106,105
108,107,76
109,108,86
110,109,102
111,110,88
112,111,97
113,112,101
114,113,94
115,114,95
116,115,75
117,116,98
118,117,85
119,118,81
120,119,94
121,120,72
122,121,92
123,122,92
124,123,86
125,124,64
126,125,73
127,126,77
128,127,56
129,128,65
130,129,52
131,130,87
132,131,87
133,132,84
134,133,73
135,134,53
136,135,51
137,136,66
138,137,47
139,138,46
140,139,61
141,140,80
142,141,74
143,142,61
144,143,48
145,144,75
146,145,42
147,146,41
148,147,71
149,148,36
150,149,39
151,150,52
152,151,37
153,152,52
154,153,43
155,154,47
156,155,38
157,156,49
158,157,39
159,158,34
160,159,53
161,160,30
162,161,36
163,162,44
164,163,53
165,164,37
166,165,40
167,166,49
168,167,46
169,168,53
170,169,57
171,170,47
172,171,54
173,172,53
174,173,60
175,174,47
176,175,53
177,176,48
178,177,66
179,178,68
180,179,64
181,180,70
182,181,65
183,182,65
184,183,69
185,184,74
186,185,70
187,186,60
188,187,57
189,188,59
190,189,75
