# data file:		analysis/clean_00544_000_3.fits[circle(3841,4088,132)]
# column:		pi
# min,max,bins:		0.5 1024.5 50

   bin     value               lo_edge               hi_edge
------ --------- --------------------- ---------------------
     1         0            0.50000000           20.98000000
     2        19           20.98000000           41.46000000
     3        31           41.46000000           61.94000000
     4        30           61.94000000           82.42000000
     5        32           82.42000000          102.90000000
     6        30          102.90000000          123.38000000
     7        14          123.38000000          143.86000000
     8         9          143.86000000          164.34000000
     9        15          164.34000000          184.82000000
    10         6          184.82000000          205.30000000
    11         6          205.30000000          225.78000000
    12         7          225.78000000          246.26000000
    13         5          246.26000000          266.74000000
    14         7          266.74000000          287.22000000
    15         3          287.22000000          307.70000000
    16         5          307.70000000          328.18000000
    17         8          328.18000000          348.66000000
    18         8          348.66000000          369.14000000
    19         4          369.14000000          389.62000000
    20         4          389.62000000          410.10000000
    21         4          410.10000000          430.58000000
    22         5          430.58000000          451.06000000
    23         4          451.06000000          471.54000000
    24         5          471.54000000          492.02000000
    25         2          492.02000000          512.50000000
    26         2          512.50000000          532.98000000
    27        11          532.98000000          553.46000000
    28         5          553.46000000          573.94000000
    29         6          573.94000000          594.42000000
    30         5          594.42000000          614.90000000
    31         5          614.90000000          635.38000000
    32         7          635.38000000          655.86000000
    33        13          655.86000000          676.34000000
    34         3          676.34000000          696.82000000
    35         0          696.82000000          717.30000000
    36         0          717.30000000          737.78000000
    37         0          737.78000000          758.26000000
    38         0          758.26000000          778.74000000
    39         0          778.74000000          799.22000000
    40         0          799.22000000          819.70000000
    41         0          819.70000000          840.18000000
    42         0          840.18000000          860.66000000
    43         0          860.66000000          881.14000000
    44         0          881.14000000          901.62000000
    45         0          901.62000000          922.10000000
    46         0          922.10000000          942.58000000
    47         0          942.58000000          963.06000000
    48         0          963.06000000          983.54000000
    49         0          983.54000000         1004.02000000
    50         0         1004.02000000         1024.50000000
