"Journal Report 1 (R2)","Number of Successful Article Requests by Month and Journal","","","","","","","","","","","","","","","","","",""
"University of Fishwick","","","","","","","","","","","","","","","","","","",""
"Date run:","","","","","","","","","","","","","","","","","","",""
"2008-06-30","","","","","","","","","","","","","","","","","","",""
"","Publisher","Platform","Print ISSN","Online ISSN","Jan-2006","Feb-2006","Mar-2006","Apr-2006","May-2006","Jun-2006","Jul-2006","Aug-2006","Sep-2006","Oct-2006","Nov-2006","Dec-2006","YTD Total","YTD HTML","YTD PDF"
"Total for all journals","","JSTOR","","","3744","10981","8315","19022","13709","1936","1421","1915","9887","14472","16179","11493","113074","87135","24369"
"19th-Century Music","University of California Press","JSTOR","0148-2076","","2","1","0","14","0","1","0","1","7","0","16","3","45","35","10"
"Academy of Management Journal","Academy of Mangement","JSTOR","0001-4273","","0","5","0","9","13","0","0","0","0","2","6","7","42","34","8"
"Academy of Management Review","Academy of Mangement","JSTOR","0363-7425","","0","0","4","3","11","3","0","5","1","2","0","8","37","30","7"
"Accounting Review","American Accounting Association","JSTOR","0001-4826","","0","0","3","0","6","0","0","0","2","17","1","2","31","23","8"
"Acta Musicologica","International Musicological Society","JSTOR","0001-6241","","0","0","0","1","2","0","3","1","3","2","7","2","21","19","2"
"Administrative Science Quarterly","Cornell University, Johnson School of Management","JSTOR","0001-8392","","0","0","0","4","4","0","0","4","0","1","2","6","21","16","5"
"Advances in Applied Probability","Applied Probability Trust","JSTOR","0001-8678","","0","0","0","0","0","0","0","0","0","0","0","2","2","2","0"
"Africa: Journal of the International African Institute","Edinburgh University Press","JSTOR","0001-9720","","13","15","7","76","11","2","0","11","80","9","26","14","264","194","67"
"African Affairs","Oxford University Press","JSTOR","0001-9909","","0","43","12","86","28","2","0","0","23","20","39","19","272","205","64"
"African American Review","St. Louis University","JSTOR","1062-4783","","39","35","34","57","36","8","7","0","8","173","107","75","579","454","122"
"African Arts","James S. Coleman African Studies Center, University of California, Los Angeles","JSTOR","0001-9933","","0","0","0","0","5","39","0","2","10","8","6","7","77","60","17"
"African Economic History","African Studies Program, University of Wisconsin-Madison","JSTOR","0145-2258","","0","0","0","0","0","0","0","0","0","0","0","9","9","5","4"
"African Issues","African Studies Association","JSTOR","1548-4505","","4","1","17","37","19","2","0","0","13","6","18","6","123","94","26"
"African Journal of Reproductive Health &#47; La Revue Africaine de la Sant&eacute; Reproductive","Women's Health and Action Research Centre (WHARC)","JSTOR","1118-4841","","0","0","0","0","0","0","0","0","0","0","0","2","2","1","1"
"African Languages and Cultures. Supplement","Taylor &amp; Francis, Ltd. ","JSTOR","1477-9366","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"African Studies Review","African Studies Association","JSTOR","0002-0206","","1","13","10","88","8","5","0","6","7","19","35","23","215","162","50"
"AJS Review","Cambridge University Press","JSTOR","0364-0094","","0","0","6","5","1","1","0","0","0","2","6","1","22","17","5"
"Alif: Journal of Comparative Poetics","Department of English and Comparative Literature, American University in Cairo and American University in Cairo Press","JSTOR","1110-8673","","1","4","5","5","22","0","0","0","1","1","0","4","43","35","5"
"American Anthropologist","University of California Press","JSTOR","0002-7294","1548-1433","127","129","157","436","155","70","8","24","123","217","192","101","1739","1378","338"
"American Antiquity","Society for American Archaeology","JSTOR","0002-7316","","14","8","10","158","31","5","1","5","37","56","121","12","458","373","81"
"American Art","University of Chicago Press","JSTOR","1073-9300","","0","2","0","62","7","4","2","1","3","4","42","10","137","106","31"
