4677	GO:0006418 	 tRNA aminoacylation for protein translation 
3735	GO:0006418 	 tRNA aminoacylation for protein translation 
7453	GO:0006418 	 tRNA aminoacylation for protein translation 
6301	GO:0006418 	 tRNA aminoacylation for protein translation 
2058	GO:0006418 	 tRNA aminoacylation for protein translation 
6897	GO:0006418 	 tRNA aminoacylation for protein translation 
5917	GO:0006418 	 tRNA aminoacylation for protein translation 
4141	GO:0006418 	 tRNA aminoacylation for protein translation 
1615	GO:0006418 	 tRNA aminoacylation for protein translation 
7407	GO:0006418 	 tRNA aminoacylation for protein translation 
3035	GO:0006418 	 tRNA aminoacylation for protein translation 
2193	GO:0006418 	 tRNA aminoacylation for protein translation 
833	GO:0006418 	 tRNA aminoacylation for protein translation 
9255	GO:0006418 	 tRNA aminoacylation for protein translation 
2968	GO:0006418 	 tRNA aminoacylation for protein translation 
23395	GO:0006418 	 tRNA aminoacylation for protein translation 
10667	GO:0006418 	 tRNA aminoacylation for protein translation 
3376	GO:0006418 	 tRNA aminoacylation for protein translation 
#N/A	GO:0006418 	 tRNA aminoacylation for protein translation 
2617	GO:0006418 	 tRNA aminoacylation for protein translation 
23438	GO:0006418 	 tRNA aminoacylation for protein translation 
8565	GO:0006418 	 tRNA aminoacylation for protein translation 
51520	GO:0006418 	 tRNA aminoacylation for protein translation 
5859	GO:0006418 	 tRNA aminoacylation for protein translation 
55699	GO:0006418 	 tRNA aminoacylation for protein translation 
79587	GO:0006418 	 tRNA aminoacylation for protein translation 
55157	GO:0006418 	 tRNA aminoacylation for protein translation 
51067	GO:0006418 	 tRNA aminoacylation for protein translation 
54938	GO:0006418 	 tRNA aminoacylation for protein translation 
10352	GO:0006418 	 tRNA aminoacylation for protein translation 
55152	GO:0006418 	 tRNA aminoacylation for protein translation 
79731	GO:0006418 	 tRNA aminoacylation for protein translation 
80222	GO:0006418 	 tRNA aminoacylation for protein translation 
54976	GO:0006418 	 tRNA aminoacylation for protein translation 
4677	GO:0004812 	 aminoacyl-tRNA ligase activity 
3735	GO:0004812 	 aminoacyl-tRNA ligase activity 
7453	GO:0004812 	 aminoacyl-tRNA ligase activity 
6301	GO:0004812 	 aminoacyl-tRNA ligase activity 
2058	GO:0004812 	 aminoacyl-tRNA ligase activity 
16	GO:0004812 	 aminoacyl-tRNA ligase activity 
6897	GO:0004812 	 aminoacyl-tRNA ligase activity 
5917	GO:0004812 	 aminoacyl-tRNA ligase activity 
4141	GO:0004812 	 aminoacyl-tRNA ligase activity 
1615	GO:0004812 	 aminoacyl-tRNA ligase activity 
7407	GO:0004812 	 aminoacyl-tRNA ligase activity 
3035	GO:0004812 	 aminoacyl-tRNA ligase activity 
2193	GO:0004812 	 aminoacyl-tRNA ligase activity 
833	GO:0004812 	 aminoacyl-tRNA ligase activity 
2968	GO:0004812 	 aminoacyl-tRNA ligase activity 
23395	GO:0004812 	 aminoacyl-tRNA ligase activity 
