# query_id	rel_n	lca_lineage
NZ_HG326224.1|read16	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia
NZ_HG326224.1|read17	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales
NZ_HG326224.1|read20	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales
NZ_HG326224.1|read24	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium
NZ_HG326224.1|read30	2	cellular organisms; Bacteria
NZ_HG326224.1|read34	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Anaerococcus; Anaerococcus hydrogenalis
NZ_HG326224.1|read36	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Anaerococcus
NZ_HG326224.1|read37	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Anaerococcus
NZ_HG326224.1|read40	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Peptoniphilus; unclassified Peptoniphilus
NZ_HG326224.1|read41	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium botulinum
NZ_HG326224.1|read42	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Tissierellia; Tissierellales; Peptoniphilaceae; Finegoldia; Finegoldia magna
NZ_HG326224.1|read45	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read47	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read48	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Peptostreptococcus
NZ_HG326224.1|read49	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales
NZ_HG326224.1|read50	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes
NZ_HG326224.1|read51	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae
NZ_HG326224.1|read52	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales
NZ_HG326224.1|read53	2	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae
