Expression Analysis: Metrics Tab



	Analysis Name	Probe Set Name	Positive	Negative	Pairs	Pairs Used	Pairs InAvg	Pos Fraction	Log Avg	Pos/Neg	Avg Diff	Abs Call	Inc	Dec	Inc Ratio	Dec Ratio	Pos Change	Neg Change	Inc/Dec	DPos-DNeg Ratio	Log Avg Ratio Change	Diff Call	Avg Diff Change	B=A	Fold Change	Sort Score

1	SA10Hu95	AFFX-MurIL2_at	5	5	20	20	18	0.25	-0.43	1.0	-54.9	A														

2	SA10Hu95	AFFX-MurIL10_at	5	12	20	20	19	0.25	-2.42	0.4	4.0	A														

3	SA10Hu95	AFFX-MurIL4_at	5	4	20	20	19	0.25	0.41	1.3	6.8	A														

4	SA10Hu95	AFFX-MurFAS_at	7	5	20	20	17	0.35	1.30	1.4	11.8	A														

5	SA10Hu95	AFFX-BioB-5_at	7	5	20	20	19	0.35	0.18	1.4	-36.2	A														

6	SA10Hu95	AFFX-BioB-M_at	3	11	20	20	19	0.15	-1.94	0.3	-42.5	A														

7	SA10Hu95	AFFX-BioB-3_at	6	6	20	20	19	0.30	-0.76	1.0	24.0	A														

8	SA10Hu95	AFFX-BioC-5_at	16	2	20	20	19	0.80	4.61	8.0	364.3	P														

9	SA10Hu95	AFFX-BioC-3_at	15	1	20	20	18	0.75	3.50	15.0	205.6	P														

10	SA10Hu95	AFFX-BioDn-5_at	16	1	20	20	17	0.80	5.23	16.0	368.4	P														

11	SA10Hu95	AFFX-BioDn-3_at	16	2	20	20	20	0.80	5.01	8.0	1651.7	P														

12	SA10Hu95	AFFX-CreX-5_at	20	0	20	20	20	1.00	8.67	Undef	5969.2	P														

13	SA10Hu95	AFFX-CreX-3_at	20	0	20	20	20	1.00	8.42	Undef	6723.6	P														

14	SA10Hu95	AFFX-BioB-5_st	9	4	20	20	19	0.45	1.49	2.3	75.6	A														

15	SA10Hu95	AFFX-BioB-M_st	7	8	20	20	18	0.35	-0.20	0.9	-37.7	A														

16	SA10Hu95	AFFX-BioB-3_st	4	11	20	20	19	0.20	-2.00	0.4	-168.2	A														

17	SA10Hu95	AFFX-BioC-5_st	6	11	20	20	17	0.30	-1.35	0.5	-25.0	A														

18	SA10Hu95	AFFX-BioC-3_st	6	7	20	20	18	0.30	-1.22	0.9	-43.3	A														

19	SA10Hu95	AFFX-BioDn-5_st	8	3	20	20	20	0.40	1.39	2.7	247.9	A														

20	SA10Hu95	AFFX-BioDn-3_st	8	1	20	20	19	0.40	1.72	8.0	118.6	P														

21	SA10Hu95	AFFX-CreX-5_st	8	3	20	20	18	0.40	2.43	2.7	95.1	A														

22	SA10Hu95	AFFX-CreX-3_st	10	7	20	20	19	0.50	1.71	1.4	116.2	A														

23	SA10Hu95	AFFX-hum_alu_at	69	0	69	69	69	1.00	7.29	Undef	4165.6	P														

24	SA10Hu95	AFFX-DapX-5_at	6	6	20	20	19	0.30	-0.12	1.0	17.3	A														

25	SA10Hu95	AFFX-DapX-M_at	11	3	20	20	18	0.55	3.30	3.7	72.8	P														

26	SA10Hu95	AFFX-DapX-3_at	5	7	20	20	20	0.25	0.38	0.7	-23.5	A														

27	SA10Hu95	AFFX-LysX-5_at	5	6	20	20	18	0.25	0.41	0.8	4.5	A														

28	SA10Hu95	AFFX-LysX-M_at	7	6	20	20	18	0.35	-0.07	1.2	-18.5	A														

29	SA10Hu95	AFFX-LysX-3_at	4	7	20	20	18	0.20	-1.15	0.6	-5.6	A														

30	SA10Hu95	AFFX-PheX-5_at	5	7	20	20	18	0.25	-1.13	0.7	-14.2	A														

31	SA10Hu95	AFFX-PheX-M_at	4	9	20	20	18	0.20	-1.23	0.4	-4.3	A														

32	SA10Hu95	AFFX-PheX-3_at	4	4	20	20	17	0.20	-0.24	1.0	-0.1	A														

33	SA10Hu95	AFFX-ThrX-5_at	5	8	20	20	18	0.25	-1.48	0.6	-2.5	A														

34	SA10Hu95	AFFX-ThrX-M_at	6	7	20	20	17	0.30	0.56	0.9	12.9	A														

35	SA10Hu95	AFFX-ThrX-3_at	3	9	20	20	17	0.15	-1.88	0.3	-93.2	A														

36	SA10Hu95	AFFX-TrpnX-5_at	7	6	20	20	18	0.35	0.93	1.2	8.6	A														

37	SA10Hu95	AFFX-TrpnX-M_at	5	8	20	20	18	0.25	0.47	0.6	-16.8	A														

38	SA10Hu95	AFFX-TrpnX-3_at	2	7	20	20	18	0.10	-2.36	0.3	-19.1	A														

39	SA10Hu95	AFFX-HUMISGF3A/M97935_5_at	8	5	20	20	18	0.40	0.79	1.6	8.6	A														

40	SA10Hu95	AFFX-HUMISGF3A/M97935_MA_at	4	7	20	20	18	0.20	-0.67	0.6	-15.1	A														

41	SA10Hu95	AFFX-HUMISGF3A/M97935_MB_at	10	1	20	20	18	0.50	1.65	10.0	31.8	P														

42	SA10Hu95	AFFX-HUMISGF3A/M97935_3_at	16	2	20	20	18	0.80	5.31	8.0	391.9	P														

43	SA10Hu95	AFFX-HUMRGE/M10098_5_at	5	6	20	20	18	0.25	-0.03	0.8	6.1	A														

44	SA10Hu95	AFFX-HUMRGE/M10098_M_at	3	7	20	20	17	0.15	-0.98	0.4	-27.2	A														

45	SA10Hu95	AFFX-HUMRGE/M10098_3_at	5	7	20	20	18	0.25	-0.23	0.7	-62.7	A														

46	SA10Hu95	AFFX-HUMGAPDH/M33197_5_at	19	0	20	20	20	0.95	7.75	Undef	2012.9	P														

47	SA10Hu95	AFFX-HUMGAPDH/M33197_M_at	18	0	20	20	19	0.90	5.97	Undef	3666.4	P														

48	SA10Hu95	AFFX-HUMGAPDH/M33197_3_at	20	0	20	20	18	1.00	7.59	Undef	5853.2	P														

49	SA10Hu95	AFFX-HSAC07/X00351_5_at	18	1	20	20	18	0.90	5.74	18.0	1318.4	P														

50	SA10Hu95	AFFX-HSAC07/X00351_M_at	18	0	20	20	19	0.90	5.85	Undef	2516.5	P														

51	SA10Hu95	AFFX-HSAC07/X00351_3_at	20	0	20	20	20	1.00	8.13	Undef	5843.0	P														

52	SA10Hu95	AFFX-HUMTFRR/M11507_5_at	7	0	20	20	17	0.35	1.36	Undef	19.9	P														

