Workers	Time	Num_threads
1	178.938404798508	1
1	112.76922917366	2
1	84.650356054306	3
1	61.0969128608704	4
1	63.1454830169678	5
1	49.2960729598999	6
1	51.8927240371704	7
1	45.5927169322968	8
1	46.2737741470337	9
1	40.8722729682922	10
1	44.4360239505768	11
1	37.3554339408875	12
1	40.5710618495941	13
1	36.4482939243317	14
1	36.4519062042236	15
1	33.4911158084869	16
1	37.1376218795776	17
1	32.4367210865021	18
1	33.3633720874786	19
1	31.2749779224396	20
1	31.1670458316803	21
1	30.0457139015198	22
1	27.8352589607239	23
1	28.6120648384094	24
1	24.4751408100128	25
1	28.3529608249664	26
1	25.3145048618317	27
1	26.4404051303864	28
1	22.3202078342438	29
1	29.1410069465637	30
1	22.250314950943	31
1	27.8500430583954	32
1	19.934788942337	33
1	27.3992631435394	34
1	21.0118470191956	35
1	29.4623599052429	36
1	20.6957709789276	37
1	26.4348518848419	38
1	21.3568131923676	39
1	24.5609579086304	40
1	19.8218958377838	41
1	25.9769310951233	42
1	17.7957248687744	43
1	27.0052919387817	44
1	20.4671499729156	45
1	24.9652090072632	46
1	20.023833990097	47
1	22.5634450912476	48
1	20.6412780284882	49
1	22.3358390331268	50
1	21.0793199539185	51
1	21.1400940418243	52
1	20.4911229610443	53
1	21.2955031394958	54
1	22.542937040329	55
1	21.7591650485992	56
1	21.4544308185577	57
1	21.2355051040649	58
1	21.7460961341858	59
1	20.1360869407654	60
1	20.9227619171143	61
1	20.7585868835449	62
1	21.561558008194	63
1	19.9666621685028	64
1	23.3683199882507	65
1	20.9821679592133	66
1	22.3980419635773	67
1	20.3848960399628	68
1	26.0149369239807	69
1	22.8378720283508	70
1	25.6865501403809	71
1	24.2398538589478	72
2	95.188707113266	1
2	59.2699420452118	2
2	45.0241868495941	3
2	32.7724738121033	4
2	33.6306109428406	5
2	26.2937090396881	6
2	28.3448648452759	7
2	25.2436180114746	8
2	25.4806609153748	9
2	23.5555300712585	10
2	23.184140920639	11
2	20.8916399478912	12
2	21.680319070816	13
2	19.5466198921204	14
2	20.5643498897552	15
2	18.0944418907166	16
2	20.0226030349731	17
