AMLReq,AMLRequest
Accptd,Accepted
AccptncDtTm,AcceptationDateTime
Acct,Account
AcctBalCcyCd,AccountBalanceCurrencyCode
AcctCcyInd,AccountCurrencyInd
AcctChrtcs,AccountCharacteristics
AcctCrit,AccountCriteria
AcctCshNtryRtrCrit,AccountCashEntryReturnCriteria
AcctId,AccountId
AcctIdInd,AccountIdInd
AcctInd,AccountInd
AcctLvl,AccountLevel
AcctNb,AccountNumber
AcctNtry,AccountEntry
AcctNtrySch,AccountEntrySearch
AcctOrErr,AccountOrError
AcctOwnr,AccountOwner
AcctOwnrInd,AccountOwnerInd
AcctOwnrTxId,AccountOwnerTransactionId
AcctQryDef,AccountQueryDefinition
AcctRpt,AccountReport
AcctRptgReq,AccountReportingRequest
AcctSvcr,AccountServicer
AcctSvcrCtct,AccountServicerContact
AcctSvcrInd,AccountServicerInd
AcctSvcrRef,AccountServicerReference
AcctSvcrTxId,AccountServicerTransactionId
AcctTpInd,AccountTypeInd
AcctVal,AccountValue
AckDtls,AcknowlegdementDetails
AckdAccptd,AcknowledgementAccepted
ActlDt,ActualDate
Actn,Action
ActnRsn,ActionReason
ActvtyInd,ActivityInd
AddtlBal,AdditionalBalance
AddtlCardData,AdditionalCardData
AddtlCxlRsnInf,AdditionalCancellationReasonInformation
AddtlIncrrctInf,AdditionalIncorrectInformation
AddtlInf,AdditionalInformation
AddtlInfInd,AdditionalInformationInd
AddtlMssngInf,AdditionalMissingInformation
AddtlNtfctnInf,AdditionalNotificationInformation
AddtlNtryInf,AdditionalEntryInformation
AddtlParams,AdditionalParameters
AddtlPmtInf,AdditionalParameterInformation
AddtlReqData,AdditionalRequestData
AddtlRmtInf,AdditionalRemittanceInformation
AddtlRptInf,AdditionalReportInformation
AddtlRsnInf,AdditionalReasonInformation
AddtlStmtInf,AdditionalStatementInformation
AddtlStsInf,AdditionalStatusInformation
AddtlSvc,AdditionalService
AddtlTxInf,AdditionalTransactionInformation
AdjstmntAmtAndRsn,AdjustmentAmountAndReason
AdjstmntId,AdjustmentId
AdmstnZone,AdministrationZone
Adr,Address
