# Deduceri pentru >=4 persoane
# Tab separated columns
#
#VBL-min	VBL-max	deducere
0	1030	650
1031	1061	640
1062	1092	630
1093	1123	620
1124	1153	610
1154	1184	600
1185	1215	590
1216	1246	580
1247	1276	570
1277	1307	560
1308	1338	550
1339	1369	540
1370	1399	530
1400	1430	520
1431	1461	510
1462	1492	500
1493	1523	490
1524	1553	480
1554	1584	470
1585	1615	460
1616	1646	450
1647	1676	440
1677	1707	430
1708	1738	420
1739	1769	410
1770	1799	400
1800	1830	390
1831	1861	380
1862	1892	370
1893	1923	360
1924	1953	350
1954	1984	340
1985	2015	330
2016	2046	320
2047	2076	310
2077	2107	300
2108	2138	290
2139	2169	280
2170	2199	270
2200	2230	260
2231	2261	250
2262	2292	240
2293	2323	230
2324	2353	220
2354	2384	210
2385	2415	200
2416	2446	190
2447	2476	180
2477	2507	170
2508	2538	160
2539	2569	150
2570	2599	140
2600	2630	130
2631	2661	120
2662	2692	110
2693	2723	100
2724	2753	90
2754	2784	80
2785	2815	70
2816	2846	60
2847	2876	50
2877	2907	40
2908	2938	30
2939	2969	20
2970	2999	10
3000	999999	0
