# Deduceri pentru 2 persoane
# Tab separated columns
#
#VBL-min	VBL-max	deducere
0	1529	500
1530	1559	490
1560	1589	480
1590	1619	470
1620	1649	460
1650	1679	450
1680	1709	440
1710	1739	430
1740	1769	420
1770	1799	410
1800	1829	400
1830	1859	390
1860	1889	380
1890	1919	370
1920	1949	360
1950	1979	350
1980	2009	340
2010	2039	330
2040	2069	320
2070	2099	310
2100	2129	300
2130	2159	290
2160	2189	280
2190	2219	270
2220	2249	260
2250	2279	250
2280	2309	240
2310	2339	230
2340	2369	220
2370	2399	210
2400	2429	200
2430	2459	190
2460	2489	180
2490	2519	170
2520	2549	160
2550	2579	150
2580	2609	140
2610	2639	130
2640	2669	120
2670	2699	110
2700	2729	100
2730	2759	90
2760	2789	80
2790	2819	70
2820	2849	60
2850	2879	50
2880	2909	40
2910	2939	30
2940	2969	20
2970	2999	10
3000	999999	0
