# Deduceri pentru >=4 persoane
# Tab separated columns
#
#VBL-min	VBL-max	deducere
0	1518	800
1519	1537	790
1538	1556	780
1557	1574	770
1575	1593	760
1594	1612	750
1613	1631	740
1632	1649	730
1650	1668	720
1669	1687	710
1688	1706	700
1707	1724	690
1725	1743	680
1744	1762	670
1763	1781	660
1782	1799	650
1800	1818	640
1819	1837	630
1838	1856	620
1857	1874	610
1875	1893	600
1894	1912	590
1913	1931	580
1932	1949	570
1950	1968	560
1969	1987	550
1988	2006	540
2007	2024	530
2025	2043	520
2044	2062	510
2063	2081	500
2082	2099	490
2100	2118	480
2119	2137	470
2138	2156	460
2157	2174	450
2175	2193	440
2194	2212	430
2213	2231	420
2232	2249	410
2250	2268	400
2269	2287	390
2288	2306	380
2307	2324	370
2325	2343	360
2344	2362	350
2363	2381	340
2382	2399	330
2400	2418	320
2419	2437	310
2438	2456	300
2457	2474	290
2475	2493	280
2494	2512	270
2513	2531	260
2532	2549	250
2550	2568	240
2569	2587	230
2588	2606	220
2607	2624	210
2625	2643	200
2644	2662	190
2663	2681	180
2682	2699	170
2700	2718	160
2719	2737	150
2738	2756	140
2757	2774	130
2775	2793	120
2794	2812	110
2813	2831	100
2832	2849	90
2850	2868	80
2869	2887	70
2888	2906	60
2907	2924	50
2925	2943	40
2944	2962	30
2963	2981	20
2982	2999	10
3000	999999	0
