# Deduceri pentru 1 persoane
# Tab separated columns
#
#VBL-min	VBL-max	deducere
1	1950	670
1951	2000	655
2001	2050	640
2051	2100	625
2101	2150	610
2151	2200	595
2201	2250	580
2251	2300	565
2301	2350	550
2351	2400	535
2401	2450	520
2451	2500	505
2501	2550	490
2551	2600	475
2601	2650	460
2651	2700	445
2701	2750	430
2751	2800	415
2801	2850	400
2851	2900	385
2901	2950	370
2951	3000	355
3001	3050	340
3051	3100	325
3101	3150	310
3151	3200	295
3201	3250	280
3251	3300	265
3301	3350	250
3351	3400	235
3401	3450	220
3451	3500	205
3501	3550	190
3551	3600	175
3601	999999	0
