Chech	CZ
1 Vodik H
2 Helium He
3 Lithium Li
4 Beryllium Be
5 Bor B
6 Uhlik C
7 Dusik N
8 Kyslik O
9 Fluor F
10 Neon Ne
11 Sodik Na
12 Horcik Mg
13 Hlinik Al
14 Kremik Si
15 Fosfor P
16 Sira S
17 Chlor Cl
18 Argon Ar
19 Draslik K
20 Vapnik Ca
21 Skandium Sc
22 Titan Ti
23 Vanad V
24 Chrom Cr
25 Mangan Mn
26 Zelezo Fe
27 Kobalt Co
28 Nikl Ni
29 Med Cu
30 Zinek Zn
31 Gallium Ga
32 Germanium Ge
33 Arsen As
34 Selen Se
35 Brom Br
36 Krypton Kr
37 Rubidium Rb
38 Stroncium Sr
39 Yttrium Y
40 Zirkonium Zr
41 Niob Nb
42 Molybden Mo
43 Technecium Tc
44 Ruthenium Ru
45 Rhodium Rh
46 Palladium Pd
47 Stribro Ag
48 Kadmium Cd
49 Indium In
50 Cin Sn
51 Antimon Sb
52 Tellur Te
53 Jod I
54 Xenon Xe
55 Cesium Cs
56 Baryum Ba
57 Lanthan La
58 Cer Ce
59 Praseodym Pr
60 Neodym Nd
61 Promethium Pm
62 Samarium Sm
63 Europium Eu
64 Gadolinium Gd
65 Terbium Tb
66 Dysprosium Dy
67 Holmium Ho
68 Erbium Er
69 Thulium Tm
70 Ytterbium Yb
71 Lutecium Lu
72 Hafnium Hf
73 Tantal Ta
74 Wolfram W
75 Rhenium Re
76 Osmium Os
77 Iridium Ir
78 Platina Pt
79 Zlato Au
80 Rtut Hg
81 Thallium Tl
82 Olovo Pb
83 Bismut Bi
84 Polonium Po
85 Astat At
86 Radon Rn
87 Francium Fr
88 Radium Ra
89 Aktinium Ac
90 Thorium Th
91 Protaktinium Pa
92 Uran U
93 Neptunium Np
94 Plutonium Pu
95 Americium Am
96 Curium Cm
97 Berkelium Bk
98 Kalifornium Cf
99 Einsteinium Es
100 Fermium Fm
101 Mendelevium Md
102 Nobelium No
103 Lawrencium Lr
104 Rutherfordium Rf
105 Dubnium Db
106 Seaborgium Sg
107 Bohrium Bh
108 Hassium Hs
109 Meitnerium Mt
110 Darmstadtium Ds
111 Roentgenium Rg
112 Ununbium Uub
113 Ununtrium Uut
114 Ununquadium Uuq
115 Ununpentium Uup
116 Ununhexium Uuh
117 Ununseptium Uus
118 Ununoctium Uuo
