Spanish	ES
1 Hidrogeno H
2 Helio He
3 Litio Li
4 Berilio Be
5 Boro B
6 Carbono C
7 Nitrogeno N
8 Oxigeno O
9 Fluor F
10 Neon Ne
11 Sodio Na
12 Magnesio Mg
13 Aluminio Al
14 Silicio Si
15 Fosforo P
16 Azufre S
17 Cloro Cl
18 Argon Ar
19 Potasio K
20 Calcio Ca
21 Escandio Sc
22 Titanio Ti
23 Vanadio V
24 Cromo Cr
25 Manganeso Mn
26 Hierro Fe
27 Cobalto Co
28 Niquel Ni
29 Cobre Cu
30 Zinc Zn
31 Galio Ga
32 Germanio Ge
33 Arsenico As
34 Selenio Se
35 Bromo Br
36 Kripton Kr
37 Rubidio Rb
38 Estroncio Sr
39 Itrio Y
40 Circonio Zr
41 Niobio Nb
42 Molibdeno Mo
43 Tecnecio Tc
44 Rutenio Ru
45 Rodio Rh
46 Paladio Pd
47 Plata Ag
48 Cadmio Cd
49 Indio In
50 Estano Sn
51 Antimonio Sb
52 Telurio Te
53 Yodo I
54 Xenon Xe
55 Cesio Cs
56 Bario Ba
57 Lantano La
58 Cerio Ce
59 Praseodimio Pr
60 Neodimio Nd
61 Prometio Pm
62 Samario Sm
63 Europio Eu
64 Gadolinio Gd
65 Terbio Tb
66 Disprosio Dy
67 Holmio Ho
68 Erbio Er
69 Tulio Tm
70 Iterbio Yb
71 Lutecio Lu
72 Hafnio Hf
73 Tantalio Ta
74 Wolframio W
75 Renio Re
76 Osmio Os
77 Iridio Ir
78 Platino Pt
79 Oro Au
80 Mercurio Hg
81 Talio Tl
82 Plomo Pb
83 Bismuto Bi
84 Polonio Po
85 Astato At
86 Radon Rn
87 Francio Fr
88 Radio Ra
89 Actinio Ac
90 Torio Th
91 Protactinio Pa
92 Uranio U
93 Neptunio Np
94 Plutonio Pu
95 Americio Am
96 Curio Cm
97 Berkelio Bk
98 Californio Cf
99 Einsteinio Es
100 Fermio Fm
101 Mendelevio Md
102 Nobelio No
103 Lawrencio Lr
104 Rutherfordio Rf
105 Dubnio Db
106 Seaborgio Sg
107 Bohrio Bh
108 Hassio Hs
109 Meitnerio Mt
110 Darmstadtio Ds
111 Roentgenio Rg
112 Ununbio Uub
113 Ununtrio Uut
114 Ununquadio Uug
115 Ununpentio Uup
116 Ununhexio Uuh
117 Ununseptio Uus
118 Ununoctio Uuo
