XXX	SV
1 Vate H
2 Helium He
3 Litium Li
4 Beryllium Be
5 Bor B
6 Kol C
7 Kvave N
8 Syre O
9 Fluor F
10 Neon Ne
11 Natrium Na
12 Magnesium Mg
13 Aluminium Al
14 Kisel Si
15 Fosfor P
16 Svavel S
17 Klor Cl
18 Argon Ar
19 Kalium K
20 Kalcium Ca
21 Skandium Sc
22 Titan Ti
23 Vanadin V
24 Krom Cr
25 Mangan Mn
26 Jarn Fe
27 Kobolt Co
28 Nickel Ni
29 Koppar Cu
30 Zink Zn
31 Gallium Ga
32 Germanium Ge
33 Arsenik As
34 Selen Se
35 Brom Br
36 Krypton Kr
37 Rubidium Rb
38 Strontium Sr
39 Yttrium Y
40 Zirkonium Zr
41 Niob Nb
42 Molybden Mo
43 Teknetium Tc
44 Rutenium Ru
45 Rodium Rh
46 Palladium Pd
47 Silver Ag
48 Kadmium Cd
49 Indium In
50 Tenn Sn
51 Antimon Sb
52 Tellur Te
53 Jod I
54 Xenon Xe
55 Cesium Cs
56 Barium Ba
57 Lantan La
58 Cerium Ce
59 Praseodym Pr
60 Neodym Nd
61 Prometium Pm
62 Samarium Sm
63 Europium Eu
64 Gadolinium Gd
65 Terbium Tb
66 Dysprosium Dy
67 Holmium Ho
68 Erbium Er
69 Tulium Tm
70 Ytterbium Yb
71 Lutetium Lu
72 Hafnium Hf
73 Tantal Ta
74 Volfram W
75 Rhenium Re
76 Osmium Os
77 Iridium Ir
78 Platina Pt
79 Guld Au
80 Kvicksilver Hg
81 Tallium Tl
82 Bly Pb
83 Vismut Bi
84 Polonium Po
85 Astat At
86 Radon Rn
87 Francium Fr
88 Radium Ra
89 Aktinium Ac
90 Torium Th
91 Protaktinium Pa
92 Uran U
93 Neptunium Np
94 Plutonium Pu
95 Americium Am
96 Curium Cm
97 Berkelium Bk
98 Californium Cf
99 Einsteinium Es
100 Fermium Fm
101 Mendelevium Md
102 Nobelium No
103 Lawrencium Lr
104 Rutherfordium Rf
105 Dubnium Db
106 Seaborgium Sg
107 Bohrium Bh
108 Hassium Hs
109 Meitnerium Mt
110 Darmstadtium Ds
111 Rontgenium Rg
112 Ununbium Uub
113 Ununtrium Uut
114 Ununquadium Uug
115 Ununpentium Uup
116 Ununhexium Uuh
117 Ununseptium Uus
118 Ununoctium Uuo
