"Atomic Number","Element","Symbol","Atomic Weight","Period","Group","Phase","Most Stable Crystal","Type","Ionic Radius","Atomic Radius","Electronegativity","First Ionization Potential","Density","Melting Point (K)","Boiling Point (K)","Isotopes","Specific Heat Capacity","Electron Configuration","Origin","Display Row","Display Column"
1,"Hydrogen","H",1.00794,1,1,"gas",,"Reactive Nonmetal",0.012,0.79,2.2,13.5984,8.988E-05,14.175,20.28,3,14.304,"1s1","Big Bang",1,1
2,"Helium","He",4.002602,1,18,"gas",,"Noble Gas",,0.49,,24.5874,0.0001785,,4.22,5,5.193,"1s2","Big Bang",1,18
3,"Lithium","Li",6.941,2,1,"solid","bcc","Alkali Metal",0.76,2.1,0.98,5.3917,0.534,453.85,1615,5,3.582,"[He] 2s1","Dying low-mass stars",2,1
4,"Beryllium","Be",9.012182,2,2,"solid","hex","Alkaline Earth Metal",0.35,1.4,1.57,9.3227,1.85,1560.15,2742,6,1.825,"[He] 2s2","Cosmic ray collisions",2,2
5,"Boron","B",10.811,2,13,"solid","rho","Metalloid",0.23,1.2,2.04,8.298,2.34,2573.15,4200,6,1.026,"[He] 2s2 2p1","Cosmic ray collisions",2,13
6,"Carbon","C",12.0107,2,14,"solid","hex","Reactive Nonmetal",,0.91,2.55,11.2603,2.267,3948.15,4300,7,0.709,"[He] 2s2 2p2","Dying low-mass stars",2,14
7,"Nitrogen","N",14.0067,2,15,"gas",,"Reactive Nonmetal",0.13,0.75,3.04,14.5341,0.0012506,63.29,77.36,8,1.04,"[He] 2s2 2p3","Dying low-mass stars",2,15
8,"Oxygen","O",15.9994,2,16,"gas",,"Reactive Nonmetal",1.4,0.65,3.44,13.6181,0.001429,50.5,90.2,8,0.918,"[He] 2s2 2p4","Dying high-mass stars",2,16
9,"Fluorine","F",18.9984032,2,17,"gas",,"Reactive Nonmetal",1.3,0.57,3.98,17.4228,0.001696,53.63,85.03,6,0.824,"[He] 2s2 2p5","Dying high-mass stars",2,17
10,"Neon","Ne",20.1797,2,18,"gas",,"Noble Gas",,0.51,,21.5645,0.0008999,24.703,27.07,8,1.03,"[He] 2s2 2p6","Dying high-mass stars",2,18
11,"Sodium","Na",22.98976928,3,1,"solid","bcc","Alkali Metal",1,2.2,0.93,5.1391,0.971,371.15,1156,7,1.228,"[Ne] 3s1","Dying high-mass stars",3,1
