label	id	concept_id	vocabulary_id	domain_id	concept_class_id	standard_concept	valid_start_date	valid_end_date	invalid_reason
MALE	M	8507	Gender	Gender	Gender	S	19700101	20991231	""
FEMALE	F	8532	Gender	Gender	Gender	S	19700101	20991231	""
White	LA4457-3	45877987	LOINC	Meas Value	Answer	S	19700101	20991231	""
NA	LA12334-1	36311145	LOINC	Meas Value	Answer	S	19700101	20991231	""
Not Hispanic or Latino	Not Hispanic	38003564	Ethnicity	Ethnicity	Ethnicity	S	19700101	20991231	""
Hispanic or Latino	Hispanic	38003563	Ethnicity	Ethnicity	Ethnicity	S	19700101	20991231	""
Usa	4004810	42007257	OSM	Geography	7th level	S	19700101	20991231	""
US	LA31572-3	1621184	LOINC	Meas Value	Answer	S	19700101	20991231	""
Injury of anterior cruciate ligament	444470001	40479768	SNOMED	Condition	Clinical Finding	S	20100131	20991231	""
Concussion with no loss of consciousness	850.0	44832796	ICD9CM	Condition	4-dig billing code		19700101	20991231	""
Acute viral pharyngitis	195662009	4112343	SNOMED	Condition	Clinical Finding	S	20020131	20991231	""
Streptococcal sore throat	034.0	44820546	ICD9CM	Condition	4-dig billing code		19700101	20991231	""
Viral sinusitis	444814009	40481087	SNOMED	Condition	Clinical Finding	S	20100731	20991231	""
Surgical manipulation of joint of knee	699253003	44783196	SNOMED	Procedure	Procedure	S	20140131	20991231	""
Suture open wound	150348004	40309874	SNOMED	Procedure	Procedure		19700101	20020131	U
Radiologic examination of knee	74016001	4252419	SNOMED	Procedure	Procedure	S	20020131	20991231	""
Bone immobilization	150732003	40311526	SNOMED	Procedure	Procedure		19700101	20020131	U
Radiography of humerus	1225002	4047491	SNOMED	Procedure	Procedure	S	20020131	20991231	""
Plain chest X-ray	399208008	4163872	SNOMED	Procedure	Procedure	S	20030731	20991231	""
Sputum examination	269911007	4151422	SNOMED	Procedure	Procedure	S	20020131	20991231	""
History of appendectomy	428251008	4323208	SNOMED	Observation	Context-dependent		20080131	20991231	""
Type 2 diabetes mellitus	E11	1567956	ICD10CM	Condition	3-char nonbill code		20120101	20991231	""
Headache	R51	35211388	ICD10CM	Condition	3-char nonbill code		20070101	20991231	""
Alanine aminotransferase	LP15333-5	40782579	LOINC	Observation	LOINC Component		19700101	20991231	""
U/L	258947003	4118000	SNOMED	Unit	Qualifier Value		20020131	20991231	""
Negative	LA6577-6	45878583	LOINC	Meas Value	Answer	S	19700101	20991231	""
Weight	LP18015-5	40786050	LOINC	Observation	LOINC Component		19700101	20991231	""
kg	258683005	4122383	SNOMED	Unit	Qualifier Value		20020131	20991231	""
metFORMIN	LP33332-5	44787139	LOINC	Observation	LOINC Component		19700101	20991231	""
Oral	LA9367-9	45878097	LOINC	Meas Value	Answer	S	19700101	20991231	""
Asthma	J45	1569488	ICD10CM	Condition	3-char nonbill code		20120101	20991231	""
