source_concept_id	target_concept_id	relationship_id	valid_start_date	valid_end_date	invalid_reason
1567956	201826	Maps to	19700101	20991231	""
1569488	317009	Maps to	19700101	20991231	""
4118000	8645	Maps to	20220605	20991231	""
4121395	8713	Maps to	20220605	20991231	""
4121396	8840	Maps to	20220605	20991231	""
4122383	9529	Maps to	19700101	20991231	""
4323208	1340204	Maps to	20220801	20991231	""
4323208	4198190	Maps to value	20220801	20991231	""
35211388	378253	Maps to	19700101	20991231	""
40309874	4125906	Maps to	19700101	20991231	""
40311526	4170947	Maps to	19700101	20991231	""
44820546	28060	Maps to	19700101	20991231	""
44832796	378001	Maps to	19700101	20991231	""
44957998	40223821	Maps to	20100802	20991231	""
45534429	31967	Maps to	19700101	20991231	""
