ACX	acx
AEX	aex
Abucoins	abucoins
AidosMarket	aidos-market
Allcoin	allcoin
Altcoin Trader	altcoin-trader
BCC Exchange	bcc-exchange
BCEX	bcex
BITHOLIC	bitholic
BL3P	bl3p
BTC Markets	btc-markets
BTC Trade UA	btc-trade-ua
BTC-Alpha	btc-alpha
BTCBOX	btcbox
BTCC	btcc
BTCTurk	btcturk
BX Thailand	bx-thailand
Bancor Network	bancor-network
Bibox	bibox
BigONE	bigone
Binance	binance
Bisq	bisq
Bit-Z	bit-z
Bit2C	bit2c
BitBay	bitbay
BitFlip	bitflip
BitGrail	bitgrail
BitKonan	bitkonan
BitMEX	bitmex
BitMarket	bitmarket
BitShares Asset Exchange	bitshares-asset-exchange
Bitbank	bitbank
Bitcoin Indonesia	bitcoin-indonesia
BitcoinToYou	bitcointoyou
BitcoinTrade	bitcointrade
Bitex.la	bitex-la
Bitfinex	bitfinex
Bithumb	bithumb
Bitlish	bitlish
Bitmaszyna	bitmaszyna
Bitonic	bitonic
Bits Blockchain	bits-blockchain
Bitsane	bitsane
Bitso	bitso
Bitstamp	bitstamp
Bitstamp (Ripple Gateway)	bitstamp-ripple-gateway
Bittrex	bittrex
Bittylicious	bittylicious
Bleutrade	bleutrade
Braziliex	braziliex
BtcTrade.im	btctrade-im
Burst Asset Exchange	burst-asset-exchange
C-CEX	c-cex
C2CX	c2cx
CEX.IO	cex-io
COSS	coss
ChaoEX	chaoex
CoinCorner	coincorner
CoinEgg	coinegg
CoinExchange	coinexchange
CoinFalcon	coinfalcon
CoinMate	coinmate
Coinbene	coinbene
Coinfloor	coinfloor
Coingi	coingi
Coinnest	coinnest
Coinone	coinone
Coinrail	coinrail
Coinrate	coinrate
Coinroom	coinroom
CoinsBank	coinsbank
CoinsMarkets	coinsmarkets
Coinsecure	coinsecure
Coinsquare	coinsquare
Coinut	coinut
CoolCoin	coolcoin
Counterparty DEX	counterparty-dex
CryptoBridge	cryptobridge
CryptoDerivatives	cryptoderivatives
CryptoMarket	cryptomarket
Cryptomate	cryptomate
Cryptopia	cryptopia
Cryptox	cryptox
DC-Ex	dc-ex
DSX	dsx
Dgtmarket	dgtmarket
ETHEXIndia	ethexindia
EXX	exx
EtherDelta	etherdelta
Ethfinex	ethfinex
ExcambrioRex	excambriorex
Exmo	exmo
Exrates	exrates
Fargobase	fargobase
Fisco	fisco
Foxbit	foxbit
FreiExchange	freiexchange
GDAX	gdax
GOPAX	gopax
Gate.io	gate-io
Gatecoin	gatecoin
Gatehub	gatehub
Gemini	gemini
GetBTC	getbtc
GuldenTrader	guldentrader
Heat Wallet	heat-wallet
HitBTC	hitbtc
Huobi	huobi
IDEX	idex
ISX	isx
Independent Reserve	independent-reserve
InfinityCoin Exchange	infinitycoin-exchange
Koineks	koineks
Koinex	koinex
Koinim	koinim
Korbit	korbit
Kraken	kraken
Kucoin	kucoin
Kuna	kuna
LEOxChange	leoxchange
LakeBTC	lakebtc
Lbank	lbank
Liqui	liqui
LiteBit.eu	litebit
Livecoin	livecoin
LocalTrade	localtrade
Luno	luno
Lykke Exchange	lykke-exchange
Mercado Bitcoin	mercado-bitcoin
Mercatox	mercatox
Mr. Exchange	mr-exchange
NIX-E	nix-e
Negocie Coins	negocie-coins
Nocks	nocks
Nxt Asset Exchange	nxt-asset-exchange
OEX	oex
OKCoin.cn	okcoin-cn
OKEx	okex
OasisDEX	oasisdex
OkCoin Intl.	okcoin-intl
Omni DEX	omni-dex
OpenLedger DEX	openledger
Paribu	paribu
Poloniex	poloniex
QBTC	qbtc
Qryptos	qryptos
QuadrigaCX	quadrigacx
Quoine	quoine
RightBTC	rightbtc
Rippex	rippex
Ripple China	ripple-china
RippleFox	ripplefox
SouthXchange	southxchange
Stellar Decentralized Exchange	stellar-decentralized-exchange
Stocks.Exchange	stocks-exchange
SurBTC	surbtc
TCC Exchange	tcc-exchange
TDAX	tdax
TOPBTC	topbtc
The Rock Trading	therocktrading
Tidebit	tidebit
Tidex	tidex
Token Store	token-store
Trade Satoshi	trade-satoshi
Tripe Dice Exchange	triple-dice-exchange
Tux Exchange	tux-exchange
VirtacoinWorld	virtacoinworld
WEX	wex
Waves Decentralized Exchange	waves-dex
YoBit	yobit
ZB.COM	zb-com
Zaif	zaif
alcurEX	alcurex
bitFlyer	bitflyer
ezBtc	ezbtc
itBit	itbit
xBTCe	xbtce
