# Price index drawn from Danmarks Statistik
# See http://dst.dk/
# Period syntax: <yyyy>M<mm> where <yyyy> is the year and <mm> is the month
period	vegetables	fuel
2000M01	102.8	92.3
2000M02	106.3	95.8
2000M03	103.7	101.6
2000M04	106.9	98.6
2000M05	104.3	101.0
2000M06	105.4	104.3
2000M07	96.2	103.2
2000M08	95.7	100.4
2000M09	95.9	104.9
2000M10	93.6	101.4
2000M11	94.7	100.3
2000M12	94.5	96.3
2001M01	96.6	97.1
2001M02	96.7	100.3
2001M03	98.9	98.2
2001M04	102.0	102.5
2001M05	105.2	108.3
2001M06	106.4	103.0
2001M07	99.3	100.2
2001M08	96.4	99.2
2001M09	93.1	101.7
2001M10	95.6	95.1
2001M11	93.3	91.4
2001M12	96.7	91.4
2002M01	105.6	94.4
2002M02	105.2	94.1
2002M03	107.0	97.4
2002M04	104.9	103.8
2002M05	104.5	99.3
2002M06	105.2	97.9
2002M07	99.7	99.0
2002M08	100.2	99.8
2002M09	98.5	101.5
2002M10	98.4	101.7
2002M11	97.1	98.4
2002M12	98.4	98.3
2003M01	100.6	100.1
2003M02	111.3	103.8
2003M03	119.0	103.5
2003M04	117.8	100.0
2003M05	108.8	95.4
2003M06	109.3	95.9
2003M07	103.5	98.0
2003M08	103.7	100.1
2003M09	110.0	100.1
2003M10	105.5	97.2
2003M11	110.4	97.8
2003M12	106.7	97.1
2004M01	110.2	98.2
2004M02	105.2	98.6
2004M03	108.0	102.3
2004M04	108.1	101.6
2004M05	107.2	109.2
2004M06	106.0	104.4
2004M07	99.4	106.9
2004M08	100.2	107.7
2004M09	100.3	106.2
2004M10	100.8	110.3
2004M11	99.5	105.1
2004M12	100.2	100.7
2005M01	103.0	102.1
2005M02	111.0	104.4
2005M03	120.5	107.0
2005M04	109.5	112.3
2005M05	106.6	109.5
2005M06	105.5	112.8
2005M07	103.9	119.0
2005M08	104.9	120.3
2005M09	104.8	126.0
2005M10	99.6	122.6
2005M11	97.0	116.1
2005M12	95.4	115.5
2006M01	99.3	119.0
2006M02	103.9	116.8
2006M03	107.4	117.8
2006M04	107.4	124.3
2006M05	111.0	125.9
2006M06	113.2	126.4
2006M07	108.5	129.8
2006M08	113.3	129.2
2006M09	113.8	116.7
2006M10	105.3	112.9
2006M11	107.5	113.0
2006M12	109.4	113.4
2007M01	118.9	110.6
2007M02	119.0	113.1
2007M03	115.0	118.1
2007M04	124.1	121.4
2007M05	120.5	125.6
2007M06	117.7	125.0
2007M07	117.1	126.0
2007M08	118.1	120.6
2007M09	119.6	122.8
2007M10	118.8	120.5
2007M11	124.9	128.5
2007M12	124.0	123.9
2008M01	124.9	129.3
2008M02	121.7	128.2
2008M03	121.6	130.1
2008M04	125.1	132.0
2008M05	127.9	137.3
