symbol,epoch,resample_epoch,bid,quote,ask
USDJPY,1479203101,1479203115,108.26,108.263,108.265
USDJPY,1479203102,1479203115,108.262,108.263,108.265
USDJPY,1479203103,1479203115,108.239,108.264,108.289
USDJPY,1479203104,1479203115,108.277,108.278,108.279
USDJPY,1479203105,1479203115,108.274,108.279,108.284
USDJPY,1479203106,1479203115,108.276,108.279,108.281
USDJPY,1479203107,1479203115,108.273,108.279,108.284
USDJPY,1479203108,1479203115,108.282,108.284,108.286
USDJPY,1479203109,1479203115,108.282,108.285,108.289
USDJPY,1479203110,1479203115,108.283,108.288,108.293
USDJPY,1479203111,1479203115,108.285,108.286,108.288
USDJPY,1479203112,1479203115,108.274,108.288,108.302
USDJPY,1479203113,1479203115,108.278,108.287,108.297
USDJPY,1479203114,1479203115,108.285,108.286,108.288
USDJPY,1479203117,1479203130,108.286,108.289,108.292
USDJPY,1479203118,1479203130,108.29,108.291,108.291
USDJPY,1479203119,1479203130,108.279,108.285,108.29
USDJPY,1479203120,1479203130,108.28,108.285,108.29
USDJPY,1479203121,1479203130,108.275,108.284,108.293
USDJPY,1479203122,1479203130,108.285,108.285,108.286
USDJPY,1479203123,1479203130,108.282,108.284,108.286
USDJPY,1479203124,1479203130,108.279,108.285,108.29
USDJPY,1479203125,1479203130,108.282,108.284,108.285
USDJPY,1479203126,1479203130,108.282,108.284,108.286
USDJPY,1479203127,1479203130,108.27,108.283,108.296
USDJPY,1479203128,1479203130,108.283,108.285,108.288
USDJPY,1479203129,1479203130,108.277,108.278,108.278
USDJPY,1479203130,1479203130,108.272,108.278,108.284
USDJPY,1479203146,1479203160,108.26,108.274,108.287
USDJPY,1479203147,1479203160,108.272,108.273,108.274
USDJPY,1479203148,1479203160,108.265,108.273,108.282
USDJPY,1479203149,1479203160,108.268,108.281,108.295
USDJPY,1479203150,1479203160,108.274,108.282,108.291
USDJPY,1479203151,1479203160,108.283,108.285,108.286
USDJPY,1479203152,1479203160,108.293,108.296,108.299
USDJPY,1479203153,1479203160,108.296,108.298,108.3
USDJPY,1479203154,1479203160,108.32,108.321,108.323
USDJPY,1479203155,1479203160,108.309,108.322,108.334
USDJPY,1479203156,1479203160,108.307,108.320,108.333
