Date,Open,High,Low,Close,Volume,Adj Close
2012-02-15,514.26,526.29,496.89,497.67,53706600,497.67
2012-02-14,504.66,509.56,502.00,509.46,16442800,509.46
2012-02-13,499.53,503.83,497.09,502.60,18454300,502.60
2012-02-10,490.96,497.62,488.55,493.42,22523900,493.42
2012-02-09,480.76,496.75,480.56,493.17,31527700,493.17
2012-02-08,470.50,476.79,469.70,476.68,14544700,476.68
2012-02-07,465.25,469.75,464.58,468.83,11280600,468.83
2012-02-06,458.38,464.98,458.20,463.97,8907600,463.97
2012-02-03,457.30,460.00,455.56,459.68,10235700,459.68
2012-02-02,455.90,457.17,453.98,455.12,6661100,455.12
2012-02-01,458.41,458.99,455.55,456.19,9624500,456.19
2012-01-31,455.59,458.24,453.07,456.48,13988700,456.48
2012-01-30,445.71,453.90,445.39,453.01,13531000,453.01
2012-01-27,444.34,448.48,443.77,447.28,10703900,447.28
2012-01-26,448.36,448.79,443.14,444.63,11570900,444.63
2012-01-25,454.44,454.45,443.73,446.66,34185200,446.66
2012-01-24,425.10,425.10,419.55,420.41,19226900,420.41
2012-01-23,422.67,428.45,422.30,427.41,10915800,427.41
2012-01-20,427.49,427.50,419.75,420.30,14758300,420.30
2012-01-19,430.15,431.37,426.51,427.75,9332700,427.75
2012-01-18,426.96,429.47,426.30,429.11,9872800,429.11
2012-01-17,424.20,425.99,422.96,424.70,8658700,424.70
2012-01-13,419.70,420.45,418.66,419.81,8072200,419.81
2012-01-12,422.28,422.90,418.75,421.39,7592400,421.39
2012-01-11,422.68,422.85,419.31,422.55,7681600,422.55
2012-01-10,425.91,426.00,421.50,423.24,9221300,423.24
2012-01-09,425.50,427.75,421.35,421.73,14060600,421.73
2012-01-06,419.77,422.75,419.22,422.40,11367600,422.40
2012-01-05,414.95,418.55,412.67,418.03,9675800,418.03
2012-01-04,410.00,414.68,409.28,413.44,9286500,413.44
2012-01-03,409.40,412.50,409.00,411.23,10793600,411.23
2011-12-30,403.51,406.28,403.49,405.00,6416500,405.00
2011-12-29,403.40,405.65,400.51,405.12,7713500,405.12
