Symbol|Security Name|Market Category|Test Issue|Financial Status|Round Lot Size
AAC|Australia Acquisition Corp. - Ordinary Shares|S|N|N|100
AACC|Asset Acceptance Capital Corp. - Common Stock|Q|N|N|100
AACOU|Australia Acquisition Corp. - Unit|S|N|N|100
AACOW|Australia Acquisition Corp. - Warrant|S|N|N|100
AAIT|iShares MSCI All Country Asia Information Technology Index Fund|G|N|N|100
AAME|Atlantic American Corporation - Common Stock|G|N|N|100
AAON|AAON, Inc. - Common Stock|Q|N|N|100
AAPL|Apple Inc. - Common Stock|Q|N|N|100
AAWW|Atlas Air Worldwide Holdings - Common Stock|Q|N|N|100
AAXJ|iShares MSCI All Country Asia ex Japan Index Fund|G|N|N|100
ABAX|ABAXIS, Inc. - Common Stock|Q|N|N|100
ABCB|Ameris Bancorp - Common Stock|Q|N|N|100
ABCD|Cambium Learning Group, Inc. - Common Stock|G|N|N|100
ABCO|The Advisory Board Company - Common Stock|Q|N|N|100
ABFS|Arkansas Best Corporation - Common Stock|Q|N|N|100
ABIO|ARCA biopharma, Inc. - Common Stock|S|N|N|100
ABMD|ABIOMED, Inc. - Common Stock|Q|N|N|100
ABTL|Autobytel Inc. - Common Stock|G|N|D|100
ABVA|Alliance Bankshares Corporation - Common Stock|S|N|N|100
ACAD|ACADIA Pharmaceuticals Inc. - Common Stock|G|N|N|100
ACAS|American Capital, Ltd. - Common Stock|Q|N|N|100
ACAT|Arctic Cat Inc. - Common Stock|Q|N|N|100
ACCL|Accelrys, Inc. - Common Stock|Q|N|N|100
ACET|Aceto Corporation - Common Stock|Q|N|N|100
ACFC|Atlantic Coast Federal Corporation - Common Stock|G|N|D|100
ACFN|Acorn Energy, Inc. - Common Stock|G|N|N|100
ACGL|Arch Capital Group Ltd. - Common Stock|Q|N|N|100
ACHC|Acadia Healthcare Company, Inc. - Common Stock|G|N|N|100
ACHN|Achillion Pharmaceuticals, Inc. - Common Stock|Q|N|N|100
ACIW|ACI Worldwide, Inc. - Common Stock|Q|N|N|100
ACLS|Axcelis Technologies, Inc. - Common Stock|Q|N|N|100
ACNB|ACNB Corporation - Common Stock|S|N|N|100
ACOM|Ancestry.com, Inc. - common stock|Q|N|N|100
ACOR|Acorda Therapeutics, Inc. - Common Stock|Q|N|N|100
ACPW|Active Power, Inc. - Common Stock|G|N|D|100
ACRX|AcelRx Pharmaceuticals, Inc. - Common Stock|G|N|N|100
ACTG|Acacia Research Corporation - Common Stock|Q|N|N|100
ACTS|Actions Semiconductor Co., Ltd. - American Depositary Shares, each representing Six Ordinary Shares|Q|N|N|100
ACUR|Acura Pharmaceuticals, Inc. - Common Stock|S|N|N|100
ACWI|iShares MSCI ACWI Index Fund|G|N|N|100
ACWX|iShares MSCI ACWI ex US Index Fund|G|N|N|100
ACXM|Acxiom Corporation - Common Stock|Q|N|N|100
ADAT|Authentidate Holding Corp. - Common Stock|S|N|D|100
ADBE|Adobe Systems Incorporated - Common Stock|Q|N|N|100
ADEP|Adept Technology, Inc. - Common Stock|G|N|N|100
ADES|ADA-ES, Inc. - Common Stock|S|N|N|100
ADGF|Adams Golf, Inc. - Common Stock|S|N|N|100
ADP|Automatic Data Processing, Inc. - Common Stock|Q|N|N|100
ADRA|BLDRS Asia 50 ADR Index Fund|G|N|N|100
ADRD|BLDRS Developed Markets 100 ADR Index Fund|G|N|N|100
ADRE|BLDRS Emerging Markets 50 ADR Index Fund|G|N|N|100
ADRU|BLDRS Europe 100 ADR Index Fund|G|N|N|100
ADSK|Autodesk, Inc. - Common Stock|Q|N|N|100
ADTN|ADTRAN, Inc. - Common Stock|Q|N|N|100
ADUS|Addus HomeCare Corporation - Common Stock|G|N|N|100
ADVS|Advent Software, Inc. - Common Stock|Q|N|N|100
AEGN|Aegion Corp - Class A Common Stock|Q|N|N|100
AEGR|Aegerion Pharmaceuticals, Inc. - Common Stock|G|N|N|100
AEHR|Aehr Test Systems - Common Stock|S|N|D|100
AEIS|Advanced Energy Industries, Inc. - Common Stock|Q|N|N|100
AEPI|AEP Industries Inc. - Common Stock|Q|N|N|100
AERL|Asia Entertainment & Resources Ltd - Ordinary Shares (Cayman Islands)|G|N|N|100
AETI|American Electric Technologies, Inc. - Common Stock|S|N|N|100
AEY|ADDvantage Technologies Group, Inc. - Common Stock|G|N|N|100
AEZS|AEterna Zentaris, Inc. - Common Stock|G|N|N|100
AFAM|Almost Family Inc - Common Stock|Q|N|N|100
AFCB|Athens Bancshares Corporation - Common Stock|S|N|N|100
AFCE|AFC Enterprises, Inc. - Common Stock|Q|N|N|100
AFFM|Affirmative Insurance Holdings, Inc. - Common Stock|Q|N|D|100
AFFX|Affymetrix, Inc. - Common Stock|Q|N|N|100
AFFY|Affymax, Inc. - Common Stock|Q|N|N|100
AFOP|Alliance Fiber Optic Products, Inc. - Common Stock|S|N|N|100
AFSI|AmTrust Financial Services, Inc. - Common Stock|Q|N|N|100
AGEN|Agenus Inc. - Common Stock|S|N|N|100
AGII|Argo Group International Holdings, Ltd. - Common Stock|Q|N|N|100
AGNC|American Capital Agency Corp. - Common Stock|Q|N|N|100
