Symbol, Description, Action, Quantity, Price, Commission, Reg Fees, Date, TransactionID, Order Number, Transaction Type ID, Total Cost

ITI,ITI - ITERIS INCORPORATED NEW,Sell,300,1.83,8.95,0.02,8/26/2014 9:57:08 AM,372775688,153044803,6,540.03
ZNGA,ZNGA - ZYNGA INC,Sell,700,3.05,8.95,0.05,8/18/2014 1:56:20 PM,371564213,152756906,6,2126
ESI,ESI - ITT EDUCATIONAL SERVICES INC,Buy,125,7.85,8.95,0,8/5/2014 11:21:57 AM,369650657,152280285,6,-990.2
ZNGA,ZNGA - ZYNGA INC,Buy,700,2.82,8.95,0,8/4/2014 10:59:53 AM,369446669,152187465,6,-1982.95
ESI,ESI - ITT EDUCATIONAL SERVICES INC,Buy,150,10.6355,8.95,0,8/4/2014 10:08:05 AM,369440733,152229536,6,-1604.28
WFM,WFM - WHOLE FOODS MARKET INC,Buy,100,37.72,8.95,0,8/1/2014 12:37:41 PM,369191533,152188090,6,-3780.95
ESI,ESI - ITT EDUCATIONAL SERVICES INC,Buy,70,14.15,0,0,8/1/2014 11:16:23 AM,369181024,152169259,6,-990.5
ESI,ESI - ITT EDUCATIONAL SERVICES INC,Buy,30,14.15,8.95,0,8/1/2014 11:16:22 AM,369181022,152169259,6,-433.45
WFM,WFM - WHOLE FOODS MARKET INC,Sell,100,37.99,8.95,0.09,7/31/2014 11:35:03 AM,368842276,152096266,6,3789.96
WFM,WFM - WHOLE FOODS MARKET INC,Sell,50,36.5,8.95,0.04,7/31/2014 9:30:00 AM,368820390,152091280,6,1816.01
TWTR,TWTR - TWITTER INC,Sell,200,47.0501,8.95,0.21,7/30/2014 11:26:48 AM,368632240,152061744,6,9400.86
FTR,FTR - FRONTIER COMMUNICATIONS CORPORATION,Sell,42,7.11,8.95,0.01,7/29/2014 9:30:00 AM,368417044,124468324,6,289.66
WFM,WFM - WHOLE FOODS MARKET INC,Buy,60,36.4,8.95,0,7/23/2014 10:10:44 AM,367579377,151793574,6,-2192.95
