&nbsp;	&#160;	&#xA0;
&iexcl;	&#161;	&#xA1;
&cent;	&#162;	&#xA2;
&pound;	&#163;	&#xA3;
&curren;	&#164;	&#xA4;
&yen;	&#165;	&#xA5;
&brvbar;	&#166;	&#xA6;
&sect;	&#167;	&#xA7;
&uml;	&#168;	&#xA8;
&copy;	&#169;	&#xA9;
&ordf;	&#170;	&#xAA;
&laquo;	&#171;	&#xAB;
&not;	&#172;	&#xAC;
&shy;	&#173;	&#xAD;
&reg;	&#174;	&#xAE;
&macr;	&#175;	&#xAF;
&deg;	&#176;	&#xB0;
&plusmn;	&#177;	&#xB1;
&sup2;	&#178;	&#xB2;
&sup3;	&#179;	&#xB3;
&acute;	&#180;	&#xB4;
&micro;	&#181;	&#xB5;
&para;	&#182;	&#xB6;
&middot;	&#183;	&#xB7;
&cedil;	&#184;	&#xB8;
&sup1;	&#185;	&#xB9;
&ordm;	&#186;	&#xBA;
&raquo;	&#187;	&#xBB;
&frac14;	&#188;	&#xBC;
&frac12;	&#189;	&#xBD;
&frac34;	&#190;	&#xBE;
&iquest;	&#191;	&#xBF;
&Agrave;	&#192;	&#xC0;
&Aacute;	&#193;	&#xC1;
&Acirc;	&#194;	&#xC2;
&Atilde;	&#195;	&#xC3;
&Auml;	&#196;	&#xC4;
&Aring;	&#197;	&#xC5;
&AElig;	&#198;	&#xC6;
&Ccedil;	&#199;	&#xC7;
&Egrave;	&#200;	&#xC8;
&Eacute;	&#201;	&#xC9;
&Ecirc;	&#202;	&#xCA;
&Euml;	&#203;	&#xCB;
&Igrave;	&#204;	&#xCC;
&Iacute;	&#205;	&#xCD;
&Icirc;	&#206;	&#xCE;
&Iuml;	&#207;	&#xCF;
&ETH;	&#208;	&#xD0;
&Ntilde;	&#209;	&#xD1;
&Ograve;	&#210;	&#xD2;
&Oacute;	&#211;	&#xD3;
&Ocirc;	&#212;	&#xD4;
&Otilde;	&#213;	&#xD5;
&Ouml;	&#214;	&#xD6;
&times;	&#215;	&#xD7;
&Oslash;	&#216;	&#xD8;
&Ugrave;	&#217;	&#xD9;
&Uacute;	&#218;	&#xDA;
