able,abler,ablest
airy,airier,airiest
angry,angrier,angriest
apt,apter,aptest
bad,worse,worst
bare,barer,barest
base,baser,basest
big,bigger,biggest
bitter,bitterer,bitterest
black,blacker,blackest
bland,blander,blandest
bleak,bleaker,bleakest
blind,blinder,blindest
blond,blonder,blondest
bloody,bloodier,bloodiest
blue,bluer,bluest
bluff,bluffer,bluffest
blunt,blunter,bluntest
bold,bolder,boldest
bonny,bonnier,bonniest
brainy,brainier,brainiest
brash,brasher,brashest
brave,braver,bravest
brief,briefer,briefest
bright,brighter,brightest
brisk,brisker,briskest
broad,broader,broadest
brown,browner,brownest
bulky,bulkier,bulkiest
busty,bustier,bustiest
busy,busier,busiest
calm,calmer,calmest
cheap,cheaper,cheapest
cheeky,cheekier,cheekiest
cheery,cheerier,cheeriest
chief,chiefer,chiefest
chilly,chillier,chilliest
choice,choicer,choicest
classy,classier,classiest
clean,cleaner,cleanest
clear,clearer,clearest
clever,cleverer,cleverest
close,closer,closest
clumsy,clumsier,clumsiest
coarse,coarser,coarsest
cold,colder,coldest
common,commoner,commonest
cool,cooler,coolest
costly,costlier,costliest
cosy,cosier,cosiest
crazy,crazier,craziest
creamy,creamier,creamiest
crisp,crisper,crispest
cross,crosser,crossest
crude,cruder,crudest
cruel,crueller,cruellest
cute,cuter,cutest
daft,dafter,daftest
damp,damper,dampest
dark,darker,darkest
deadly,deadlier,deadliest
dear,dearer,dearest
deep,deeper,deepest
dense,denser,densest
dim,dimmer,dimmest
dire,direr,direst
dirty,dirtier,dirtiest
divine,diviner,divinest
dreary,drearier,dreariest
drunk,drunker,drunkest
dry,drier,driest
dull,duller,dullest
dusty,dustier,dustiest
early,earlier,earliest
easy,easier,easiest
eld,elder,eldest
empty,emptier,emptiest
extreme,extremer,extremest
faint,fainter,faintest
fair,fairer,fairest
fancy,fancier,fanciest
farth,farther,farthest
fast,faster,fastest
fat,fatter,fattest
feeble,feebler,feeblest
fierce,fiercer,fiercest
filthy,filthier,filthiest
fine,finer,finest
firm,firmer,firmest
fit,fitter,fittest
flashy,flashier,flashiest
flat,flatter,flattest
flimsy,flimsier,flimsiest
foggy,foggier,foggiest
fond,fonder,fondest
for,forrer,forrest
foremost,foremor,foremost
forward,forwarder,forwardest
foul,fouler,foulest
frail,frailer,frailest
frank,franker,frankest
free,freer,freest
fresh,fresher,freshest
friendly,friendlier,friendliest
full,fuller,fullest
funny,funnier,funniest
furry,furrier,furriest
furth,further,furthest
gay,gayer,gayest
gentle,gentler,gentlest
glad,gladder,gladdest
gloomy,gloomier,gloomiest
glossy,glossier,glossiest
good,better,best
grand,grander,grandest
grave,graver,gravest
great,greater,greatest
green,greener,greenest
grey,greyer,greyest
grim,grimmer,grimmest
gros,grosser,grossest
grubby,grubbier,grubbiest
hairy,hairier,hairiest
handsome,handsomer,handsomest
handy,handier,handiest
happy,happier,happiest
hard,harder,hardest
hardy,hardier,hardiest
harsh,harsher,harshest
hazy,hazier,haziest
healthy,healthier,healthiest
hearty,heartier,heartiest
heavy,heavier,heaviest
hefty,heftier,heftiest
high,higher,highest
hilly,hillier,hilliest
hind,hinder,hindest
hip,hipper,hippest
holy,holier,holiest
hook,hooker,hookest
hot,hotter,hottest
humble,humbler,humblest
hungry,hungrier,hungriest
husky,huskier,huskiest
