good,better,best
big,bigger,biggest
bright,brighter,brightest
close,closer,closest
deep,deeper,deepest
early,earlier,earliest
easy,easier,easiest
far,farther,farthest
fast,faster,fastest
fur,further,furthest
hard,harder,hardest
high,higher,highest
late,later,latest
long,longer,longest
loud,louder,loudest
low,lower,lowest
near,nearer,nearest
often,oftener,oftenest
plain,plainer,plainest
quick,quicker,quickest
safe,safer,safest
slow,slower,slowest
soon,sooner,soonest
tight,tighter,tightest
wide,wider,widest
