Bartok (1881-1945)
Beethoven (1770-1827)
Brahms (1833-1897)
Debussy (1862-1918)
Haydn (1732-1809)
Mendelssohn (1809-1847)
Messiaen (1908-1992)
Mozart (1756-1791)
Ravel (1875-1937)
Schubert (1797-1828)
Schoenberg (1874-1951)
Varese (1883-1965)
Berg (1885-1935)
J.S. Bach (1685-1750)
Schumann (1810-1856)
Tchaikovsky (1840-1893)
Stravinsky (1882-1971)
Chopin (1810-1849)
Liszt (1811-1886)
Webern (1883-1945)
Berlioz (1803-1869)
Copland (1900-1990)
Dvorak (1841-1904)
Hindemith (1895-1963)
Ives (1874-1954)
Mahler (1860-1911)
Mussorgsky (1839-1881)
Prokofiev (1891-1953)
Rossini (1792-1868)
R. Strauss (1864-1949)
Faure (1845-1924)
Verdi (1813-1901)
