# "Old License Name","New Liense Name"
"NOC","NON-OSI-COMPLIANT"
"POC","PERMISSIVE-OSI-COMPLIANT"
"COC","COPYLEFT-OSI-COMPLIANT"
"Any Noncommercial","NON-OSI-COMPLIANT(NC)"
"Any commercial","NON-OSI-COMPLIANT(royalties)"
"Any permissive","PERMISSIVE-OSI-COMPLIANT"
"Any proprietary","NON-OSI-COMPLIANT"
"Apache Software License ..","(ASLv2.0; ASLv1.1)"
"Apache Software License","(ASLv2.0; ASLv1.1)"
"Apache 1.1","ASLv1.1"
"Artistic License","Artistic"
"Artistic License ..","Artistic"
"BSD 3-Clause","BSD3c"
"BSD 4-Clause","BSD4c"
"BSD c3","BSD3c"
"Beerware,Cardware, Shareware (not restricted)","REJECT"
"Boost Software License v1.0","Boost Software V1.0"
"Contact author","REJECT"
"Common Public License 1.0","CPLv1.0"
"Common Public License v1.0","CPLv1.0"
"Common Public License v1.0(CPL)","CPLv1.0"
"Common Public License - v 1.0","CPLv1.0"
"Creative Commons Attribution-Share Alike 3.0","CC BY-SA V3.0"
"Creative Commons Attribution-ShareAlike 2.0 Germany License","CC BY-SA V2.0(Germany)"
"Distributable in unmodified form","NON-OSI-COMPLIANT(no modification)"
"GNU Free Documentation License,Version 1.1 (GFDL 1.1)","GFDLv1.1"
"GNU Free Documentation License,Version 1.2 (GFDL 1.2)","GFDLv1.2"
"GNU General Public License(GPL)","GPLv2+"
"GPL v2","GPLv2"
"GPL v2 only","GPLv2"
"GPL v2 or later","GPLv2+"
"GPL v3 only","GPLv3"
"GPL v3","GPLv3"
"GPL v3 or later","GPLv3+"
"IBM Public License","IBM PL V1.0"
"IBM Public License ..","IBM PL V1.0"
"LGPL v2.0 only","LGPLv2.0"
"LGPLv2","LGPLv2.0"
"LGPL v2.0 or later","LGPLv2.0+"
"LGPL v2.1 only","LGPLv2.1"
"LGPL v2.1 or later","LGPLv2.1+"
"LGPL v3 only","LGPLv3"
"LGPL v3 or later","LGPLv3+"
"LaTeX Public License (LPPL)","(LPPLv1.3c; LPPLv1.3b; LPPLv1.2; LPPLv1.1; LPPLv1.0)"
"LPPL ..","(LPPLv1.3c; LPPLv1.3b; LPPLv1.2; LPPLv1.1; LPPLv1.0)"
"Linux Documentation Project License (LDPL)","(LDPLv2.0; LDPLv1a)"
"MIT License(or similar)","PERMISSIVE_OSI_COMPLIANT(MIT-like)"
"MIT License","MIT"
"MPL 1.1 or later","MPLv1.1+"
"MOZILLA PUBLIC LICENSE (MPL/NPL)","(MPLv1.1; MPLv1.0)"
"MPL ..","(MPLv1.1; MPLv1.0)"
"No license agreement found in package","REJECT"
"Novell Binary Free","NON-OSI-COMPLIANT(Novell Binary Free)" 
"Novell Binary Restricted","NON-OSI-COMPLIANT(Novell Binary Restricted)"
"Other uncritical OpenSource License","REJECT"
"Public Domain, Freeware","REJECT"
"Python Copyright","(Python V1.6-CNRI; Python V1.6.1; Python V2.0-BEOPEN; Python V2.1.1)"
"Python License ..","(Python V1.6-CNRI; Python V1.6.1; Python V2.0-BEOPEN; Python V2.1.1)"
"Qt Free Edition License (Qt 1.x Licence)","QPLv1.0"
"QPL ..","QPLv1.0"
"Restricted Shareware","NON-OSI-COMPLIANT(Restricted Shareware)"
"Sleepycat License","Sleepycat"
"Sun Community License (SCL)","SCSLv2.3"
"THE Q PUBLIC LICENSE (QPL)","QPLv1.0"
"TeX-License","REJECT"
"TeX-License ..","REJECT"
"The Apache Software License","(ASLv2.0; ASLv1.1)"
"X11/MIT","MIT"
"YaST License","YaST"
"Zlib License","Zlib"
"zlib/libpng License","Zlib"
GPLv1
EPLv1.0
