" SPDX Full name of License v1.8";"SPDX License Identifier";"SPDX Source URL";"Fedora License Identifier";"LDB License Identifier";"New Open Suse License Identifier";"compatibility class";"comment"
"Academic Free License v3.0";"AFL-3";"http://www.rosenlaw.com/AFL3.0.htm http://www.opensource.org/licenses/afl-3.0.php";"AFL";"AFL 3.0";"AFL-3";2;
"Academic Free License v1.1";"AFL-1.1";"http://opensource.linux-mirror.org/licenses/afl-1.1.txt";"AFL";"AFL 1.1";"AFL-1.1";2;
"Academic Free License v1.2";"AFL-1.2";"http://opensource.linux-mirror.org/licenses/afl-1.2.txt";"AFL";"AFL 1.2";"AFL-1.2";2;
"Academic Free License v2.0";"AFL-2";"http://opensource.linux-mirror.org/licenses/afl-2.0.txt";"AFL";"AFL 2.0";"AFL-2";2;
"Academic Free License v2.1";"AFL-2.1";"http://opensource.linux-mirror.org/licenses/afl-2.1.txt";"AFL";"AFL 2.1";"AFL-2.1";2;
"Adaptive Public License";"APL-1";"http://www.opensource.org/licenses/apl1.0.php";"?";"Apdative";"Adaptive-1";3;
"Apache License 1.0";"Apache-1";"http://www.apache.org/licenses/LICENSE-1.0";"ASL 1.0";"Apache 1.0";"Apache-1";2;
"Apache License 1.1";"Apache-1.1";"http://apache.org/licenses/LICENSE-1.1";"ASL 1.1";"Apache 1.1";"Apache-1.1";2;
"Apache License 2.0";"Apache-2";"http://www.apache.org/licenses/LICENSE-2.0";"ASL 2.0";"Apache 2.0";"Apache-2";2;
"Apple Public Source License 1.0";"APSL-1";"https://fedoraproject.org/wiki/Licensing/Apple_Public_Source_License_1.0";" APSL 1.0";"APSL 1.0";"APSL-1";3;
"Apple Public Source License 1.1";"APSL-1.1";"http://www.opensource.apple.com/source/IOSerialFamily/IOSerialFamily-7/APPLE_LICENSE";"APSL1.1";"APSL 1.1";"APSL-1.1";3;
"Apple Public Source License 1.2";"APSL-1.2";"http://www.samurajdata.se/opensource/mirror/licenses/apsl.php";"APSL2.0";"APSL 2.0";"APSL-1.2";3;
"Apple Public Source License 2.0";"APSL-2";"http://www.opensource.apple.com/license/apsl/ ";"APSL 2.0";"APSL 2.0";"APSL-2";3;
"Artistic License 1.0";"Artistic-1";"http://www.perlfoundation.org/artistic_license_1_0 http://www.opensource.org/licenses/artistic-license-1.0.php";"Artistic 1.0";"Artistic 1.0";"Artistic-1";2;
"Artistic License 2.0";"Artistic-2";"http://www.perlfoundation.org/attachment/legal/artistic-2_0.txt  http://www.opensource.org/licenses/artistic-license-2.0.php";"Atritistic 2.0";"Artistic 2.0";"Artistic-2";2;
"?";"?"; "http://www.opensource.org/licenses/artistic-license-1.0";"?";"?";Artistic-1(9-clause);2;
"Attribution Assurance License";"AAL";"http://www.opensource.org/licenses/attribution.php";"AAL";"?";"AAL";1;
"Boost Software License 1.0";"BSL-1";"http://www.boost.org/LICENSE_1_0.txt";"Boost";"Boost 1.0";"Boost-1";1;
"BSD 2-clause ""Simplified"" or ""FreeBSD"" License";"BSD-2-Clause";"http://www.freebsd.org/copyright/freebsd-license.html";"BSD ";"BSD 2-clause";"BSD2c";1;
"BSD 3-clause ""New"" or ""Revised"" License";"BSD-3-Clause";"http://www.opensource.org/licenses/bsd-license.php";"BSD";"BSD 3-clause";"BSD3c";1;
"BSD 4-clause ""Original"" or ""Old"" License";"BSD-4-Clause";"http://www.opensource.org/licenses/bsd-license.php";"BSD with advertising";"BSD 4-clause";"BSD4c";2;
"CeCILL Free Software License Agreement v1.0";"CECILL-1";"http://www.cecill.info/licences/Licence_CeCILL_V1-fr.html";"CECILL";"CeCILL V1";"CeCILL-1";4;
