form,kind,meaning,name,original,rating,sex,source
name,"Old English","""suffering flower""",ACHEFLOUR,-,meaning,female,-
name,"Irish Gaelic","""dream; vision""",AISLING,-,meaning,female,-
name,English,"""nourishing"" in Latin and ""soul""",ALMA,-,meaning,female,-
name,English,"""friendship""",AMITY,-,meaning,female,-
name,Latin,"""dawn""",AURORA,-,meaning,female,-
name,"Old English","""consecration""",BLESSING,-,meaning,female,-
name,Spanish,"""pretty""",BONITA,-,meaning,female,-
name,English,"""purity""",CHASTITY,-,meaning,female,-
name,"Middle English","""kitten""",CHITA,-,meaning,female,-
name,Latin,"""harmony; peace; with (one) heart""",CONCORDIA,-,meaning,female,-
name,Greek,"""laurel""",DAPHNE,-,meaning,female,-
name,"Middle English","""brave, daring""",DARA,-,meaning,female,-
name,"Middle English","""dear, darling""",DARLA,-,meaning,female,-
name,Latin,"""tenth""",DECIMA,-,meaning,female,-
name,Greek,"""of Delos""",DELIA,-,meaning,female,-
name,Latin,"""woman from Delphi,"" a city in Greece whose name probably means ""dolphin""",DELPHINA,-,meaning,female,-
name,Latin,"""divine, heavenly""",DIANA,-,meaning,female,-
name,Greek,"""wanderer""",DIDO,-,meaning,female,-
name,Greek,"""bounty"" and ""unmixed, pure""",DORIS,-,meaning,female,-
name,"Old English","""earth, ground""",EARTHA,-,meaning,female,-
name,"Roman Latin","""flower""",FLORA,-,meaning,female,-
name,Italian,"""precious stone""",GEMMA,-,meaning,female,-
name,"Old English","""coated with gold; gilded""",GILDA,-,meaning,female,-
name,"Old English","""Bohemian, rover""",GYPSY,-,meaning,female,-
name,"Old English","""reddish-brown"" or ""hazel tree""",HAZEL,-,meaning,female,-
name,Greek,"""rainbow""",IRIS,-,meaning,female,-
name,"Old English","""stone church""",KIRSTEN,-,meaning,female,-
name,"Old English","""meadow""",LEA,-,meaning,female,-
name,Greek,"""woman""",LEDA,-,meaning,female,-
name,Latin,"""sorrowful""",LORA,-,meaning,female,-
name,Greek,"""of Lydia""",LYDIA,-,meaning,female,-
name,Hebrew,"""bitter""",MARA,-,meaning,female,-
name,Latin,"""sea""",MARE,-,meaning,female,-
name,"Old English","""lives by the alder trees""",NELDA,-,meaning,female,-
name,"Old English","""new""",NEVA,-,meaning,female,-
name,Hebrew,"""granddaughter"" or ""great-granddaughter.""Native American Quechua name meaning ""fire.""Pet form of French Anne, meaning ""favor; grace.""Short form of Russian Annina, meaning ""favor; grace.""Spanish word for a ""little girl""",NINA,-,meaning,female,-
name,"Old English","""companion""",QUANDA,-,meaning,female,-
name,"Old English","""queen's castle""",QUENBY,-,meaning,female,-
name,Egyptian,"""peaceful""",QUIBILAH,-,meaning,female,-
name,"Middle English","""feather, quill""",QUILLA,-,meaning,female,-
name,Latin,"""queen""",REGINA,-,meaning,female,-
name,"Medieval Latin","""rose""",ROSA,-,meaning,female,-
name,Breton,"""rose""",ROZENN,-,meaning,female,-
name,Hebrew,"""noble lady, princess""",SARAH,-,meaning,female,-
name,Greek,"""wisdom""",SOPHIA,-,meaning,female,-
name,Latin,"""from the forest""",SYLVA,-,meaning,female,-
name,Hebrew,"""bird""",TSIPPORAH,-,meaning,female,-
name,"Middle English","""to fill (a container)""",ULLA,-,meaning,female,-
name,Latin,"""truth, verity""",VERITY,-,meaning,female,-
name,Latin,"""violet color"" or ""violet flower""",VIOLA,-,meaning,female,-
name,Greek,"""life""",ZOE,-,meaning,female,-
name,Hebrew,"""father of light""",ABNER,-,meaning,male,-
name,Hebrew,"""father of a multitude""",ABRAHAM,-,meaning,male,-
name,"Old English","""Bart's (Bartholomew's) meadow""",BARTLEY,-,meaning,male,-
name,"Roman Latin","""heavy"" or ""the dullard""",BRUTUS,-,meaning,male,-
name,Hebrew,"""beloved""",DAVID,-,meaning,male,-
name,Latin,"""happy"" or ""lucky""",FELIX,-,meaning,male,-
name,Latin,"""I trust""",FIDO,-,meaning,male,-
name,"Old English","""gold""",GOLDA,-,meaning,male,-
name,"Middle English","""to cut, to chop""",HAIG,-,meaning,male,-
name,"Middle English","""a heath near a cliff""",HEATHCLIFF,-,meaning,male,-
name,"Old English","""stallion""",HENGIST,-,meaning,male,-
name,"Old English","""horse""",HORSA,-,meaning,male,-
name,English,"""jet (the mineral),"" from Latin gagates, meaning ""lapis; stone from Gagai""",JETT,-,meaning,male,-
name,Hebrew,"""who is like God?""",MIYKAH,-,meaning,male,-
name,Hebrew,"""a petition, prayer""",SHELAH,-,meaning,male,-
name,English,"""three""",TREY,-,meaning,male,-
name,"Roman Latin","""conqueror""",VICTOR,-,meaning,male,-
name,"Old English","""water meadow""",WILEY,-,meaning,male,-
spelling,Variant,"""Ireland""",AAREN,Aeryn,meaning,female,English
spelling,Variant,"""father rejoices""",ABAEGAYLE,Abigail,meaning,female,English
spelling,Variant,"""father rejoices""",ABAGAEL,Abigail,meaning,female,English
spelling,Variant,"""father rejoices""",ABAGAIL,Abigail,meaning,female,English
spelling,Variant,"""father rejoices""",ABAGALE,Abigail,meaning,female,English
spelling,Variant,"""father rejoices""",ABAIGAEL,Abigail,meaning,female,English
spelling,Variant,"""father rejoices""",ABAIGEAL,Abigail,meaning,female,English
form,Pet,"""father rejoices""",ABBEY,Abigail,meaning,female,English
form,Pet,"""father rejoices""",ABBI,Abigail,meaning,female,English
form,Pet,"""father rejoices""",ABBIE,Abigail,meaning,female,English
spelling,Variant,"""father rejoices""",ABBIGAEL,Abigail,meaning,female,English
spelling,Variant,"""father rejoices""",ABBIGAIL,Abigail,meaning,female,English
spelling,Variant,"""father rejoices""",ABBIGALE,Abigail,meaning,female,English
spelling,Variant,"""father rejoices""",ABBIGAYLE,Abigail,meaning,female,English
form,Pet,"""father rejoices""",ABBY,Abigail,meaning,female,English
form,Pet,"""father rejoices""",ABBYE,Abigail,meaning,female,English
spelling,Variant,"""father rejoices""",ABBYGAEL,Abigail,meaning,female,English
spelling,Variant,"""father rejoices""",ABBYGAIL,Abigail,meaning,female,English
spelling,Variant,"""father rejoices""",ABBYGALE,Abigail,meaning,female,English
spelling,Variant,"""father rejoices""",ABEGAIL,Abigail,meaning,female,English
spelling,Variant,"""father rejoices""",ABEGAYLE,Abigail,meaning,female,English
form,Anglicized,"""my father""",ABI,Abiy,meaning,female,Hebrew
form,Anglicized,"""Yahweh is my father""",ABIA,"unisex Abiyah",meaning,female,Hebrew
form,Anglicized,"""Yahweh is my father""",ABIAH,"unisex Abiyah",meaning,female,Hebrew
form,Anglicized,"""father rejoices."" In the bible, this is the name of the wife of King David. Anglicized form of Irish Gobnait, meaning ""little smith""",ABIGAIL,Abigayil,meaning,female,Hebrew
spelling,Variant,"""father rejoices""",ABIGALE,Abigail,meaning,female,English
spelling,Variant,"""father rejoices""",ABIGALL,Abigail,meaning,female,English
spelling,Variant,"""father rejoices""",ABIGAYLE,Abigail,meaning,female,English
spelling,Variant,"""father rejoices""",ABIGIL,Abigail,meaning,female,English
form,Anglicized,"""father of might""",ABIHAIL,"unisex Abiyhayil",meaning,female,Hebrew
form,Anglicized,"""Yahweh is my father""",ABIJAH,"unisex Abiyah",meaning,female,Hebrew
form,Anglicized,"""my father is a wanderer"" or ""father of error""",ABISHAG,Abiyshag,meaning,female,Hebrew
form,Anglicized,"""my father is dew""",ABITAL,Abiytal,meaning,female,Hebrew
form,Short,"""father of a multitude""",ABRA,Abrahamit,meaning,female,Hebrew
"feminine form",English,"""father of a multitude""",ABRIANNA,Abraham,meaning,female,Hebrew
"variant spelling",English,"""little noble""",ADALINE,Adeline,meaning,female,French
"variant spelling",English,"""noble""",ADALLINA,Adelina,meaning,female,Italian
"feminine form",Scottish,"""earth"" or ""red""",ADAMINA,Adam,meaning,female,Hebrew
form,Pet,"""noble sort""",ADDIE,Adelaide,meaning,female,English
form,Pet,"""noble sort""",ADDY,Adelaide,meaning,female,English
form,Latin,"""noble""",ADELA,Adala,meaning,female,German
form,Variant,"""noble""",ADELIA,Adela,meaning,female,Latin
"variant form",English,"""noble sort""",ADELICE,Adelais,meaning,female,French
form,Elaborated,"""noble sort""",ADELICIA,Adelice,meaning,female,English
form,French,"""noble""",ADELLE,Adala,meaning,female,German
form,English,"""born of the same womb; sibling""",ADELPHIE,Adelphe,meaning,female,French
"variant spelling",English,"""little noble""",ADELYNA,Adelina,meaning,female,Italian/Spanish
form,Feminine,"""fire""",ADENA,Aden,meaning,female,English
spelling,Variant,"""fire""",ADENAH,Adena,meaning,female,English
spelling,Variant,"""fire""",ADENE,Adena,meaning,female,English
"variant spelling",English,"""noble""",ADILENE,Adeline,meaning,female,French
form,Anglicized,"""slender""",ADINA,"unisex Adiyna",meaning,female,Hebrew
spelling,Variant,"""son of Adam""",ADISON,"unisex Addison",meaning,female,English
spelling,Variant,"""son of Adam""",ADISSON,"unisex Addison",meaning,female,English
form,Elaborated,"""worthy of admiration""",ADMIRANDA,Miranda,meaning,female,English
form,Feminine,"""noble wolf""",ADOLPHA,Adolphus,meaning,female,Latin
spelling,Variant,"""from Hadria""",ADREA,Adria,meaning,female,English
spelling,Variant,"""from Hadria""",ADREANA,Adriana,meaning,female,Latin
spelling,Variant,"""from Hadria""",ADREEA,Adria,meaning,female,English
form,Feminine,"""from Hadria""",ADRIA,Adrian,meaning,female,English
"variant spelling",English,"""from Hadria""",ADRIANAH,Adriana,meaning,female,Latin
form,Feminine,"""from Hadria""",ADRIANE,Adrian,meaning,female,English
"feminine form",Polish,"""from Hadria""",ADRIANNA,Adrianus,meaning,female,Latin
form,Feminine,"""from Hadria""",ADRIANNAH,Adrian,meaning,female,English
form,Feminine,"""from Hadria""",ADRIANNE,Adrian,meaning,female,English
form,Pet,"""from Hadria""",ADRIE,Adriane,meaning,female,English
"unisex form",Welsh,"""carnage, slaughter""",AERON,"Agrona, the name a goddess of war and death who was portrayed as a masculine figure in Welsh mythology",meaning,female,Celtic
spelling,Variant,"""Ireland""",AERYNN,Aeryn,meaning,female,English
spelling,Variant,"""land of the Afri""",AFFRICA,Africa,meaning,female,English
spelling,Variant,"""land of the Afri""",AFFRICAH,Africa,meaning,female,English
spelling,Variant,"""land of the Afri""",AFFRIKA,Africa,meaning,female,English
spelling,Variant,"""land of the Afri""",AFFRIKAH,Africa,meaning,female,English
spelling,Variant,"""land of the Afri""",AFRICAH,Africa,meaning,female,English
spelling,Variant,"""land of the Afri""",AFRIKA,Africa,meaning,female,English
spelling,Variant,"""land of the Afri""",AFRIKAH,Africa,meaning,female,English
form,"Medieval English","""good""",AGAS,Agatha,meaning,female,Latin
form,Latin,"""good""",AGATHA,Agathe,meaning,female,Greek
spelling,Variant,"""chaste"" and ""good""",AGGI,Aggie,meaning,female,English
spelling,Variant,"""chaste"" and ""good""",AGGY,Aggie,meaning,female,English
spelling,Variant,"""chaste"" and ""good""",AGGYE,Aggie,meaning,female,English
spelling,Variant,"""chaste; holy""",AGNUS,Agnes,meaning,female,English
form,Anglicized,"""falcon"" or ""vulture""",AIAH,"unisex Ayah",meaning,female,Hebrew
form,Pet,"""little Eve""",AILA,Aileen,meaning,female,English
form,Short,"""little Eve""",AILEE,Aileen,meaning,female,English
spelling,Variant,"""little Eve""",AILENE,Aileen,meaning,female,English
form,Pet,"""little Eve""",AILEY,Aileen,meaning,female,English
form,Pet,"""little Eve""",AILIE,Aileen,meaning,female,English
form,Anglicized,"""God is my oath."" The name was derived from Ailsa Craig, the name of an island off Scotland, also known by the Gaelic names Allasa Creag and Creag Ealasaid (""Elisabeth's Rock"" or Elspeth's Rock""). The island is known by many other names, including Old Norse Alfsigesey, meaning ""Alfsigr's Island""",AILSA,"Gaelic Ealasaid",meaning,female,Scottish
spelling,Variant,"""elf victory""",AILSE,Ailsa,meaning,female,English
spelling,Variant,"""elf victory""",AILSIE,Ailsa,meaning,female,English
spelling,Variant,"""much loved""",AIMEY,Amy,meaning,female,English
spelling,Variant,"""much loved""",AIMIE,Amy,meaning,female,English
spelling,Variant,"""hermitage meadow""",AINSLIE,"unisex Ainsley",meaning,female,Scottish
form,Elaborated,"""ethereal""",AIRLEA,Airla,"possibly meaning",female,English
form,Elaborated,"""ethereal""",AIRLIA,Airla,"possibly meaning",female,English
spelling,Variant,"""dream; vision""",AISLIN,"Gaelic Aisling",meaning,female,Irish
spelling,Variant,"""dream; vision""",AISLINN,"Gaelic Aisling",meaning,female,Irish
"feminine form",English,"""little rock""",ALANA,Alan,"possibly meaning",female,Celtic
"feminine form",English,"""little rock""",ALANIS,Alan,"possibly meaning",female,Celtic
spelling,Variant,"""little rock""",ALANNA,Alana,"possibly meaning",female,English
spelling,Variant,"""little rock""",ALANNAH,Alanna,"possibly meaning",female,English
spelling,Variant,"""little rock""",ALANNIS,Alanis,"possibly meaning",female,English
form,Feminine,"""bright nobility""",ALBERTA,Albert,meaning,female,English
form,Feminine,"""bright nobility""",ALBERTINE,Albert,meaning,female,French
form,Feminine,"""like Albus,"" i.e. ""white""",ALBINA,Albin,meaning,female,English
"variant spelling",English,"""the high, exalted one""",ALEA,Aliya,meaning,female,Arabic
spelling,Variant,"""little Eve""",ALEEN,Aileen,meaning,female,English
"variant spelling",English,"""noble sort""",ALEESHA,Alicia,meaning,female,Spanish
spelling,Variant,"""little Eve""",ALENE,Aileen,meaning,female,English
"variant spelling",English,"""noble sort""",ALESHA,Alicia,meaning,female,Spanish
spelling,Variant,"""truth""",ALETHA,Alethea,meaning,female,English
"short form","English and Latin","""defender of mankind""",ALEXA,Alexandra,meaning,female,of
form,Feminine,"""defender of mankind""",ALEXANDRA,Alexander,meaning,female,English
spelling,Variant,"""defender of mankind""",ALEXANDREA,Alexandria,meaning,female,Latin
form,Feminine,"""defender""",ALEXIA,Alexius,meaning,female,Latin
form,Pet,"""defender""",ALEXINA,Alexia,meaning,female,Latin
"contracted form",Unisex,"""defender""",ALEXIS,Alexius,meaning,female,Latin
"contracted form",Unisex,"""defender""",ALEXUS,Alexius,meaning,female,Latin
form,Feminine,"""elf counsel""",ALFREDA,Alfred,meaning,female,English
spelling,Variant,"""to ascend, to go up""",ALIA,Aliah,meaning,female,English
form,Anglicized,"""to ascend, to go up""",ALIAH,Aliya,meaning,female,Hebrew
form,Slovak,"""noble sort""",ALICA,Alice,meaning,female,English
form,Modern,"""noble sort""",ALICE,Adelaide,meaning,female,English
equivalent,Spanish,"""noble sort""",ALICIA,Alice,meaning,female,English
spelling,Variant,"""little Eve""",ALINE,Aileen,meaning,female,English
form,Short,"""noble sort""",ALIS,Alisa,meaning,female,English
form,Variant,"""noble sort""",ALISA,Alice,meaning,female,English
equivalent,Latvian,"""noble sort""",ALISE,Alice,meaning,female,English
"variant spelling",English,"""noble sort""",ALISHA,Alicia,meaning,female,Spanish
"variant spelling",English,"""noble sort""",ALISHIA,Alicia,meaning,female,Spanish
"variant spelling",English,"""noble sort""",ALISIA,Alicia,meaning,female,Spanish
"variant spelling",English,"""noble sort""",ALISSA,Alicia,meaning,female,Spanish
"variant spelling",English,"""noble sort""",ALISYA,Alicia,meaning,female,Spanish
spelling,Variant,"""elf army""",ALIVIA,"Olivia, probably",meaning,female,English
spelling,Variant,"""defender of mankind""",ALIX,"unisex Alex",meaning,female,English
spelling,Variant,"""little rock""",ALLANA,Alana,"possibly meaning",female,English
spelling,Variant,"""little rock""",ALLANNAH,Alannah,"possibly meaning",female,English
spelling,Variant,"""little Eve""",ALLEEN,Aline,meaning,female,English
spelling,Variant,"""little Eve""",ALLENE,Aline,meaning,female,English
"pet form",Scottish,"""noble sort""",ALLIE,"French Alison",meaning,female,Norman
spelling,Variant,"""little Eve""",ALLINE,Aline,meaning,female,English
spelling,"Medieval English","""noble sort""",ALLISON,"French Alison",meaning,female,Norman
spelling,Variant,"""noble sort""",ALLISSA,Alissa,meaning,female,English
"pet form",Scottish,"""noble sort""",ALLY,"French Alison",meaning,female,Norman
"variant spelling",English,"""noble sort""",ALLYCIA,Alicia,meaning,female,Spanish
"variant spelling",Modern,"""noble sort""",ALLYSON,"English Allison",meaning,female,Medieval
spelling,Variant,"""nourishing"" in Latin and ""soul""",ALMAH,Alma,meaning,female,English
form,Contracted,"""nobly famous""",ALMIRA,Adelmira,meaning,female,Spanish
form,Feminine,"""noble and ready""",ALPHONSINE,Alphonse,meaning,female,French
"feminine form",Anglicized,"""white""",ALVA,"Gaelic unisex Ailbhe","possibly meaning",female,Irish
spelling,Variant,"""elf friend""",ALVENA,"English Alvina",meaning,female,Middle
"feminine form","Middle English","""elf friend""",ALVINA,"French Alvin",meaning,female,Norman
spelling,Variant,"""noble sort""",ALYCE,Alice,meaning,female,English
form,Anglicized,"""noble sort""",ALYS,Alis,meaning,female,Welsh
spelling,Variant,"""noble sort"" or ""alyssum flower""",ALYSA,Alyssa,"meaning either",female,English
spelling,Variant,"""noble sort""",ALYSE,Alice,meaning,female,English
"variant spelling",English,"""noble sort""",ALYSHA,Alicia,meaning,female,Spanish
"variant spelling",English,"""noble sort""",ALYSIA,Alicia,meaning,female,Spanish
form,Diminutive,"""noble sort""",ALYSON,Alys,meaning,female,English
"variant spelling",English,"""noble sort."" This name is also sometimes given as a plant name, ""Alyssum flower,"" from Latin alyssum, from Greek alysson, composed of a- ""not"" and lysson ""rabies,"" hence ""not rabies""",ALYSSA,Alicia,meaning,female,Spanish
"variant spelling",English,"""noble sort""",ALYSSIA,Alicia,meaning,female,Spanish
spelling,Variant,"""defender of mankind""",ALYX,"unisex Alex",meaning,female,English
"variant spelling",English,"""work""",AMALEA,Amalia,meaning,female,German
"variant spelling",English,"""work""",AMALIYA,Amalia,meaning,female,German
form,English,"""work""",AMELIA,Amalia,meaning,female,German
form,English,"""work""",AMELIE,Amélie,meaning,female,French
spelling,Variant,"""much loved""",AMEY,Amy,meaning,female,English
spelling,Variant,"""much loved""",AMI,Amy,meaning,female,English
spelling,Variant,"""much loved""",AMIE,Amy,meaning,female,English
spelling,Variant,"""work""",AMILIA,Amelia,meaning,female,English
form,English,"""much loved""",AMY,Aimée,meaning,female,French
spelling,Variant,"""gracious beauty""",ANABELLA,Annabella,meaning,female,English
spelling,Variant,"""gracious beauty""",ANABELLE,Annabelle,meaning,female,English
form,English,"""resurrection""",ANASTACIA,Anastasia,meaning,female,Latin
form,Feminine,"""resurrection."" Feminine form of Latin Anastasius, meaning ""resurrection""",ANASTASIA,Anastasios,meaning,female,Greek
form,Pet,"""man; warrior""",ANDEE,Andrea,meaning,female,English
form,Pet,"""man; warrior""",ANDI,Andrea,meaning,female,English
form,Feminine,"""man; warrior""",ANDRA,Andrew,meaning,female,English
form,Feminine,"""man; warrior""",ANDREA,Andrew,meaning,female,English
form,Elaborated,"""man; warrior""",ANDREANA,Andrea,meaning,female,English
form,Pet,"""man; warrior""",ANDRI,Andriana,meaning,female,English
form,Elaborated,"""man; warrior""",ANDRIANA,Andrea,meaning,female,English
form,Elaborated,"""man; warrior""",ANDRINA,Andrea,meaning,female,English
"pet form",Unisex,"""man; warrior""",ANDY,"Andrew and Andrea",meaning,female,English
"variant spelling",English,"""favor; grace""",ANETA,Anita,meaning,female,Spanish
"variant form",English,"""favor; grace""",ANETTA,Anita,meaning,female,Spanish
spelling,Variant,"""favor; grace""",ANETTE,Annette,meaning,female,French
"short form",English,"""angel, messenger""",ANGE,Angela,meaning,female,Latin
form,Feminine,"""angel, messenger""",ANGELA,Angelus,meaning,female,Latin
form,Feminine,"""angelic""",ANGELICA,Angelico,meaning,female,Italian
form,Diminutive,"""little angel/messenger""",ANGELINA,Angela,meaning,female,Latin
form,Diminutive,"""angel, messenger""",ANGELINE,Angèle,meaning,female,French
"feminine form",French,"""angelic""",ANGELIQUE,Angelicus,meaning,female,Latin
"variant spelling",Feminine,"""angel, messenger""",ANGELL,"unisex Angel",meaning,female,English
"variant spelling",Feminine,"""angel, messenger""",ANGELLE,"unisex Angel",meaning,female,English
"variant spelling",English,"""angel, messenger""",ANGELLINA,Angelina,meaning,female,Latin
"short form",English,"""angel, messenger""",ANGIE,Angela,meaning,female,Latin
"pet form",Spanish,"""favor; grace""",ANITA,Anna,meaning,female,Latin
"elaborated form",English,"""favor; grace""",ANITRA,Anita,meaning,female,Spanish
spelling,Variant,"""favor; grace""",ANN,Anne,meaning,female,French
form,Latin,"""favor; grace""",ANNA,Hanna,meaning,female,Greek
spelling,Variant,"""gracious beauty""",ANNABEL,Annabelle,meaning,female,English
spelling,Variant,"""gracious beauty""",ANNABELL,Annabelle,meaning,female,English
spelling,Variant,"""favor; grace"" and ""May""",ANNAMAE,Annemae,meaning,female,English
spelling,Variant,"""favor; grace"" and ""May""",ANNAMAY,Annemae,meaning,female,English
spelling,Variant,"""favor; grace,"" and ""obstinate, rebellious""",ANNE-MARIE,Annemarie,meaning,female,German
form,French,"""favor; grace""",ANNE,Anna,meaning,female,Latin
"diminutive form",Italian,"""favor; grace""",ANNETTA,Anna,meaning,female,Latin
form,Diminutive,"""favor; grace""",ANNETTE,Anne,meaning,female,French
"variant spelling",English,"""angel, messenger""",ANNGELA,Angela,meaning,female,Latin
form,"Middle English","""chaste; holy""",ANNICE,Agnes,meaning,female,English
"pet form",English,"""favor; grace""",ANNIE,Anna,meaning,female,Latin
form,Medieval,"""chaste; holy""",ANNIS,Agnes,meaning,female,English
"variant spelling",English,"""favor; grace""",ANNITA,Anita,meaning,female,Spanish
form,Elaborated,"""favor; grace""",ANNITRA,Anitra,meaning,female,English
