1: 18th century elaborated form of English Dora, meaning "gift." | female. DORINDA
1: 19th-century English elaborated form of Latin cara, meaning "beloved."From the constellation Carina, from Latin carina, which originally meant "shell of a nut," later "keel of a ship." | female. CARINA
1: 19th century English name derived from Latin rex, meaning "king." | male. REX
1: 19th century pet name derived from Old English blōstm, meaning "flowers on a fruit-tree (or ornamental tree)." | female. BLOSSOM
1: According to Ayn Rand, this name is an adaptation of the Finnish name Aino, meaning "the only one." | female. AYN
1: A Christian virtue name, derived from the English vocabulary word, patience, from Latin pati, meaning "to suffer." The Puritans considered it virtuous "to suffer" misfortune and persecution without complaint or loss of faith. | female. PATIENCE
1: A derivative of Hebrew Ba'al ("to marry; to be lord, master, possessor"), meaning "she who is married." In the bible, this is an allegorical name for the land of Israel. | female. BEULAH (בְּעוּלָה)
1: A dialectal variant spelling of English Dean, meaning "dean; ecclesiastical supervisor." | male. DANE
1: African American name, of uncertain origin, possibly a variant form of the masculine Comanche name Quanah, meaning "fragrant." | female. QUANNA
1: Altered form of English Kayley, meaning "slender." Compare with another form of Kaila. | female. KAILA
1: Altered form of Irish Prunty, a form of Gaelic Ó Proinntigh, meaning "descendant of Proinnteach," a personal name that was originally a byname meaning "banquet hall (denoting a "generous person")." In Prunty's altered form (Bronte), the name is identical to the Sicilian place name and the name of a mythological horse of the Sun, meaning "thunder." But Prunty was probably purposely altered to Bronte by bearers of the name who admired Lord Nelson who was awarded the title of Duke of Bronte in 1799 by Ferdinand, King of the Two Sicilies. | female. BRONTE
1: Altered form of medieval English Fulke, meaning "tribe." | male. FAWKE
1: Alternate form of English Molly, "obstinacy, rebelliousness" or "their rebellion." The reason for the change from "M" to "P" is not known. | female. POLLY
1: Alternate spelling of the English surname Deeming, meaning "act of judging." Compare with another form of Deming. | male. DEMING
1: American English byname for someone "from Texas." | male. TEX
1: American English name bestowed in honor of the folk hero Casey Jones who got this byname from his place of birth, Cayce, Kentucky, which came from the Irish surname Cayce, an Anglicized form of Gaelic Ó Cathasaigh "descendant of Cathasach," hence "vigilant, wakeful." Compare with feminine Casey. | male. CASEY
1: American English name derived from the name of the Egyptian city of Cairo, from Arabic al-Qāhira, meaning "victorious." | male. CAIRO
1: American English name, probably derived from the name of the famous Caffé Lavena in Venus, Italy, established by Carlos Lavena in 1750, from Latin Lavinia, possibly meaning "purity." | female. LAVENA
1: American English name probably having the same etymology as Cornish Areta, meaning "excellence, virtue." | female. ARETHA
1: American English surname transferred to forename use, derived from Dutch de Raedt, from Middle Dutch raet, meaning "advice." | male. RHETT
1: American flower name popular in the 19th century, but rarely used today. | female. BLUEBELL
1: Americanized form of the French surname De Chiel used as a personal name, composed of the French elements de "of" and chiel "heaven," hence "from heaven." | male. DASHIELL (pron. daSHEEL)
1: American name of uncertain origin, probably intended to be a feminine form of English Samuel, meaning "heard of God," "his name is El," or "name of God." | female. SAMANTHA
1: An English pronunciation of the ineffable name of the Hebrew god YHWH, meaning "existing one." | male. YAHWEH
1: An English pronunciation of the ineffable name of the Hebrew god YHWH, meaning "existing one." | male. YEHOWAH
1: Anglicized form of Arabic Azra'il, the name of the "Angel of Death" who separates the soul from the body upon death.Anglicized form of Hebrew Azriy'el, meaning "help of God." In the bible, this is the name of several minor characters. | male. AZRAEL
1: Anglicized form of Arabic Azra'il, the name of the "Angel of Death" who separates the soul from the body upon death.Anglicized form of Hebrew Azriy'el, meaning "help of God." In the bible, this is the name of several minor characters. | male. AZRIEL
1: Anglicized form of Chinese Kong Fu Zi. Kong is the surname, meaning "hole" or "opening." Fu is the generation name, meaning "husband, master, man," and Zi is the given name, meaning "son." | male. CONFUCIUS
1: Anglicized form of Hebrew Yowkebed In the bible, this is the name of the mother of Miriam, Aaron and Moses. | female. JOCHEBED
1: Anglicized form of Hebrew Zabdiy, meaning "the gift of Jehovah. In the bible, this is the name of several characters, including a son of Zerah. | male. ZABDI
1: Anglicized form of Irish Gaelic Dara "oak," Dubhdara "black oak," and Dubhaltach "black-haired." English habitational surname transferred to forename use, meaning "Dudda's meadow." | male. DUDLEY
1: Anglicized form of Irish Gaelic ï��irinn, meaning "Ireland." | female. AERYN
1: Anglicized form of Irish Gaelic ï��taï��n, meaning "face." | female. AIDEEN
1: Anglicized form of Scottish Gaelic P� draig, meaning "patrician, of noble descent."English form of Latin Petrus, meaning "rock, stone." In the bible, this is the name of one of Christ's apostles. The name was given by Jesus to Simon son of Jona, to distinguish him from Simon Zelotes. | male. PETER
1: Anglicized form of Scottish Gaelic Sg� ire, meaning "sea-mew," another name for the common seagull.Variant spelling of English Zachary, meaning "whom Jehovah remembered." | male. ZACHERY
1: Anglo-Norman diminutive form of French Léon ("lion"), hence "little lion" or "young lion." In Arthurian legend, this is the name of a Knight of the Round Table. He was the younger son of King Bors, and cousin to Lancelot and Hector de Maris. When King Bors died in battle, Lionel and Bors were rescued by the Lady of the Lake and raised by her, along with Lancelot, in her underwater kingdom. | male. LIONEL
1: An Old English dictionary defines ï��glǽca as follows: "wretch,miscreant, monster, demon, fierce enemy, fierce combatant, miserablebeing." In the Anglo-Saxon epic Beowulf, Grendel, Grendel's mother and Beowulf are all three referred to by this name for each is a "fierce combatant." | female. AGLï��CA
1: Another Anglicized form of Hebrew Yehuwdah, meaning "praised." In the bible, this is the name of the brother of James. | male. JUDE
1: Arabic name meaning "joy." | female. FARAH (فراه)
1: Aristocratic title transferred to byname and finally to forename, from Old English eorl, meaning "nobleman, prince, warrior." | male. EARL
1: Arthurian legend name of an island somewhere in the British Isles, where the body of King Arthur is said to be buried, having been brought there by his half-sister Morgan le Fay, and where he is supposed to one day return. The name means "island of apples," from Celtic abal (cf. Welsh afal, Breton and Cornish aval "apple"). | female. AVALON
1: Byname for a person from the Tyneside region of England, derived from an Old English diminutive form of George, meaning "earth-worker, farmer." | male. GEORDIE
1: Byname for someone with "rust-colored hair," derived from the English vocabulary word rust. | male. RUSTY
1: Celtic Arthurian legend name of a famous King of Britain. The name is of obscure etymology, possibly composed of Welsh art/arth "bear" and Brittonic gur "man," hence "bear-man." The earliest mention of him is in Welsh texts, where he is never called "king," but rather dux bellorum, meaning "war leader." Medieval Welsh texts call him ameraudur "emperor" which could also mean "war leader." In early Welsh works the word art was used as a figurative synonym for "warrior." | male. ARTHUR
1: Celtic legend name of a tragic heroine who committed suicide after the murder of her lover. She is sometimes referred to as Deirdre of the Sorrows. The name is of uncertain derivation. Some sources give the meaning "young girl." | female. DEIRDRE
1: Celtic name composed of the Gaulish elements epos "horse" and epa "mare," hence "horse-mare." In mythology, this is the name of a goddess of horses and fertility. | female. EPONA
1: Character name used by English novelist R.D. Blackmore, possibly of Anglo-Saxon origin, meaning "forlorn, forsaken, lost." | female. LORNA
1: Compare with another form of Griffin. Anglicized form of Irish Gaelic Gríobhtha, meaning "griffin."English name derived from Middle English griffin, meaning "griffin." | male. GRIFFIN
1: Compare with another form of Kent.English surname transferred to forename use, meaning "from Kent."Short form of English Kenton, meaning "Cena's settlement." Also used as a short form of other names beginning with Kent-. | male. KENT
