A100 ABBEY:AVEY
A120 APPS
A123 ABSTON
A125 AFKIN
A126 ABSHIRE:APGAR
A130 ABAT:ABBOT:ABBOTT
A132 APODACA
A136 AUFDERHEIDE
A140 ABEL:ABELL:ABLE:APPEL:APPLE:AUVIL:AVILA
A141 APPLEBY
A142 ABLES:AFFLECK:APPLEGATE
A143 AFFOLTER:APALATEGUI:APPLETON:APPLEWHITE
A145 ABLANALP:APPLEMAN:APPLING
A146 ABLER
A150 ABNEY:APPINO:AUBIN:AVEN
A152 APPENZELLER
A153 ABNET:AVANT
A156 ABNER
A160 ABER:AUBREY:AUBRY:AVERY
A162 ABERCROMBIE:AEBERSOLD
A163 AUBERT
A164 ABBERLEY:AVERILL
A165 ABERNATHY:ABERNETHY:ABRAHAM:ABRAHAMSON:ABRAMS:ABRAMSON
A200 AGEE:AGG:AHAUS:AKE:ASH:ASHE:ASKEW:ASKEY:AUGHE
A210 ACUFF:ASHBY
A212 ASHBAUGH
A214 ASHFIELD:ASPLAND
A215 ASPINWALL
A216 ASBERRY:ASBURY:ASHABRANNER:ASHBROOK:ASHBURN:ASHFORD:AUSBROOK:AXFORD
A220 AYCOCK
A222 AGASSIZ
A223 AGOSTON:AUGUST:AUGUSTIN:AUGUSTINE
A225 ACHESON
A226 ASHCRAFT
A230 ACOTT:AGOITIA:AISQUITH
A231 AUSTVOLL
A234 ASDELL:ASTLE:ASTLEFORD:AXTELL
A235 ACTON:ASHTON:ASTON:AUSTEN:AUSTIN
A240 ACKLEY:ASHLEY:ASHWELL:ASHWILL
A242 ASHLOCK
A245 ACKLIN:ACLAND:ASSELIN
A246 ASLUWORTH
A250 ACHON:AGAN:AGNEW:AIKEN:AIKIN:AKIN:AUCOIN:AXON
A251 ASCHENBRENNER
A252 AIKENS:AKENS:AKINS:ASKINS:AUSMUS
A253 AUCHMOODIE
A255 AIKMAN:ASHMAN
A256 AGNER:ASHMORE
A260 ACHOR:ACKER:ACREE:AGAR:AGER:AGUERO:AGYAR:AKER:ASHER:AUGER:AUXIER
A262 ACKERSON:ACRES:AKERS:AKRIGHT
A263 ACCARDI:ACHORD:ACORD:AGARD:ASHWORTH
A265 ACKERMAN:ACKERMANN:ACORN
A300 ADDY:ATHA:ATHEY:ATTAWAY:ATTEY:ATYEO:AYOTTE
