cmd,command
int,integer
iso,iso
uid,uid
gid,gid
vga,vga
utf8,utf8
inode,inode
ibm,ibm
dir,directory
dirs,directories
fd,fd
html,html
str,string
strs,strings
ver,version
vers,versions
malloc,malloc
fig,figure
figs,figures
flg,flag
flgs,flags
arg,argument
args,arguments
num,number
char,character
gnu,gnu
vga,vga
cwd,cwd
html,html
init,initialize
cmp,compare
url,url
ansi,ansi
ascii,ascii
fifo,fifo
tty,tty
dev,device
buf,buffer
clr,clear
func,function
funcs,functions
exec,execute
param,parameter
params,parameters
len,length
leng,length
ptr,pointer
err,error
errs,errors
msg,message
msgs,messages
eof,eof
eol,eol
eor,eor
txt,text
val,value
vals,values
cpy,copy
multi,multi
addr,address
inode,inode
todo,todo
lib,library
struct,structure
structs,structures
chr,character
chrs,characters
iso,iso
tuple,tuple
boolean,boolean
eps,eps
tex,tex
hdr,header
pdf,pdf
eps,eps
src,source
snd,sound
tbl,table
abs,absolute
avg,average
const,constant
del,delete
elem,element
descr,description
mem,memory
obj,object
rect,rectangle
sem,semantic
sym,symbol
syms,symbols
vec,vector
win,window
vol,volume
chr,character
chrs,characters
hdr,header
misc,miscellaneous
tmp,temporary/tmp
charset,charset
doc,document
linux,linux
unix,unix
regexp,regexp
cobol,cobol
login,login
tooltip,tooltip
