゛ ﾞ
゜ ﾟ
ァ ｧ
ア ｱ
ア ｱ
ィ ｨ
ィ ｨ
イ ｲ
イ ｲ
ゥ ｩ
ゥ ｩ
ウ ｳ
ウ ｳ
ェ ｪ
ェ ｪ
エ ｴ
エ ｴ
ォ ｫ
ォ ｫ
オ ｵ
オ ｵ
カ ｶ
カ ｶ
ガ ｶﾞ
ガ ｶﾞ
キ ｷ
キ ｷ
ギ ｷﾞ
ギ ｷﾞ
ク ｸ
ク ｸ
グ ｸﾞ
グ ｸﾞ
ケ ｹ
ケ ｹ
ゲ ｹﾞ
ゲ ｹﾞ
コ ｺ
コ ｺ
ゴ ｺﾞ
ゴ ｺﾞ
サ ｻ
サ ｻ
ザ ｻﾞ
ザ ｻﾞ
シ ｼ
シ ｼ
ジ ｼﾞ
ジ ｼﾞ
ス ｽ
ス ｽ
ズ ｽﾞ
ズ ｽﾞ
セ ｾ
セ ｾ
ゼ ｾﾞ
ゼ ｾﾞ
ソ ｿ
ソ ｿ
ゾ ｿﾞ
ゾ ｿﾞ
タ ﾀ
タ ﾀ
ダ ﾀﾞ
ダ ﾀﾞ
チ ﾁ
チ ﾁ
ヂ ﾁﾞ
ヂ ﾁﾞ
ッ ｯ
ッ ｯ
ツ ﾂ
ツ ﾂ
ヅ ﾂﾞ
ヅ ﾂﾞ
テ ﾃ
テ ﾃ
デ ﾃﾞ
デ ﾃﾞ
ト ﾄ
ト ﾄ
ド ﾄﾞ
ド ﾄﾞ
ナ ﾅ
ナ ﾅ
ニ ﾆ
ニ ﾆ
ヌ ﾇ
ヌ ﾇ
ネ ﾈ
ネ ﾈ
ノ ﾉ
ノ ﾉ
ハ ﾊ
ハ ﾊ
バ ﾊﾞ
バ ﾊﾞ
パ ﾊﾟ
パ ﾊﾟ
ヒ ﾋ
ヒ ﾋ
ビ ﾋﾞ
ビ ﾋﾞ
ピ ﾋﾟ
ピ ﾋﾟ
フ ﾌ
フ ﾌ
ブ ﾌﾞ
ブ ﾌﾞ
プ ﾌﾟ
プ ﾌﾟ
ヘ ﾍ
ヘ ﾍ
ベ ﾍﾞ
ベ ﾍﾞ
ペ ﾍﾟ
ペ ﾍﾟ
ホ ﾎ
ホ ﾎ
ボ ﾎﾞ
ボ ﾎﾞ
ポ ﾎﾟ
ポ ﾎﾟ
マ ﾏ
マ ﾏ
ミ ﾐ
ミ ﾐ
ム ﾑ
ム ﾑ
メ ﾒ
メ ﾒ
モ ﾓ
モ ﾓ
ャ ｬ
ャ ｬ
ヤ ﾔ
ヤ ﾔ
ュ ｭ
ュ ｭ
ユ ﾕ
ユ ﾕ
ョ ｮ
ョ ｮ
ヨ ﾖ
ヨ ﾖ
ラ ﾗ
ラ ﾗ
リ ﾘ
リ ﾘ
ル ﾙ
ル ﾙ
レ ﾚ
レ ﾚ
ロ ﾛ
ロ ﾛ
ヮ ヮ
ヮ ヮ
ワ ﾜ
ワ ﾜ
ヰ ヰ
ヰ ヰ
ヱ ヱ
ヱ ヱ
ヲ ｦ
ヲ ｦ
ン ﾝ
ン ﾝ
ヴ ｳﾞ
ヵ ヵ
ヶ ヶ
・ ･
ー ｰ
ヽ ヽ
ヾ ヾ
。 ｡
、 ､
「 ｢
」 ｣
