dr doutor
dra doutora
drs doutores
dras doutoras
etc etc.
prof professor
profa professora
profª professora
profs professores
profas professoras
séc século
av avenida
sr senhor
srs senhores
sra senhora
srª senhora
sras senhoras
arq arquitecto
pe padre
fr frei
mons monsenhor
exmo excelentíssimo
exmos excelentíssimos
exma excelentíssima
exmª excelentíssima
exmas excelentíssimas
ex exemplo
eng engenheiro
lg largo
lgo largo
cel coronel
sen senador
trv travessa
cia companhia
lda limitada
srt senhorita
srta senhorita
srtas senhoritas
exa example
jr júnior
est estrada
estr estrada
tv travessa
trav travessa
ft forte
et et.
al al.
vol volume
no número
pr praça
oliv oliveira
mr mister
mrs misters
min mínimo
rep repartição
ig ig
op opus
cit citado
art artigo
nr número
ltd limitada
adm administração
dep departamento
gen género
inst instituto
lab laboratório
nac nacional
rev revisão
seq seguintes  #   et seq.   (e páginas seguintes)
tel telefone
telef telefone
telem telemóvel
fax fax
cx caixa
ed editor
eds editores
pg página
pág página
pag página
págs páginas
pp páginas
obs observações
jan janeiro
fev fevereiro
feb february
abr abril
apr april
mai maio
jun junho
jul julho
ago agosto
set setembro
sep september
oct outubro
nov novembro
dec decimal
corp corporation
com companhia
st street # saint
mme madmoiselle
hab habitação
org organismos
orgs organismos
cf confrontar  # confrontar com
cfr confrontar # confrontar com
dir direita
esq esquerda
def definição
