nom,gender,animate,eng,acc,gen,dat,inst,prep,enp,nmp,acp,gnp,dtp,itp,prp
работа,f,i,job,работу,работы,работе,работой,работе,jobs,работы,работы,работ,работам,работами,работах
баня,f,i,bathhouse,баню,бани,бане,баней,бане,bathhouses,бани,бани,бань,баням,банями,банях
книга,f,i,book,книгу,книги,книге,книгой,книге,books,книги,книги,книг,книгам,книгамн,книгах
линия,f,i,line,линию,линии,линии,линией,линии,lines,линии,линии,линии,линиям,линиями,линиях
фильм,m,i,film,фильм,фильма,фильму,фильмом,фильме,films,фильмы,фильмы,фильмов,фильмам,фильмами,фильмах
писатель,m,a,writer,писателя,писателя,писателю,писателем,писателе,writers,писатели,писателей,писателей,писателям,писателями,писателях
герой,m,a,hero,героя,героя,герою,героем,герое,heroes,герои,героев,героев,героям,героями,героях
комментарий,m,i,comment,комментарий,комментария,комментарию,комментарием,комментарии,comments,комментарии,комментарии,комментариев,комментариям,комментариями,комментариях
место,n,i,place,место,места,месту,местом,месте,places,места,места,мест,местам,местами,местах
море,n,i,sea,море,моря,морю,морем,море,seas,моря,моря,морей,морям,морями,морях
здание,n,i,building,здание,здания,зданию,зданием,здании,buildings,здания,здания,зданий,зданиям,зданиями,зданиях
путь,m,i,way,путь,пути,пути,путем,пути,ways,пути,пути,путей,путям,путями,путях
ребенок,m,a,child,ребенка,ребенка,ребенку,ребенком,ребенке,children,дети,детей,детей,детям,детьми,детях
ошибка,f,i,mistake,ошибку,ошибки,ошибке,ошибкой,ошибке,mistakes,ошибки,ошибки,ошибок,ошибкам,ошибками,ошибках
кошка,f,a,cat,кошку,кошки,кошке,кошкой,кошке,cats,кошки,кошек,кошек,кошкам,кошками,кошках
кость,f,i,bone,кость,кости,кости,костью,кости,bones,кости,кости,костей,костям,костями,костях
мышь,f,a,mouse,мышь,мыши,мыши,мышью,мыши,mice,мыши,мышей,мышей,мышам,мышами,мышах
имя,n,i,name,имя,имени,имени,именем,имени,names,имена,имена,имен,именам,именами,именах
друг,m,a,friend,друга,друга,другу,другом,друге,friends,друзья,друзей,друзей,друзьям,друзьями,друзьях
нота,f,i,note,ноту,ноты,ноте,нотой,ноте,notes,ноты,ноты,нот,нотам,нотами,нотах
