burukha	BURUKHAN
chidê	CIUDER
chura	TURAN
dhirê	DHUREC
dichi	DUCIR
dimê	DUMEC
faichi	FAUCIR
faoba	FAUBAN
fedhura	VETHURAN
fura	FURAN
glunti	GLUNTIR
gushta	GUSTAN
hizi	IUSIR
idura	IDURAN
ilhê	ULGEC
ilubra	ILUBRAN
ishkuza	ISKUSAN
izubrê	ISUBREN
kaoka	CAUCAN
kitê	CUTEC
kupi	CULPIR
kurê	CURREC
laoda	LAUDAN
laota	LAUTAN
liri	LURIR
lôndura	LONDURAN
meundê	MEHUNDEN
niri	NURIR
plii	PLUHIR
pua	PUHAN
puga	PUGAN
raola	RAULAN
rênlaoda	RENLAUDAN
rêshkuli	RESCULLIR
ridhê	RUTHER
rizundê	RISUNDEN
shkechubrê	SCEIUBREN
shpiri	SPURIR
sidi	SUDIR
snuka	SNUCAN
subra	SUBRAN
sudri	SUDRIR
taobrê	TAUBREN
traoda	TRAUDAN
ubri	UBRIR
