C,48,52,55,60,,
C,48,55,60,64,67,
C,48,52,55,60,64,72
C,48,55,60,64,67,72
C,60,67,72,76,,
C7,48,52,58,60,64,
C7,48,55,58,64,67,
C7,48,55,58,64,67,72
C7,48,52,55,60,64,70
C7,60,67,70,76,,
Cm,48,55,60,63,67,
Cm,48,55,63,67,72,
Cm,48,55,60,63,67,72
Cm,60,67,72,75,,
Caug,48,52,56,60,,
Caug,48,56,60,64,,
Caug,48,52,56,60,64,
Caug,56,60,64,68,,
Cdim,48,54,60,63,,
Cdim,48,51,54,,,
Cdim,60,63,66,,,
Cdim,60,66,75,,,
Csus2,48,50,55,60,,
Csus2,48,55,60,62,67,
Csus2,48,55,62,67,72,
Csus2,60,67,72,74,,
Csus4,48,53,55,60,64,
Csus4,48,55,60,65,67,
Csus4,55,60,65,72,,
Csus4,48,53,60,65,67,72
Csus4,60,67,72,77,,
Cmaj7,48,52,55,59,64,
Cmaj7,48,55,59,63,67,
Cmaj7,60,64,67,71,,
Cmaj7,48,55,59,64,67,
Cmaj7,60,67,71,76,,
Cm7,48,51,58,60,,
Cm7,48,55,58,63,67,
Cm7,48,55,58,63,67,72
Cm7,60,67,70,75,,
Cm7b5,48,54,58,63,,
Cm7b5,58,63,66,72,,
Cm7b5,60,66,70,75,,
Cm7b5#9,42,48,52,58,63,66
Cm7b5#9,48,52,58,63,66,
Cm7b5#9,54,60,64,70,75,
Cdim7,51,57,60,66,,
Cdim7,48,54,57,63,66,
Cmaj9,48,52,59,62,,
Cmaj9,48,59,62,67,,
C6,48,52,57,60,,
C6,48,55,60,64,69,
C6,48,60,64,69,72,
C6(9),48,52,57,62,67,
C6(9),48,52,57,62,67,72
C6(9),60,64,69,74,,
Cmaj7#11,48,52,57,62,66,
Cmaj7#11,48,59,64,66,,
Cmaj7#11,60,64,66,71,,
Cm6,48,51,57,60,,
Cm6,55,60,63,69,,
Cm6,48,55,60,63,69,72
Cm9,48,51,62,,,
Cm9,48,55,62,63,,
Cm9,60,63,67,74,,
C11,48,53,58,62,67,
C11,48,52,58,61,66,
C11,48,58,62,65,70,
C11,60,65,70,74,,
C11,60,65,70,76,,
Cm11,48,51,58,62,65,
Cm11,48,58,63,65,,
C9,48,52,62,,,
C9,48,55,62,64,,
C9,60,64,67,74,,
C7b9,48,52,58,61,67,
C7b9,60,64,70,73,,
C7#9,48,52,58,63,,
C7#9,52,58,63,67,72,
C7#9,48,55,58,64,70,75
C7#9,60,64,70,75,,
C13,52,58,60,69,,
C13,48,52,58,62,69,
C13,48,55,58,62,69,
C13,48,58,62,64,69,
C13,48,58,64,69,74,
C7b13,48,58,64,68,,
C7b9b13,48,52,58,61,68,
C9sus4,48,53,58,62,,
C9sus4,48,58,62,65,,
C7b5,48,54,58,64,,
C7b5,46,54,60,64,,
C7b5,48,58,64,66,,
C7b5,60,66,70,76,,
C7#5,52,58,60,68,,
C7#5,48,56,58,64,,
C7#5,56,60,64,70,,
C7#5,58,64,68,72,,
C7#5,60,68,70,76,,
