Station,OS X,OS Y,Latitude,Longitude,Zone,Postcode
Abbey Road,539081,183352,51.53195199547294,0.0037233710983363487,3,E15 3NB
Abbey Wood,547297,179002,51.49078429543708,0.12027197064065129,4,SE2 9RH
Acton Central,520613,180299,51.508757351253415,-0.26343019532568895,2,W3 6BH
Acton Main Line,520296,181196,51.516886495162936,-0.2676899480142479,3,W3 9EH
Acton Town,519457,179639,51.50307098636339,-0.280302696832724,3,W3 8HN
Addington Village,537082,163744,51.35623853949495,-0.03266510033206201,"3,4,5,6",CR0 5AR
Addiscombe,534190,166290,51.37980817216768,-0.07321328251986768,"3,4,5,6",CR0 7AA
Albany Park,547903,172902,51.435815816166325,0.1264446387204615,5,DA5 3HP
Aldgate,533629,181246,51.5143422574978,-0.07562691232248626,1,EC3N 1AH
Aldgate East,533809,181333,51.515081505698724,-0.07300146242073956,1,E1 7PT
Alexandra Palace,530300,190498,51.59826262860595,-0.12014897136081185,3,N22 7ST
All Saints,538012,180933,51.51047690641237,-0.01262488536034996,2,E14 0EH
Alperton,518025,183849,51.54120878643842,-0.2995157534755783,4,HA0 4LL
Amersham,496454,198181,51.674128328342675,-0.6065137678777907,9,HP6 5AZ
Ampere Way,530674,166476,51.38229921988808,-0.12363679846190691,"3,4,5,6",CR0 3JX
Anerley,534656,169942,51.41251661375114,-0.06513709987901907,4,SE20 8PY
Angel,531497,183263,51.53296784539842,-0.10558144830378893,1,N1 8XB
Angel Road,535204,192202,51.612420242475814,-0.04873291923914301,4,N18 3AY
Archway,529356,186827,51.56549031545965,-0.13512157562147284,"2,3",N19 5RQ
Arena,535192,167620,51.391522658988485,-0.058318549886912346,"3,4,5,6",SE25 4RY
Arnos Grove,529271,192471,51.616229924551426,-0.13427021772184933,4,N11 1AN
Arsenal,531429,186107,51.55854120559965,-0.1054999329611858,2,N5 1LP
Avenue Road,535764,169335,51.406797904315376,-0.04944693697366336,"3,4,5,6",BR3 4NJ
Baker Street,527965,182078,51.52312936605881,-0.15690419298618452,1,NW1 5LA
Balham,528482,173195,51.443182314397006,-0.15268516199326135,3,SW12 9SG
Bank,532704,181111,51.51334691914183,-0.08900012349437465,1,EC3V 3LA
Banstead,524590,160426,51.32929277590573,-0.21313233354122454,6,SM7 1RB
Barbican,532079,181859,51.520215126107836,-0.09772157809050226,1,EC1A 4JA
Barking,544405,184343,51.53952124839739,0.08083161040306543,4,IG11 8TU
