 Count  Type        Name                  Value
     1  tag         svg                   open
     2  attribute   height                4cm
     3  attribute   version               1.1
     4  raw         viewBox               0 0 1200 400
     5  integer     1                     0
     6  integer     2                     0
     7  float       3                     1200
     8  float       4                     400
     9  attribute   width                 12cm
    10  attribute   xmlns                 http://www.w3.org/2000/svg
    11  tag         desc                  open
    12  content     desc                  Example rect01 - rectangle with sharp corners
    13  tag         desc                  close
    14  tag         rect                  open
    15  attribute   fill                  none
    16  attribute   height                398
    17  attribute   stroke                blue
    18  attribute   stroke-width          2
    19  attribute   width                 1198
    20  attribute   x                     1
    21  attribute   y                     1
    22  content     rect                  
    23  tag         rect                  close
    24  tag         rect                  open
    25  attribute   fill                  yellow
    26  attribute   height                200
    27  attribute   stroke                navy
    28  attribute   stroke-width          10
    29  attribute   width                 400
    30  attribute   x                     400
    31  attribute   y                     100
    32  content     rect                  
    33  tag         rect                  close
    34  content     svg                   
  

  
  

  
    35  tag         svg                   close
