 Count  Type        Name                  Value
     1  tag         svg                   open
     2  attribute   {http://www.w3.org/2000/xmlns/}xlink  http://www.w3.org/1999/xlink
     3  attribute   height                280pt
     4  raw         viewBox               0.00 0.00 320.00 280.00
     5  float       1                     0.00
     6  float       2                     0.00
     7  float       3                     320.00
     8  float       4                     280.00
     9  attribute   width                 320pt
    10  attribute   xmlns                 http://www.w3.org/2000/svg
    11  tag         g                     open
    12  attribute   class                 graph
    13  attribute   id                    graph0
    14  raw         transform             scale(1 1) rotate(0) translate(4 276)
    15  command     scale                 -
    16  float       1                     1
    17  float       2                     1
    18  command     rotate                -
    19  integer     1                     0
    20  command     translate             -
    21  float       1                     4
    22  float       2                     276
    23  tag         title                 open
    24  content     title                 Perl
    25  tag         title                 close
    26  tag         polygon               open
    27  attribute   fill                  white
    28  raw         points                -4,5 -4,-276 317,-276 317,5 -4,5
    29  float       1                     -4
    30  float       2                     5
    31  float       3                     -4
    32  float       4                     -276
    33  float       5                     317
    34  float       6                     -276
    35  float       7                     317
    36  float       8                     5
    37  float       9                     -4
    38  float       10                    5
    39  attribute   stroke                white
    40  content     polygon               
    41  tag         polygon               close
    42  tag         g                     open
    43  attribute   class                 node
    44  attribute   id                    node1
    45  tag         title                 open
    46  content     title                 Zero
    47  tag         title                 close
    48  tag         ellipse               open
    49  attribute   cx                    150
    50  attribute   cy                    -254
    51  attribute   fill                  none
    52  attribute   rx                    78.9404
    53  attribute   ry                    18
    54  attribute   stroke                black
    55  content     ellipse               
    56  tag         ellipse               close
    57  tag         text                  open
    58  attribute   font-family           Times,serif
    59  attribute   font-size             14.00
    60  attribute   text-anchor           middle
    61  attribute   x                     150
    62  attribute   y                     -250.3
    63  content     text                  The Orient Express
    64  tag         text                  close
    65  content     g                     


    66  tag         g                     close
    67  tag         g                     open
    68  attribute   class                 node
    69  attribute   id                    node2
    70  tag         title                 open
    71  content     title                 One
    72  tag         title                 close
    73  tag         ellipse               open
    74  attribute   cx                    69
    75  attribute   cy                    -180
    76  attribute   fill                  none
    77  attribute   rx                    69.3156
    78  attribute   ry                    18
    79  attribute   stroke                black
    80  content     ellipse               
    81  tag         ellipse               close
    82  tag         text                  open
    83  attribute   font-family           Times,serif
    84  attribute   font-size             14.00
    85  attribute   text-anchor           middle
    86  attribute   x                     69
    87  attribute   y                     -176.3
    88  content     text                  Reichwaldstraße
    89  tag         text                  close
    90  content     g                     


    91  tag         g                     close
    92  tag         g                     open
    93  attribute   class                 edge
    94  attribute   id                    edge1
    95  tag         title                 open
    96  content     title                 Zero->One
    97  tag         title                 close
    98  tag         path                  open
    99  raw         d                     M131.213,-236.301C120.505,-226.782 106.922,-214.708 95.1813,-204.272
   100  command     M                     -
   101  float       1                     131.213
   102  float       2                     -236.301
   103  command     C                     -
   104  float       1                     120.505
   105  float       2                     -226.782
   106  float       3                     106.922
   107  float       4                     -214.708
   108  float       5                     95.1813
   109  float       6                     -204.272
   110  attribute   fill                  none
   111  attribute   stroke                grey
   112  content     path                  
   113  tag         path                  close
   114  tag         polygon               open
   115  attribute   fill                  grey
   116  raw         points                97.2049,-201.388 87.4055,-197.36 92.5543,-206.62 97.2049,-201.388
   117  float       1                     97.2049
   118  float       2                     -201.388
   119  float       3                     87.4055
   120  float       4                     -197.36
   121  float       5                     92.5543
   122  float       6                     -206.62
   123  float       7                     97.2049
   124  float       8                     -201.388
   125  attribute   stroke                grey
   126  content     polygon               
   127  tag         polygon               close
   128  content     g                     


   129  tag         g                     close
   130  tag         g                     open
   131  attribute   class                 node
   132  attribute   id                    node4
   133  tag         title                 open
   134  content     title                 Three
   135  tag         title                 close
   136  tag         ellipse               open
   137  attribute   cx                    232
   138  attribute   cy                    -180
   139  attribute   fill                  none
   140  attribute   rx                    75.0904
   141  attribute   ry                    18
   142  attribute   stroke                black
   143  content     ellipse               
   144  tag         ellipse               close
   145  tag         text                  open
   146  attribute   font-family           Times,serif
   147  attribute   font-size             14.00
   148  attribute   text-anchor           middle
   149  attribute   x                     232
   150  attribute   y                     -176.3
   151  content     text                  ʎ ʏ ʐ ʑ ʒ ʓ ʙ ʚ
   152  tag         text                  close
   153  content     g                     


   154  tag         g                     close
   155  tag         g                     open
   156  attribute   class                 edge
   157  attribute   id                    edge2
   158  tag         title                 open
   159  content     title                 Zero->Three
   160  tag         title                 close
   161  tag         path                  open
   162  raw         d                     M169.019,-236.301C179.782,-226.85 193.415,-214.88 205.242,-204.495
   163  command     M                     -
   164  float       1                     169.019
   165  float       2                     -236.301
   166  command     C                     -
   167  float       1                     179.782
   168  float       2                     -226.85
   169  float       3                     193.415
   170  float       4                     -214.88
   171  float       5                     205.242
   172  float       6                     -204.495
   173  attribute   fill                  none
   174  attribute   stroke                grey
   175  content     path                  
   176  tag         path                  close
   177  tag         polygon               open
