name	namecustom	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	sample	blanc	isotopes	adduct	pcgroup	fold	tstat	pvalue	norm.b1	CV.samp	CV.pool	CV.ind	sample_mean	sample_sd	sample_CV	pool_mean	pool_sd	pool_CV	poolCV_over_sampleCV
M51T422	M50.9982T7.04	50.9981626323407	50.9978326036859	50.9988131931083	7.03581734203301	7.03040885435477	7.03930663008864	34	34	0			10	Inf	-11.1841789315657	4.18998169493534e-13	1	0.548866933508626	0.049517680986197	1	17361.0727113566	9528.9187415026	0.548866933508626	18562.0772699642	919.151020695226	0.049517680986197	0.0902180072493269
M51T462	M50.9984T7.7	50.998447609052	50.997939384838	50.9989193728871	7.70139191668536	7.69649119433859	7.70526563596957	31	31	0			3	Inf	-18.1833752341245	0	1	0.369947787039841	0.0879423233705526	1	12371.8187635485	4576.92697323276	0.369947787039841	12730.9696480811	1119.59104961224	0.0879423233705526	0.237715500541923
M52T462	M52.0058T7.7	52.0058382230786	52.0054647686538	52.0062469259759	7.70200408531758	7.70007100198973	7.70576088049698	36	36	0		[M+2H-C2H4]2+ 130.03	3	125.635702137704	-19.0693482457267	0	1	0.339298039129309	0.0270310924685589	1	206769.93564186	70156.6337141766	0.339298039129309	197251.002361311	5331.91008434451	0.0270310924685589	0.0796676943312871
M53T1010	M52.9851T16.83	52.9850648019492	52.9841683202571	52.9862856368536	16.827237947694	16.7755238979208	17.0323734751647	17	16	0			16	20.1552376974511	-13.9453206647581	6.66133814775094e-16	1	0.384716295694929	0.295440046949151	1	7294.71611509466	2806.39616194532	0.384716295694929	6015.60911953562	1777.25184070334	0.295440046949151	0.76794263787419
M54T1420	M54.04T23.66	54.0400338199289	54.0392535485832	54.0432863012184	23.6621199522981	23.6514709559388	24.0329266989581	42	36	0		[M+2H-COCH2]2+ 148.08	26	53.6472834977199	-18.1257791058933	0	1	0.328419505820216	0.00953362294944504	1	34026.5859978144	11174.9945581513	0.328419505820216	38230.4342768118	364.474545588663	0.00953362294944504	0.0290287963427603
M55T879	M55.0115T14.65	55.0115447297799	55.0096105326761	55.0416721000246	14.6511010481317	14.637300637869	14.7402463445085	36	36	0			21	84.8979567032491	-19.823021924207	0	1	0.310351068430719	0.0321658548568045	1	52574.1217053439	16316.4348430601	0.310351068430719	50309.545063835	1618.24952443518	0.0321658548568045	0.103643448110072
M55T1420	M55.0543T23.66	55.0542704541229	55.0175255894271	55.0550126281647	23.6587093246542	23.6527661708717	23.6724849752975	36	36	0		[M+2H-C3H2O3]2+ 194.096	26	73.5759834899527	-17.4847405389555	0	1	0.359602495981471	0.0171528253154845	1	138902.249683391	49949.5956835888	0.359602495981471	162985.799011884	2795.66693935552	0.0171528253154845	0.0476994056136038
M55T422	M55.0162T7.04	55.0162274056694	55.0159440245727	55.0165921055446	7.03760138463866	7.03445036994477	7.0395807285116	28	28	0		[M+Na]+ 32.0289	10	83.6803998849942	-10.6237780398239	1.69420033557799e-12	1	0.581038949731995	0.0102140965008331	1	119782.093933614	69598.0620558865	0.581038949731995	132817.180218873	1356.60749572411	0.0102140965008331	0.0175790220355182
M55T1789	M55.0543T29.81	55.0543348290811	55.0539801508431	55.0548513704504	29.8134877914654	29.8107452339087	29.8257515076123	21	21	0			38	127.426689798106	-3.86806619642677	0.000456473820691361	0	1.79591943197855	0.139501792664071	1	350569.918280708	629595.328507456	1.79591943197855	350569.918280707	48905.1320542554	0.139501792664071	0.0776770885041219
M56T1419	M56.0564T23.65	56.056395753207	56.0172934265216	56.0571008713661	23.6459275680036	23.6307217564716	23.6717888251168	25	25	0		[M+3H-C5H8O4]3+ 297.187	28	8.27376516205441	-18.0945768502995	0	1	0.336117246595465	0.0171994383528283	1	9520.3630151519	3199.95820324216	0.336117246595465	10941.636844946	188.190008393684	0.0171994383528283	0.0511709486110623
