#, m/z, z, I, FWHM, S/N, Res.
  1, 47.0488, , 3309, 0.0029, 214.0, 15991
  2, 68.9932, , 6564, 0.0025, 386.7, 27832
  3, 69.0695, , 9646, 0.0036, 567.5, 18955
  4, 70.0647, , 3693, 0.0034, 212.4, 20318
  5, 77.0009, , 1523, 0.0023, 72.7, 33358
  6, 77.9986, , 34046, 0.0031, 1604.6, 25250
  7, 78.4997, , 1373, 0.0028, 64.4, 28344
  8, 82.9964, , 7893, 0.0029, 357.4, 28763
  9, 86.0061, , 1343, 0.0025, 58.9, 34328
 10, 86.0962, 1+, 599735, 0.0041, 26273.9, 20749
 11, 87.0041, , 48099, 0.0033, 2081.0, 26048
 12, 87.0996, 1+, 33630, 0.0045, 1454.8, 19375
 13, 88.0044, , 2781, 0.0029, 119.8, 29916
 14, 88.5090, , 4327, 0.0030, 186.3, 29799
 15, 89.0085, , 1152, 0.0023, 49.6, 39178
 16, 89.5068, , 100681, 0.0031, 4331.3, 28532
 17, 90.0081, , 6362, 0.0029, 273.7, 30829
 18, 90.5069, , 9975, 0.0027, 429.2, 33818
 19, 91.5047, , 3352, 0.0020, 144.3, 46655
 20, 96.0099, , 4535, 0.0034, 194.3, 28262
 21, 97.5147, , 5109, 0.0020, 218.3, 49146
 22, 98.0142, , 4028, 0.0034, 172.0, 29059
 23, 98.5125, 2+, 218661, 0.0038, 9329.3, 25984
 24, 99.0136, 2+, 13428, 0.0034, 572.8, 29119
 25, 99.5127, , 10209, 0.0028, 435.2, 35141
 26, 100.5104, , 2726, 0.0016, 116.2, 61103
 27, 110.0368, , 1902, 0.0029, 82.0, 37865
 28, 113.9640, , 38233, 0.0041, 1651.6, 28056
 29, 115.0754, , 1361, 0.0047, 58.9, 24359
 30, 122.9640, , 2469, 0.0036, 107.0, 34549
 31, 130.0079, , 6820, 0.0032, 294.6, 40420
 32, 132.1020, 1+, 1140039, 0.0053, 49229.0, 25085
 33, 133.1053, 1+, 75245, 0.0063, 3249.7, 21186
 34, 134.1070, 1+, 6414, 0.0067, 277.4, 20044
 35, 141.9588, , 9354, 0.0019, 432.5, 75670
 36, 143.0814, , 3213, 0.0057, 149.1, 24995
 37, 153.0407, 1+, 181602, 0.0063, 9013.9, 24346
 38, 154.0437, 1+, 9912, 0.0075, 498.9, 20640
 39, 163.0180, , 1665, 0.0050, 89.9, 32612
 40, 172.9563, , 1305, 0.0046, 74.0, 37458
 41, 186.9927, , 6479, 0.0062, 386.1, 30146
 42, 204.1231, , 2603, 0.0074, 166.6, 27590
 43, 252.9652, , 2235, 0.0070, 144.9, 35937
 44, 293.9920, , 2002, 0.0096, 120.4, 30647
 45, 372.5460, , 1228, 0.0103, 63.3, 36333
