#, m/z, z, I, FWHM, S/N, Res.
  1, 53.0382, , 7185, 0.0032, 207.4, 16544
  2, 59.0488, , 14824, 0.0031, 407.1, 18939
  3, 73.0642, , 19480, 0.0038, 499.7, 19324
  4, 77.0381, , 24728, 0.0040, 618.7, 19181
  5, 95.0491, , 3750, 0.0044, 90.7, 21667
  6, 105.0336, 1+, 1187592, 0.0049, 28525.4, 21413
  7, 106.0371, 1+, 86171, 0.0056, 2066.3, 18786
  8, 107.0394, 1+, 3346, 0.0057, 80.1, 18710
  9, 113.9865, , 4857, 0.0045, 117.4, 25164
 10, 114.0913, , 4791, 0.0038, 115.8, 30019
 11, 115.0752, , 2513, 0.0040, 60.9, 29083
 12, 116.0488, , 2765, 0.0043, 67.1, 27047
 13, 117.0909, , 22518, 0.0055, 547.1, 21478
 14, 125.0541, , 3192, 0.0049, 77.5, 25614
 15, 134.0597, , 5487, 0.0054, 132.6, 24770
 16, 136.5623, , 2605, 0.0060, 62.9, 22718
 17, 138.0546, , 6713, 0.0055, 161.9, 25195
 18, 139.0286, , 3395, 0.0054, 81.9, 25986
 19, 139.0518, , 4641, 0.0059, 111.9, 23400
 20, 142.5476, , 2953, 0.0055, 71.2, 25896
 21, 148.0342, , 2398, 0.0043, 57.6, 34685
 22, 149.1171, , 7334, 0.0064, 176.0, 23160
 23, 150.5366, , 8393, 0.0060, 201.3, 25012
 24, 152.0706, , 9942, 0.0064, 238.4, 23881
 25, 155.0124, , 8023, 0.0064, 192.1, 24400
 26, 158.5226, , 5297, 0.0058, 126.8, 27338
 27, 159.5224, , 2894, 0.0061, 69.2, 26070
 28, 159.5416, , 8739, 0.0058, 208.9, 27319
 29, 162.0549, , 23398, 0.0063, 558.9, 25850
 30, 171.0991, , 11631, 0.0066, 275.9, 26031
 31, 175.1321, , 2710, 0.0057, 64.1, 30776
 32, 180.0653, 1+, 2216858, 0.0060, 52163.3, 30158
 33, 180.0809, , 7525, 0.0049, 177.1, 36402
 34, 181.0687, 1+, 219018, 0.0070, 5150.7, 25940
 35, 182.0704, 1+, 21674, 0.0081, 509.1, 22341
 36, 191.0504, , 2455, 0.0065, 57.3, 29254
 37, 193.1433, , 74370, 0.0076, 1730.6, 25536
 38, 194.1469, , 8457, 0.0076, 196.5, 25490
 39, 196.0394, , 7081, 0.0075, 164.0, 26271
 40, 199.0391, , 7403, 0.0055, 170.9, 36165
 41, 199.5407, , 2715, 0.0073, 62.6, 27478
 42, 200.0552, , 4141, 0.0064, 95.5, 31163
 43, 202.0473, , 154773, 0.0074, 3568.9, 27144
 44, 203.0507, , 15221, 0.0079, 351.4, 25850
 45, 205.5783, , 7823, 0.0078, 180.7, 26215
 46, 208.0443, , 23836, 0.0073, 549.5, 28479
 47, 208.5459, , 5250, 0.0073, 121.1, 28641
 48, 210.1699, , 13061, 0.0081, 301.3, 25877
 49, 212.0120, , 2399, 0.0078, 55.3, 27095
 50, 213.1102, , 4396, 0.0073, 101.2, 29239
 51, 215.1253, , 119628, 0.0083, 2755.9, 25988
 52, 216.1286, , 11957, 0.0086, 275.4, 25206
 53, 217.1064, , 6678, 0.0069, 153.7, 31687
 54, 218.0190, , 3263, 0.0110, 75.2, 19746
 55, 219.5527, , 4474, 0.0070, 103.4, 31473
 56, 234.9928, , 2351, 0.0076, 54.4, 30932
 57, 235.1172, , 16576, 0.0088, 383.6, 26732
 58, 240.0445, , 5646, 0.0090, 130.7, 26795
 59, 240.0977, , 6385, 0.0084, 147.9, 28470
 60, 250.0290, , 35521, 0.0094, 816.2, 26550
 61, 251.0318, , 2828, 0.0076, 64.9, 33197
 62, 252.1438, , 9511, 0.0090, 218.0, 28072
 63, 257.0994, , 30985, 0.0099, 707.4, 26098
 64, 258.1025, , 3100, 0.0088, 70.7, 29208
 65, 263.0605, , 15208, 0.0102, 345.4, 25843
 66, 268.0395, , 33513, 0.0096, 756.0, 27798
 67, 269.0431, , 4141, 0.0092, 93.0, 29335
 68, 275.0112, , 5768, 0.0089, 127.7, 30919
 69, 277.0118, , 2336, 0.0088, 51.5, 31620
 70, 277.0959, , 2371, 0.0090, 52.3, 30955
 71, 278.9823, , 6956, 0.0100, 152.6, 27802
 72, 279.9889, , 2923, 0.0099, 64.0, 28293
 73, 288.5681, , 26291, 0.0089, 560.5, 32277
 74, 289.0700, , 7285, 0.0103, 154.8, 28123
 75, 291.0557, , 9954, 0.0097, 210.0, 29900
 76, 292.0139, , 2396, 0.0109, 50.4, 26691
 77, 293.0447, , 3396, 0.0096, 71.1, 30370
 78, 296.0343, , 4226, 0.0095, 87.2, 31140
 79, 296.9932, , 5630, 0.0103, 115.6, 28903
 80, 320.0084, , 11246, 0.0116, 214.8, 27683
 81, 359.1235, , 119727, 0.0119, 2023.4, 30287
 82, 360.1267, , 24317, 0.0127, 409.6, 28421
