#, m/z, z, I, FWHM, S/N, Res.
  1, 79.9964, , 5096, 0.0028, 183.4, 28752
  2, 90.5073, , 11290, 0.0015, 407.9, 60422
  3, 91.5048, , 45409, 0.0028, 1642.1, 32556
  4, 92.5036, , 4290, 0.0029, 155.2, 31774
  5, 100.0138, , 2634, 0.0017, 95.1, 59249
  6, 100.5103, , 4306, 0.0016, 155.5, 63674
  7, 101.5093, , 9065, 0.0030, 327.4, 33824
  8, 112.0183, , 3715, 0.0020, 133.7, 55350
  9, 163.0754, , 7625, 0.0063, 234.2, 25959
 10, 206.6465, , 1899, 0.0073, 45.1, 28300
 11, 215.6509, , 2871, 0.0070, 66.1, 30613
 12, 223.1095, , 7943, 0.0090, 178.2, 24656
 13, 236.6360, , 7610, 0.0078, 162.7, 30187
 14, 237.1368, , 2349, 0.0070, 50.1, 33895
 15, 239.1278, , 8161, 0.0090, 172.4, 26608
 16, 242.1068, , 1921, 0.0073, 40.0, 32970
 17, 244.6468, , 7539, 0.0083, 154.7, 29415
 18, 245.0912, , 4038, 0.0089, 82.7, 27613
 19, 245.1489, , 2249, 0.0070, 46.0, 35248
 20, 248.1440, , 58934, 0.0085, 1190.0, 29057
 21, 248.6456, , 19106, 0.0084, 383.8, 29496
 22, 249.1471, , 4105, 0.0079, 82.2, 31400
 23, 250.6334, , 2976, 0.0092, 59.0, 27344
 24, 251.1127, , 12621, 0.0087, 249.5, 28869
 25, 251.6150, , 4251, 0.0090, 83.9, 27856
 26, 252.6359, , 19553, 0.0089, 383.2, 28244
 27, 253.1377, , 5369, 0.0096, 105.0, 26502
 28, 257.1506, , 1887, 0.0060, 36.3, 43204
 29, 260.1209, , 8434, 0.0114, 159.7, 22813
 30, 260.6220, , 10822, 0.0097, 204.7, 26827
 31, 261.1097, , 20135, 0.0097, 379.4, 26900
 32, 261.6220, , 24404, 0.0092, 458.7, 28526
 33, 261.6412, , 23422, 0.0083, 440.3, 31583
 34, 262.1231, , 7110, 0.0111, 133.1, 23535
 35, 262.1428, , 6990, 0.0083, 130.9, 31645
 36, 262.6201, , 11600, 0.0097, 216.2, 26941
 37, 262.6578, , 1940, 0.0081, 36.2, 32480
 38, 263.1218, , 3141, 0.0098, 58.4, 26986
 39, 263.6197, , 2057, 0.0103, 38.1, 25674
 40, 265.1599, , 4312, 0.0085, 79.3, 31059
 41, 265.6612, , 1829, 0.0089, 33.6, 29758
 42, 271.6267, , 3299, 0.0105, 59.2, 25833
 43, 273.1490, , 40395, 0.0089, 720.1, 30626
 44, 273.6507, , 13650, 0.0091, 242.6, 29926
