#, m/z, z, I, FWHM, S/N, Res.
  1, 68.0488, , 8621, 0.0036, 37.8, 18901
  2, 69.0330, , 79873, 0.0037, 348.2, 18720
  3, 74.0230, , 15403, 0.0038, 61.6, 19606
  4, 77.9985, , 35205, 0.0027, 137.3, 28527
  5, 84.0804, , 13871, 0.0038, 53.4, 22351
  6, 86.0597, , 899652, 0.0042, 3446.1, 20631
  7, 87.0041, , 39021, 0.0028, 145.2, 31256
  8, 87.0437, 1+, 1407414, 0.0041, 5237.5, 21092
  9, 87.0550, , 131198, 0.0043, 488.2, 20022
 10, 87.0630, , 30753, 0.0044, 114.4, 19706
 11, 88.0392, , 14085, 0.0036, 50.8, 24272
 12, 88.0472, 1+, 60280, 0.0046, 217.4, 19024
 13, 88.0755, , 9911, 0.0046, 35.7, 19064
 14, 89.5069, , 82839, 0.0023, 295.5, 39435
 15, 90.0547, 1+, 16012, 0.0047, 57.1, 19007
 16, 98.5124, , 194336, 0.0033, 685.7, 30127
 17, 99.0137, , 7663, 0.0025, 27.0, 39806
 18, 104.0461, , 6929, 0.0267, 24.3, 3897
 19, 104.0707, 1+, 6811133, 0.0045, 23906.3, 23357
 20, 104.0837, , 14827, 0.0029, 52.0, 36241
 21, 105.0742, 1+, 299738, 0.0055, 1043.6, 19164
 22, 106.0502, , 27420, 0.0058, 96.1, 18219
 23, 106.0754, 1+, 33991, 0.0059, 119.2, 18030
 24, 109.0288, , 7077, 0.0048, 25.3, 22529
 25, 113.9640, , 23490, 0.0034, 86.2, 33906
 26, 116.0344, , 34381, 0.0066, 126.8, 17581
 27, 120.0649, , 19994, 0.0062, 74.7, 19474
 28, 127.0389, , 11554, 0.0052, 44.4, 24506
 29, 133.0608, , 797602, 0.0056, 3140.8, 23643
 30, 134.0448, , 12013, 0.0062, 48.2, 21758
 31, 134.0641, , 35574, 0.0071, 142.6, 19004
 32, 162.1123, 1+, 1787006, 0.0056, 8398.5, 28978
 33, 163.1156, 1+, 140965, 0.0066, 682.9, 24726
 34, 164.1174, 1+, 14736, 0.0081, 74.6, 20208
 35, 164.1273, , 7702, 0.0055, 39.0, 29647
 36, 178.4953, , 15689, 0.0062, 110.8, 28803
 37, 225.0160, , 21247, 0.0082, 223.0, 27585
 38, 243.0265, , 23778, 0.0092, 285.2, 26479
 39, 261.0370, , 26497, 0.0099, 342.2, 26361
 40, 278.0630, , 8477, 0.0098, 106.1, 28305
 41, 283.0190, , 17054, 0.0094, 211.9, 30167
 42, 331.0008, , 12287, 0.0119, 144.5, 27740
 43, 355.9833, , 15610, 0.0117, 181.0, 30377
 44, 359.9538, , 7888, 0.0120, 91.3, 29878
 45, 364.1004, , 60695, 0.0127, 700.2, 28657
 46, 393.0901, , 39204, 0.0129, 449.0, 30535
 47, 521.0659, , 11718, 0.0183, 126.6, 28446
