#, m/z, z, I, FWHM, S/N, Res.
  1, 59.0487, , 19055, 0.0033, 140.3, 17690
  2, 72.0803, , 14597, 0.0036, 77.9, 20093
  3, 77.9985, , 28177, 0.0027, 146.0, 28989
  4, 82.9963, , 10575, 0.0027, 54.3, 31079
  5, 85.0280, , 70046, 0.0043, 358.3, 19858
  6, 86.0598, , 60667, 0.0044, 309.5, 19773
  7, 87.0040, , 11819, 0.0016, 60.1, 55492
  8, 89.5069, , 66827, 0.0023, 339.7, 39508
  9, 98.5123, , 136057, 0.0031, 688.1, 31771
 10, 101.0597, 1+, 1206421, 0.0048, 6097.9, 21199
 11, 102.0632, 1+, 64504, 0.0052, 321.1, 19574
 12, 102.1278, , 25950, 0.0050, 129.2, 20239
 13, 113.9639, , 18439, 0.0030, 91.3, 37645
 14, 116.0707, , 135247, 0.0056, 670.1, 20633
 15, 118.0861, 1+, 2663997, 0.0051, 13141.4, 23368
 16, 119.0894, 1+, 146358, 0.0062, 719.4, 19222
 17, 120.0906, 1+, 10846, 0.0067, 53.9, 17849
 18, 122.0270, , 37934, 0.0060, 195.1, 20407
 19, 123.0551, , 58063, 0.0055, 304.2, 22268
 20, 124.0393, , 15781, 0.0052, 83.3, 23650
 21, 139.0503, , 57512, 0.0064, 303.5, 21851
 22, 145.0492, , 16822, 0.0061, 88.8, 23743
 23, 146.0272, , 22378, 0.0066, 118.1, 22179
 24, 153.0407, , 663290, 0.0059, 3505.0, 26119
 25, 154.0434, , 38286, 0.0073, 202.6, 21063
 26, 164.0376, , 146956, 0.0065, 780.1, 25272
 27, 176.1282, , 237713, 0.0068, 1260.4, 25804
 28, 177.1313, , 17951, 0.0075, 94.9, 23571
 29, 189.1234, , 38330, 0.0078, 198.5, 24201
 30, 204.0622, , 10394, 0.0167, 51.5, 12233
 31, 204.0744, , 12502, 0.0349, 62.0, 5846
 32, 204.1231, 1+, 10120118, 0.0094, 50150.7, 21823
 33, 204.1414, , 320312, 0.0049, 1587.3, 41419
 34, 204.2339, , 12650, 0.0047, 62.7, 43248
 35, 204.3091, , 24648, 0.0080, 122.1, 25419
 36, 204.5711, , 22618, 0.0033, 112.0, 62904
 37, 205.1264, 1+, 1294185, 0.0068, 6407.2, 30156
 38, 206.1280, 1+, 151092, 0.0085, 747.3, 24369
 39, 207.1314, 1+, 10765, 0.0098, 53.0, 21172
 40, 283.0415, , 38687, 0.0104, 219.0, 27175
 41, 305.0743, , 11877, 0.0112, 69.7, 27240
 42, 407.2387, , 192446, 0.0131, 1045.3, 31060
 43, 408.2420, , 35129, 0.0146, 190.6, 28044
 44, 631.1235, , 10263, 0.0189, 54.8, 33307
