type	losses_or_gains	delta_mass	annotation_in_pos_mode	annotation_in_neg_mode
pseudomolecular ion	+H	1.0072764	[M+H]+	
pseudomolecular ion	-H	-1.0072764		[M-H]-
adduct	Na+K	59.9378259	[(M-H+Na)+K]+	
adduct	K	37.95588165	[M+K]+	
adduct	Na	21.98194425	[M+Na]+	
adduct	3Na	65.94583274	[(M-2H+2Na)+Na]+	
adduct	4K	151.8235266	[(M-3H+3K)+K]+	
adduct	4Na	87.92777699	[(M-3H+3Na)+Na]+	
adduct	3K	113.8676449	[(M-2H+2K)+K]+	
adduct	2K	75.9117633	[(M-H+K)+K]+	
adduct	 2Na	43.9638885	[(M-H+Na)+Na]+	
adduct	Cl 	34.96885268		[M+Cl]-
adduct	Ca 	37.94694092	[M+Ca]+	
isotope	13C db 	0.501677419	[M+H]++_13C	[M-H]--_13C
isotope	13C	1.003354838	[M+H]+_13C	[M-H]-_13C
isotope	15N	0.997034893	[M+H]+_15N	[M-H]-_15N
isotope	18O	2.00424638	[M+H]+_18O	[M-H]-_18O
isotope	34S	1.9957959	[M+H]+_34S	[M-H]-_34S
isotope	41K	1.99811908	[M+H]+_41K	[M-H]-_41K
isotope	37Cl	1.99704991	[M+H]+_37Cl	[M-H]-_37Cl
isotope	13C2	2.006709676	[M+H]+_13C2	[M-H]-_13C2
isotope	13C3	3.010064513	[M+H]+_13C3	[M-H]-_13C3
isotope	13C+37Cl	3.000404748	[M+H]+_13C_37Cl	[M-H]-_13C_37Cl
isotope	13C+18O	3.007601218	[M+H]+_13C_18O	[M-H]-_13C_18O
isotope	13C+34S	2.999150738	[M+H]+_13C_34S	[M-H]-_13C_34S
isotope	44Ca	3.99289082	[M+H]+_44Ca	[M-H]-_44Ca
adduct	+(CH3OH)	32.02621475	[(M+H)+CH3OH]+	[(M-H)+CH3O]-
adduct	+(CH3CN)	41.0265491	[(M+H)+CH3CN]+	[(M-H)+CH2CN]-
adduct	+(H2O)	18.01056468	[(M+H)+H2O]+	[(M-H)+H2O]-
adduct	+2(H2O)	36.02112937	[(M+H)+2H20]+	[(M-H)+2H20]-
adduct	+(NaCl)	57.95862196		[(M-H+Na)+Cl]-
adduct	+(HCOOH)	46.0054793		[(M-H)+HCOOH]-
adduct	+(HCOOH)+(HCOOK)	129.9668403		
adduct	+(HCOOH)+(HCOONa)	113.9929029		
adduct	+(HCOOH)+2(HCOONa)	181.9803264		
adduct	+(HCOOK)	83.96136095	[(M+HCO2)+K]+	
adduct	+(HCOOK)+(HCOONa)	151.9487845		
adduct	+(HCOONa)	67.98742355	[(M+HCO2)+Na]+	
adduct	+2(HCOOH)	92.01095861		[M+2HCO2+H]-
adduct	+2(HCOOH)+(HCOOK)	175.9723196		
adduct	+2(HCOOH)+(HCOONa)	159.9983822		
adduct	+2(HCOOK)	167.9227219		
adduct	+2(HCOONa)	135.9748471		
fragment	-(C11H18O9)	-294.0950822	[(M+H)-C11H18O9]+	[(M-H)-C11H18O9]-
