"name	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	sample	blanc	isotopes	adduct	pcgroup	fold	tstat	pvalue	norm"	"b1	CV"	"samp	CV"	"pool	CV"	"ind	sample_mean	sample_sd	sample_CV	pool_mean	pool_sd	pool_CV	poolCV_over_sampleCV"	_MESURED_MONOISOTOPIC_MASS_	_PPM_ERROR_	_COMPUTED_MONOISOTOPIC_MASS_	_ANNOTATION_NAME_	_ANNOTATION_TYPE_	_ANNOTATION_IN_NEG_MODE_	_ANNOTATION_IN_POS_MODE_	_ANNOTATION_FORMULA_	_ID_	_ANNOTATIONS_
"M556T1424	51.0226	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	296.9548715	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					51.0226	0	51.0226	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 51.0226 hva - homovanillic acid"
"M556T1425	58.0235	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	439.4932098	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					58.0235	0	58.0235	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 58.0235 hva - homovanillic acid"
"M556T1426	58.9949	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	433.5541123	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					58.9949	0	58.9949	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 58.9949 hva - homovanillic acid"
"M556T1427	59.0309	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	1965.841249	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					59.0309	0	59.0309	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 59.0309 hva - homovanillic acid"
"M556T1428	61.0109	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	682.9962043	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					61.0109	0	61.0109	Urea	fragment	NA	NA	CH4N2O	PFc000341	"0.0000 61.0109 Urea | 0.0000 61.0109 hva - homovanillic acid"
"M556T1429	72.0386	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	332.589456	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					72.0386	0	72.0386	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 72.0386 hva - homovanillic acid"
"M556T1430	73.047	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	59390.97429	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					73.047	0	73.047	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.000 73.047 hva - homovanillic acid"
"M556T1431	74.0479	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	5000.720035	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					74.0479	0	74.0479	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 74.0479 hva - homovanillic acid"
"M556T1432	75.0283	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	10535.95884	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					75.0283	0	75.0283	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 75.0283 hva - homovanillic acid"
"M556T1433	76.0277	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	831.4736401	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					76.0277	0	76.0277	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 76.0277 hva - homovanillic acid"
"M556T1434	77.031	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	1158.123999	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					77.031	0	77.031	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.000 77.031 hva - homovanillic acid"
"M556T1435	78.0453	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	742.3871786	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					78.0453	0	78.0453	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 78.0453 hva - homovanillic acid"
"M556T1436	89.0401	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	979.9510758	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					89.0401	0	89.0401	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 89.0401 hva - homovanillic acid"
"M556T1437	90.0452	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	403.8586252	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427"					90.0452	0	90.0452	"hva - homovanillic acid"	fragment	NA	NA	C9H10O4	PFc000244	"0.0000 90.0452 hva - homovanillic acid"
