name	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	sample	blanc	isotopes	adduct	pcgroup	fold	tstat	pvalue	norm,b1	CV,samp	CV,pool	CV,ind	sample_mean	sample_sd	sample_CV	pool_mean	pool_sd	pool_CV	poolCV_over_sampleCV
M556T1424	51.0226	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	296.9548715	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427
M556T1425	58.0235	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	439.4932098	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427
M556T1426	58.9949	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	433.5541123	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427
M556T1427	59.0309	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	1965.841249	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427
M556T1428	61.0109	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	682.9962043	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427
M556T1429	72.0386	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	332.589456	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427
M556T1430	73.047	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	59390.97429	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427
M556T1431	74.0479	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	5000.720035	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427
M556T1432	75.0283	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	10535.95884	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427
M556T1433	76.0277	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	831.4736401	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427
M556T1434	77.031	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	1158.123999	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427
M556T1435	78.0453	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	742.3871786	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427
M556T1436	89.0401	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	979.9510758	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427
M556T1437	90.0452	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	403.8586252	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427
M556T1438	91.0535	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	944.3164912	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427
M556T1439	103.0533	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	659.2398146	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427
M556T1440	104.0612	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	1680.764572	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427
M556T1441	105.0307	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	546.3969635	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427
M556T1442	105.0662	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	611.7270352	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427
M556T1443	107.0468	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	302.8939689	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427
M556T1444	117.0672	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	320.7112612	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427
M556T1445	119.0829	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	380.1022355	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427
M556T1446	131.0362	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	391.9804303	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427
M556T1447	133.0215	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	944.3164912	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427
M556T1448	135.0316	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	1740.155547	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427
M556T1449	140.5326	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	3064.574273	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427
M556T1450	141.0336	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	742.3871786	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427
M556T1451	147.0613	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	1455.07887	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427
M556T1452	148.0458	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	2043.049516	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427
M556T1453	148.5454	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	451.3714046	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427
M556T1454	149.0276	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	4026.708057	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427
M556T1455	150.0389	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	778.0217632	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427
M556T1456	151.0417	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	415.73682	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427
M556T1457	161.0414	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	1585.739014	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427
M556T1458	162.049	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	3717.874991	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427
M556T1459	163.0563	556.2620953	556.2652935	23.74074823	23.73360521	23.74559902	137	137	0			666	1137.937593	-38.65912299	0	0	0.413551822	0.1163749	1	5727.191349	2368.490416	0.413551822	5727.191349	666.5013197	0.1163749	0.281403427
