mz	RI	the_mass	delta_ppm	RDB	composition	attribution	_MESURED_MONOISOTOPIC_MASS_	_PPM_ERROR_	_COMPUTED_MONOISOTOPIC_MASS_	_ANNOTATION_NAME_	_ANNOTATION_TYPE_	_ANNOTATION_IN_NEG_MODE_	_ANNOTATION_IN_POS_MODE_	_ANNOTATION_FORMULA_
"299.11753 "	"11.75 "	"299.117951 "	"-1.40802010948377 "		"C10 13C H16 N5 O5 "	"[(M+H)]+ (13C)"	299.117951 	0	299.1180	13C	isotope	NA	[M+H]+_13C	NA
"300.11923 "	"0.76 "	"300.11884 "	"1.2989366508029 "		"C11 H16 N5 O4 18O "	"[(M+H)]+ (18O)"	300.11884 	0	300.1188	18O	isotope	NA	[M+H]+_18O	NA
"595.22379 "	"0.78 "	"595.221916 "	"3.14785699735334 "		"C22 H31 N10 O10 "	[(2M+H)]+	595.221916 	0	0	NA	NA	NA	NA	NA
"301.12151 "	"0.06 "	"301.122195 "	"-2.27537259271876 "		"C10 13C H16 N5 O4 18O "	"[(M+H)]+ (13C) (18O)"	301.122195 	0	301.1222	13C+18O	isotope	NA	[M+H]+_13C_18O	NA
"596.22759 "	"0.18 "	"596.225271 "	"3.88892090878505 "		"C21 13C H31 N10 O10 "	"[(2M+H)]+ (13C)"	596.225271 	0	0	NA	NA	NA	NA	NA
"317.12764 "	"0.07 "	"317.128516 "	"-2.76283565221174 "		"C10 13C H18 N5 O6 "	"[(M+H)+(H2O)]+ (13C)"	317.128516 	0	317.1286	+(H2O)_13C	"isotopic massif"	NA	[M+H3O]+_13C	NA
"189.05752 "	"0.0 "	"189.057636 "	"-0.614118084139089 "		"C5 13C H7 N5 Na O "	"[(M+Na)-(C5H8O4)]+ (13C)"	189.057636 	0	0	NA	NA	NA	NA	NA
"316.12476 "	"0.67 "	"316.125161 "	"-1.26903350133194 "		"C11 H18 N5 O6 "	[(M+H)+(H2O)]+	316.125161 	0	316.1252	+(H2O)	adduct	NA	[M+H3O]+	NA
"345.12373 "	"0.03 "	"345.123431 "	"0.865808129556913 "		"C11 13C H18 N5 O7 "	"[(M+H)+(HCOOH)]+ (13C)"	345.123431 	0	345.1235	+(HCOOH)_13C	"isotopic massif"	NA	x_13C	NA
"188.05387 "	"0.11 "	"188.054281 "	"-2.1860877648107 "		"C6 H7 N5 Na O "	[(M+Na)-(C5H8O4)]+	188.054281 	0	0	NA	NA	NA	NA	NA
"167.06899 "	"0.22 "	"167.069371 "	"-2.28103840096699 "		"C6 H8 N4 15N O "	"[(M+H)-(C5H8O4)]+ (15N)"	167.069371 	1	167.0693	-(C5H8O4)_15N	"isotopic massif"	NA	[(M+H)-C5H8O4]+_15N	NA
"166.07195 "	"17.85 "	"166.072336 "	"-2.32483695518831 "		"C6 H8 N5 O "	[(M+H)-(C5H8O4)]+	166.072336 	0	166.0723	-(C5H8O4)	fragment	NA	[(M+H)-C5H8O4]+	NA
"320.09615 "	"1.79 "	"320.096541 "	"-1.22205506279007 "		"C11 H15 N5 Na O5 "	[(M+Na)]+	320.096541 	0	320.0965	-H+Na	adduct	NA	[M+Na]+	NA
"344.12019 "	"0.38 "	"344.120076 "	"0.330731133037 "		"C12 H18 N5 O7 "	[(M+H)+(HCOOH)]+	344.120076 	0	344.1201	+(HCOOH)	adduct	NA	NA	NA
"321.09924 "	"0.15 "	"321.099896 "	"-2.04352650722781 "		"C10 13C H15 N5 Na O5 "	"[(M+Na)]+ (13C)"	321.099896 	0	321.0999	-H+Na_13C	"isotopic massif"	NA	[M+Na]+_13C	NA
"181.09087 "	"0.02 "	"181.091341 "	"-2.60144599114765 "		"C6 13C H10 N5 O "	"[(M+H)-(C4H6O4)]+ (13C)"	181.091341 	1	181.0914	-(C4H6O4)_13C	"isotopic massif"	NA	[(M+H)-C4H6O4]+_13C	NA
"180.08753 "	"0.64 "	"180.087986 "	"-2.53264419684862 "		"C7 H10 N5 O "	[(M+H)-(C4H6O4)]+	180.087986 	0	180.0880	-(C4H6O4)	fragment	NA	[(M+H)-C4H6O4]+	NA
"167.07524 "	"0.94 "	"167.075691 "	"-2.69992391870847 "		"C5 13C H8 N5 O "	"[(M+H)-(C5H8O4)]+ (13C)"	167.075691 	0	167.0757	-(C5H8O4)_13C	"isotopic massif"	NA	[(M+H)-C5H8O4]+_13C	NA
"202.06924 "	"0.0 "	"202.069931 "	"-3.42015681439298 "		"C7 H9 N5 Na O "	[(M+Na)-(C4H6O4)]+	202.069931 	4	202.0690	-2(H2O)-(HCOOH)-(NH3)_13C+18O	"isotopic massif"	NA	[(M+H)-2(H2O)-(HCOOH)-(NH3)]+_13C+18O	NA
"477.19555 "	"0.06 "	"477.195306 "	"0.510772459801764 "		"C18 H25 N10 O6 "	[(2M+H)-(C4H6O4)]+	477.195306 	0	0	NA	NA	NA	NA	NA
"182.09216 "	"0.0 "	"182.09223 "	"-0.384969156195431 "		"C7 H10 N5 O0 18O "	"[(M+H)-(C4H6O4)]+ (18O)"	182.09223 	0	182.0922	-(C4H6O4)_18O	"isotopic massif"	NA	[(M+H)-C4H6O4]+_18O	NA
"298.11449 "	"100.0 "	"298.114596 "	"-0.356116544171745 "		"C11 H16 N5 O5 "	[(M+H)]+	298.114596 	0	298.1146	+H	"pseudomolecular ion"	NA	[M+H]+	NA
"168.07609 "	"0.02 "	"168.07658 "	"-2.91588633852773 "		"C6 H8 N5 O0 18O "	"[(M+H)-(C5H8O4)]+ (18O)"	168.07658 	1	168.0765	-(C5H8O4)_18O	"isotopic massif"	NA	[(M+H)-C5H8O4]+_18O	NA
