category,path,title,description,author,image,thumbnail
icons,icons,"Заглавие на категорията – icons","Описание на категорията","Марио Беров",,
icons,icons/24-30.JPG,"Заглавие на изображението – 24-30.JPG","Описание на изображението
 Материали, размери,какво, защо - според каквото мислиш, че е важно.","Марио Беров",24-30-_403x500.JPG,24-30-_97x120.JPG
icons,icons/DSCN0726.JPG,"Заглавие на изображението – DSCN0726.JPG","Описание на изображението
 Материали, размери,какво, защо - според каквото мислиш, че е важно.","Марио Беров",DSCN0726-_379x500.JPG,DSCN0726-_91x120.JPG
icons,icons/Untitled-2.jpg,"Заглавие на изображението – Untitled-2.jpg","Описание на изображението
 Материали, размери,какво, защо - според каквото мислиш, че е важно.","Марио Беров",Untitled-2-_500x494.jpg,Untitled-2-_120x119.jpg
loga,loga,"Заглавие на категорията – loga","Описание на категорията","Марио Беров",,
loga,loga/loga11.png,"Заглавие на изображението – loga11.png","Описание на изображението
 Материали, размери,какво, защо - според каквото мислиш, че е важно.","Марио Беров",loga11-_500x348.png,loga11-_120x84.png
loga,loga/loga16.png,"Заглавие на изображението – loga16.png","Описание на изображението
 Материали, размери,какво, защо - според каквото мислиш, че е важно.","Марио Беров",loga16-_445x500.png,loga16-_107x120.png
loga,loga/loga4.png,"Заглавие на изображението – loga4.png","Описание на изображението
 Материали, размери,какво, защо - според каквото мислиш, че е важно.","Марио Беров",,
,"изображение.png","Заглавие на изображението – изображение.png","Описание на изображението
 Материали, размери,какво, защо - според каквото мислиш, че е важно.","Марио Беров",80abnaddgf8bfx_500x104.png,80abnaddgf8bfx_120x25.png
мозайки,мозайки,"Заглавие на категорията – мозайки","Описание на категорията","Марио Беров",,
мозайки,мозайки/1.jpg,"Заглавие на изображението – 1.jpg","Описание на изображението
 Материали, размери,какво, защо - според каквото мислиш, че е важно.","Марио Беров",1-_500x335.jpg,1-_120x80.jpg
мозайки,мозайки/13.jpg,"Заглавие на изображението – 13.jpg","Описание на изображението
 Материали, размери,какво, защо - според каквото мислиш, че е важно.","Марио Беров",13-_500x375.jpg,13-_120x90.jpg
мозайки,мозайки/2.jpg,"Заглавие на изображението – 2.jpg","Описание на изображението
 Материали, размери,какво, защо - според каквото мислиш, че е важно.","Марио Беров",2-_375x500.jpg,2-_90x120.jpg
,"монограм1.png","Заглавие на изображението – монограм1.png","Описание на изображението
 Материали, размери,какво, защо - според каквото мислиш, че е важно.","Марио Беров",1-7sbi9acdgbt_300x303.png,1-7sbi9acdgbt_119x120.png
