GENERAL TRACE INFORMATION
Filename,t/sample_input/sample.tsh,Unknown
Duration,0.937457
Records,1000
Interfaces,2

INTERFACE INFORMATION
Interface Number,1
Duration,0.937457
Records,673

INTERFACE TRAFFIC DENSITY
,Pkts/s,Bytes/Pkt,b/s
IP Total,718,230,1323231
TCP Total,596,234,1117338

IP STATISTICS (PACKETS)
,,Fragmentation,,Explicit Congestion Notification,,Differentiated Services,,,,IP Options
,Total,DF,MF,ECT,CE,Normal,Class Selector,AF PHB,EF PHB,No IP Options,IP Options
IP,673,581,0,0,0,673,0,0,0,673,0
ICMP,19,6,0,0,0,19,0,0,0,19,0
TCP,559,547,0,0,0,559,0,0,0,559,0
UDP,92,28,0,0,0,92,0,0,0,92,0
Unknown,3,0,0,0,0,3,0,0,0,3,0

IP STATISTICS (BYTES)
,,Fragmentation,,Explicit Congestion Notification,,Differentiated Services,,,,IP Options
,Total,DF,MF,ECT,CE,Normal,Class Selector,AF PHB,EF PHB,No IP Options,IP Options
IP,155059,140513,0,0,0,155059,0,0,0,155059,0
ICMP,1532,336,0,0,0,1532,0,0,0,1532,0
TCP,130932,130332,0,0,0,130932,0,0,0,130932,0
UDP,22379,9845,0,0,0,22379,0,0,0,22379,0
Unknown,216,0,0,0,0,216,0,0,0,216,0

TCP ACKNOWLEDGEMENTS
Total ACKs,302
Cumulative ACKs,253
Pure ACKs,82
Options ACKs,49

RECEIVER ADVERTISED WINDOW
Size (Bytes),Soft Count,Hard Count
5840,4,0
8192,2,0
8760,42,0
10767,1,0
16384,85,0
17019,1,0
25200,2,0
32000,1,0
34932,1,0
44620,1,0
46080,1,0
46424,0,1
60015,1,0
60352,2,0
64170,1,0
64240,41,0
64512,24,0
64800,1,0
65280,5,0
65535,46,0

TCP OPTIONS NEGOTIATION
TCP Header Length (Bytes),SYN,SYN/ACK
20,0,1
24,2,
28,245,1
32,2,4
40,3,
44,5,
SYN/Payload,

TCP OPTIONS ACK USAGE
TCP Header Length (Bytes),Count
28,1
32,45
40,1
44,2

PACKET SIZE DISTRIBUTION
Bytes,IP,ICMP,TCP,UDP,Unknown
40,87,0,82,5,0
41,1,0,1,0,0
43,2,0,0,2,0
44,3,0,3,0,0
45,3,0,0,3,0
46,2,0,1,1,0
48,298,0,298,0,0
52,37,0,37,0,0
53,3,0,0,3,0
56,10,6,4,0,0
57,1,0,1,0,0
58,1,0,1,0,0
60,5,0,4,1,0
63,2,0,0,2,0
64,7,0,7,0,0
65,1,0,1,0,0
66,1,0,1,0,0
68,1,0,1,0,0
72,7,0,0,4,3
74,2,0,0,2,0
76,1,0,1,0,0
79,1,0,1,0,0
80,1,0,1,0,0
82,1,0,0,1,0
84,2,0,1,1,0
88,12,0,12,0,0
92,13,13,0,0,0
95,1,0,0,1,0
96,1,0,1,0,0
97,1,0,1,0,0
99,1,0,1,0,0
102,2,0,0,2,0
108,1,0,0,1,0
112,1,0,1,0,0
114,1,0,0,1,0
115,1,0,0,1,0
120,4,0,0,4,0
130,1,0,0,1,0
138,2,0,0,2,0
141,1,0,0,1,0
145,1,0,1,0,0
146,1,0,0,1,0
147,1,0,0,1,0
149,1,0,0,1,0
151,2,0,0,2,0
164,2,0,0,2,0
178,1,0,0,1,0
181,1,0,0,1,0
182,4,0,1,3,0
183,1,0,0,1,0
184,1,0,0,1,0
188,1,0,0,1,0
228,1,0,1,0,0
234,2,0,0,2,0
249,1,0,0,1,0
254,1,0,0,1,0
265,1,0,0,1,0
266,1,0,0,1,0
267,1,0,1,0,0
330,2,0,2,0,0
333,2,0,0,2,0
339,1,0,0,1,0
343,1,0,0,1,0
345,2,0,0,2,0
404,12,0,0,12,0
445,1,0,0,1,0
476,1,0,1,0,0
500,1,0,1,0,0
506,1,0,0,1,0
512,1,0,0,1,0
518,1,0,1,0,0
521,1,0,0,1,0
638,8,0,0,8,0
647,2,0,0,2,0
684,1,0,1,0,0
708,25,0,25,0,0
999,1,0,1,0,0
1020,1,0,1,0,0
1168,1,0,1,0,0
1273,2,0,2,0,0
1420,54,0,54,0,0
1427,1,0,1,0,0
1500,2,0,2,0,0
