Rank,Name,Origin,Pop in 1990
1,Smith,English,2442977
2,Johnson,"English, Scottish",1932812
3,Williams,"English, Welsh",1625252
4,Brown,"English, Scottish, Irish",1437026
5,Jones,"English, Welsh",1425470
6,Garcia,Spanish,1166120
7,Miller,"English, Scottish, German, French, Italian ",1161437
8,Davis,"English, Welsh",1116357
9,Rodriguez,Spanish,1094924
10,Martinez,Spanish,1060159
11,Hernandez,"Spanish, Portuguese ","1,04,328"
12,Lopez,Spanish,874523
13,Gonzales,Spanish,841025
14,Wilson,"English, Scottish",801882
15,Anderson,"Swedish, Danish, Norwegian, English",784404
16,Thomas,"English, Welsh",756142
17,Taylor,English,751209
18,Moore,English,724374
19,Jackson,English,708099
20,Martin,"English, French, Scottish, Irish, German",702625
21,Lee,"English, Irish, Chinese",693023
22,Perez,Spanish,681645
23,Thompson,"English, Scottish",664644
24,White,"English, Scottish, Irish",660491
25,Harris,"English, Welsh",624252
26,Sanchez,Spanish,612752
27,Clark,"English, Irish",562679
28,Ramirez,Spanish,557423
29,Lewis,English,531781
30,Robinson,"English, Jewish",529821
31,Walker,"English, Scottish",523189
32,Young,"English, Scottish",484447
33,Allen,"Scottish, English",482607
34,King,English,465422
35,Wright,English,458980
36,Scott,"English, Scottish",439530
37,Torres,"Spanish, Portuguese",437813
38,Nguyen,Vietnamese,437645
39,Hill,English,434827
40,Flores,Spanish,433969
41,Green,English,430182
42,Adams,"English, Jewish",427865
43,Nelson,Irish,424958
44,Baker,English,419586
45,Hall,"English, Scottish, German, Irish, Scandanavian",407076
46,Rivera,Spanish,391114
47,Campbell,"Scottish, Irish",386157
48,Mitchell,"Scottish, English, Irish",384486
49,Carter,English,376966
50,Roberts,"Welsh, German",376774
51,Gomez,Spanish,365655
52,Phillips,Welsh,360802
53,Evans,Welsh,355593
54,Turner,"English, Scottish",348627
55,Diaz,"Spanish, Portuguese",347636
56,Parker,English,336221
57,Cruz,Spanish,334201
58,Edwards,English,332423
59,Collins,"Irish, English",329770
60,Reyes,Spanish,327904
61,Stewart,"Scottish, English",324957
62,Morris,"English, Irish, Scottish",318884
63,Morales,"Spanish, Portuguese",311777
64,Murphy,Irish,308417
65,Cook,English,302589
66,Rogers,English,302261
67,Gutierrez,Spanish,293218
68,Ortiz,Spanish,286899
69,Morgan,Welsh,286280
70,Cooper,"English, Dutch",280791
71,Peterson,"English, Scottish, German",278297
72,Bailey,"Scottish, French",277030
73,Reed,English,277030
74,Kelly,Irish,267394
75,Howard,"English, German",264826
76,Ramos,"Spanish, Portuguese",263464
77,Kim,Korean,262352
78,Cox,"English, French, Welsh, Irish",261231
79,Ward,"English, Irish",260464
80,Richardson,English,259758
81,Watson,"English, Scottish",252579
82,Brooks,"Swedish, English",251663
83,Chavez,"Spanish, Portuguese",250898
84,Wood,"English, Scottish",250715
85,James,"English, Welsh",249379
86,Bennet,English,247599
87,Gray,"English, Scottish",246116
88,Mendoza,Spanish,242771
89,Ruiz,Spanish,238234
90,Hughes,"English, Irish",236271
91,Price,Welsh,235251
92,Alvarez,Spanish,233983
93,Castillo,Spanish,230420
94,Sanders,"English, Scottish, German",230374
95,Patel,"Indian, Hindu",229973
96,Myers,"German, English",229895
97,Long,"English, Scottish, Chinese",229374
98,Ross,"English, Scottish",229368
99,Foster,"English",227764
100,Jimenez,Spanish,227118
