Prefix,Designation,Date,Whois,Status [1],Note
000/8,IANA - Local Identification,1981-09,,RESERVED,[2]
001/8,APNIC,2010-01,whois.apnic.net,ALLOCATED,
002/8,RIPE NCC,2009-09,whois.ripe.net,ALLOCATED,
003/8,General Electric Company,1994-05,whois.arin.net,LEGACY,
004/8,"Level 3 Communications, Inc.",1992-12,whois.arin.net,LEGACY,
005/8,RIPE NCC,2010-11,whois.ripe.net,ALLOCATED,
006/8,Army Information Systems Center,1994-02,,LEGACY,
007/8,Administered by ARIN,1995-04,whois.arin.net,LEGACY,
008/8,"Level 3 Communications, Inc.",1992-12,whois.arin.net,LEGACY,
009/8,IBM,1992-08,whois.arin.net,LEGACY,
010/8,IANA - Private Use,1995-06,,RESERVED,[3]
011/8,DoD Intel Information Systems,1993-05,,LEGACY,
012/8,AT&T Bell Laboratories,1995-06,whois.arin.net,LEGACY,
013/8,Xerox Corporation,1991-09,whois.arin.net,LEGACY,
014/8,APNIC,2010-04,whois.apnic.net,ALLOCATED,[4]
015/8,Hewlett-Packard Company,1994-07,whois.arin.net,LEGACY,
016/8,Digital Equipment Corporation,1994-11,whois.arin.net,LEGACY,
017/8,Apple Computer Inc.,1992-07,whois.arin.net,LEGACY,
018/8,MIT,1994-01,whois.arin.net,LEGACY,
019/8,Ford Motor Company,1995-05,whois.arin.net,LEGACY,
020/8,Computer Sciences Corporation,1994-10,whois.arin.net,LEGACY,
021/8,DDN-RVN,1991-07,,LEGACY,
022/8,Defense Information Systems Agency,1993-05,,LEGACY,
023/8,ARIN,2010-11,whois.arin.net,ALLOCATED,
024/8,ARIN,2001-05,whois.arin.net,ALLOCATED,
025/8,UK Ministry of Defence,1995-01,whois.ripe.net,LEGACY,
026/8,Defense Information Systems Agency,1995-05,,LEGACY,
027/8,APNIC,2010-01,whois.apnic.net,ALLOCATED,
028/8,DSI-North,1992-07,,LEGACY,
029/8,Defense Information Systems Agency,1991-07,,LEGACY,
030/8,Defense Information Systems Agency,1991-07,,LEGACY,
031/8,RIPE NCC,2010-05,whois.ripe.net,ALLOCATED,
032/8,AT&T Global Network Services,1994-06,whois.arin.net,LEGACY,
033/8,DLA Systems Automation Center,1991-01,,LEGACY,
034/8,Halliburton Company,1993-03,whois.arin.net,LEGACY,
035/8,Administered by ARIN,1994-04,whois.arin.net,LEGACY,
036/8,APNIC,2010-10,whois.apnic.net,ALLOCATED,
037/8,RIPE NCC,2010-11,whois.ripe.net,ALLOCATED,
038/8,"PSINet, Inc.",1994-09,whois.arin.net,LEGACY,
039/8,APNIC,2011-01,whois.apnic.net,ALLOCATED,
040/8,Administered by ARIN,1994-06,whois.arin.net,LEGACY,
041/8,AFRINIC,2005-04,whois.afrinic.net,ALLOCATED,
042/8,APNIC,2010-10,whois.apnic.net,ALLOCATED,
043/8,Administered by APNIC,1991-01,whois.apnic.net,LEGACY,
044/8,Amateur Radio Digital Communications,1992-07,whois.arin.net,LEGACY,
045/8,Administered by ARIN,1995-01,whois.arin.net,LEGACY,
046/8,RIPE NCC,2009-09,whois.ripe.net,ALLOCATED,
047/8,Administered by ARIN,1991-01,whois.arin.net,LEGACY,
048/8,Prudential Securities Inc.,1995-05,whois.arin.net,LEGACY,
049/8,APNIC,2010-08,whois.apnic.net,ALLOCATED,
050/8,ARIN,2010-02,whois.arin.net,ALLOCATED,
051/8,UK Government Department for Work and Pensions,1994-08,whois.ripe.net,LEGACY,
052/8,"E.I. duPont de Nemours and Co., Inc.",1991-12,whois.arin.net,LEGACY,
053/8,Cap Debis CCS,1993-10,,LEGACY,
054/8,Administered by ARIN,1992-03,whois.arin.net,LEGACY,
055/8,DoD Network Information Center,1995-04,,LEGACY,
056/8,US Postal Service,1994-06,whois.arin.net,LEGACY,
057/8,SITA,1995-05,,LEGACY,
058/8,APNIC,2004-04,whois.apnic.net,ALLOCATED,
059/8,APNIC,2004-04,whois.apnic.net,ALLOCATED,
060/8,APNIC,2003-04,whois.apnic.net,ALLOCATED,
061/8,APNIC,1997-04,whois.apnic.net,ALLOCATED,
062/8,RIPE NCC,1997-04,whois.ripe.net,ALLOCATED,
063/8,ARIN,1997-04,whois.arin.net,ALLOCATED,
064/8,ARIN,1999-07,whois.arin.net,ALLOCATED,
065/8,ARIN,2000-07,whois.arin.net,ALLOCATED,
066/8,ARIN,2000-07,whois.arin.net,ALLOCATED,
067/8,ARIN,2001-05,whois.arin.net,ALLOCATED,
068/8,ARIN,2001-06,whois.arin.net,ALLOCATED,
069/8,ARIN,2002-08,whois.arin.net,ALLOCATED,
070/8,ARIN,2004-01,whois.arin.net,ALLOCATED,
071/8,ARIN,2004-08,whois.arin.net,ALLOCATED,
072/8,ARIN,2004-08,whois.arin.net,ALLOCATED,
073/8,ARIN,2005-03,whois.arin.net,ALLOCATED,
074/8,ARIN,2005-06,whois.arin.net,ALLOCATED,
075/8,ARIN,2005-06,whois.arin.net,ALLOCATED,
076/8,ARIN,2005-06,whois.arin.net,ALLOCATED,
077/8,RIPE NCC,2006-08,whois.ripe.net,ALLOCATED,
078/8,RIPE NCC,2006-08,whois.ripe.net,ALLOCATED,
079/8,RIPE NCC,2006-08,whois.ripe.net,ALLOCATED,
080/8,RIPE NCC,2001-04,whois.ripe.net,ALLOCATED,
081/8,RIPE NCC,2001-04,whois.ripe.net,ALLOCATED,
082/8,RIPE NCC,2002-11,whois.ripe.net,ALLOCATED,
083/8,RIPE NCC,2003-11,whois.ripe.net,ALLOCATED,
084/8,RIPE NCC,2003-11,whois.ripe.net,ALLOCATED,
085/8,RIPE NCC,2004-04,whois.ripe.net,ALLOCATED,
086/8,RIPE NCC,2004-04,whois.ripe.net,ALLOCATED,
087/8,RIPE NCC,2004-04,whois.ripe.net,ALLOCATED,
088/8,RIPE NCC,2004-04,whois.ripe.net,ALLOCATED,
089/8,RIPE NCC,2005-06,whois.ripe.net,ALLOCATED,
090/8,RIPE NCC,2005-06,whois.ripe.net,ALLOCATED,
091/8,RIPE NCC,2005-06,whois.ripe.net,ALLOCATED,
092/8,RIPE NCC,2007-03,whois.ripe.net,ALLOCATED,
093/8,RIPE NCC,2007-03,whois.ripe.net,ALLOCATED,
094/8,RIPE NCC,2007-07,whois.ripe.net,ALLOCATED,
095/8,RIPE NCC,2007-07,whois.ripe.net,ALLOCATED,
096/8,ARIN,2006-10,whois.arin.net,ALLOCATED,
097/8,ARIN,2006-10,whois.arin.net,ALLOCATED,
098/8,ARIN,2006-10,whois.arin.net,ALLOCATED,
099/8,ARIN,2006-10,whois.arin.net,ALLOCATED,
100/8,ARIN,2010-11,whois.arin.net,ALLOCATED,[5]
101/8,APNIC,2010-08,whois.apnic.net,ALLOCATED,
102/8,AFRINIC,2011-02,whois.afrinic.net,ALLOCATED,
103/8,APNIC,2011-02,whois.apnic.net,ALLOCATED,
104/8,ARIN,2011-02,whois.arin.net,ALLOCATED,
105/8,AFRINIC,2010-11,whois.afrinic.net,ALLOCATED,
106/8,APNIC,2011-01,whois.apnic.net,ALLOCATED,
107/8,ARIN,2010-02,whois.arin.net,ALLOCATED,
108/8,ARIN,2008-12,whois.arin.net,ALLOCATED,
109/8,RIPE NCC,2009-01,whois.ripe.net,ALLOCATED,
110/8,APNIC,2008-11,whois.apnic.net,ALLOCATED,
111/8,APNIC,2008-11,whois.apnic.net,ALLOCATED,
112/8,APNIC,2008-05,whois.apnic.net,ALLOCATED,
113/8,APNIC,2008-05,whois.apnic.net,ALLOCATED,
114/8,APNIC,2007-10,whois.apnic.net,ALLOCATED,
115/8,APNIC,2007-10,whois.apnic.net,ALLOCATED,
116/8,APNIC,2007-01,whois.apnic.net,ALLOCATED,
117/8,APNIC,2007-01,whois.apnic.net,ALLOCATED,
118/8,APNIC,2007-01,whois.apnic.net,ALLOCATED,
119/8,APNIC,2007-01,whois.apnic.net,ALLOCATED,
120/8,APNIC,2007-01,whois.apnic.net,ALLOCATED,
121/8,APNIC,2006-01,whois.apnic.net,ALLOCATED,
122/8,APNIC,2006-01,whois.apnic.net,ALLOCATED,
123/8,APNIC,2006-01,whois.apnic.net,ALLOCATED,
124/8,APNIC,2005-01,whois.apnic.net,ALLOCATED,
125/8,APNIC,2005-01,whois.apnic.net,ALLOCATED,
126/8,APNIC,2005-01,whois.apnic.net,ALLOCATED,
127/8,IANA - Loopback,1981-09,,RESERVED,[6]
128/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,
129/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,
130/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,
131/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,
132/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,
133/8,Administered by APNIC,1997-03,whois.apnic.net,LEGACY,
134/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,
135/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,
136/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,
137/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,
138/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,
139/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,
140/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,
141/8,Administered by RIPE NCC,1993-05,whois.ripe.net,LEGACY,
142/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,
143/8,Administered by ARIN,1993-05,whois.arin.net,LEGACY,
