"id","parent_id","name","vertical","currency_code","wholesale_price","retail_price","is_actionable"
"1","","Alpha","Auto","USD","","","0"
"3","1","Epsilon","Auto","USD","","","0"
"3","3","Kappa","Auto","USD","0.50","0.60","1"
"5","1","Zeta","Auto","USD","","","0"
"2","5","Lambda","Auto","USD","0.40","0.50","1"
"7","5","Mu","Auto","USD","0.40","0.50","0"
"2","","Beta","Electronics","JPY","","","0"
"8","2","Eta","Electronics","JPY","0.35","0.45","1"
"9","2","Theta","Electronics","JPY","0.35","0.45","1"
"10","","Gamma","Travel","EUR","","","0"
"11","10","Iota","Travel","EUR","","","0"
"12","11","Nu","Travel","EUR","0.60","0.75","1"
"13","","Delta","Life Insurance","USD","0.25","0.30","1"
