"currency_code","my_id","my_parent_id","my_name","vertical","wholesale_price","retail_price","is_actionable"
"USD","1","","Alpha","Auto","","","0"
"USD","3","1","Epsilon","Auto","","","0"
"USD","4","3","Kappa","Auto","0.50","0.60","1"
"USD","5","1","Zeta","Auto","","","0"
"USD","6","5","Lambda","Auto","0.40","0.50","1"
"USD","7","5","Mu","Auto","0.40","0.50","0"
"JPY","2","","Beta","Electronics","","","0"
"JPY","8","2","Eta","Electronics","0.35","0.45","1"
"JPY","9","2","Theta","Electronics","0.35","0.45","1"
"EUR","10","","Gamma","Travel","","","0"
"EUR","11","10","Iota","Travel","","","0"
"EUR","12","11","Nu","Travel","0.60","0.75","1"
"USD","13","","Delta","Life Insurance","0.25","0.30","1"
