"path","vertical","currency_code","wholesale_price","retail_price","is_actionable"
"|Alpha","Auto","USD","","","0"
"|Alpha|Epsilon","Auto","USD","0.40","0.50","0"
"|Alpha|Epsilon|Nu","Auto","USD","","","1"
"|Alpha|Epsilon|Kappa","Auto","USD","0.50","0.60","1"
"|Alpha|Zeta","Auto","USD","","","0"
"|Alpha|Zeta|Lambda","Auto","USD","0.40","0.50","1"
"|Alpha|Zeta|Mu","Auto","USD","0.40","0.50","0"
"|Beta","Electronics","JPY","","","0"
"|Beta|Eta","Electronics","JPY","0.35","0.45","1"
"|Beta|Mu","Electronics","JPY","0.35","0.45","1"
"|Gamma","Travel","EUR","","","0"
"|Gamma|Iota","Travel","EUR","","","0"
"|Gamma|Iota|Nu","Travel","EUR","0.60","0.75","1"
"|Kappa","Life Insurance","USD","0.25","0.30","1"
